,0
TCGA-AR-A24H-01A,1
TCGA-D8-A1XU-01A,2
TCGA-A7-A26E-01A,4
TCGA-D8-A27E-01A,4
TCGA-BH-A0DK-01A,0
TCGA-E9-A5UO-01A,2
TCGA-LL-A7SZ-01A,1
TCGA-D8-A1JJ-01A,1
TCGA-EW-A1IY-01A,2
TCGA-EW-A1IZ-01A,2
TCGA-GM-A2DD-01A,3
TCGA-E9-A22A-01A,4
TCGA-B6-A401-01A,1
TCGA-A8-A075-01A,1
TCGA-E9-A1NI-01A,1
TCGA-OL-A66L-01A,0
TCGA-AR-A24V-01A,1
TCGA-BH-A0C0-01A,3
TCGA-A2-A1G4-01A,4
TCGA-E9-A228-01A,4
TCGA-BH-A1EU-01A,3
TCGA-C8-A26X-01A,3
TCGA-S3-AA17-01A,1
TCGA-PL-A8LZ-01A,3
TCGA-BH-A0DH-01A,4
TCGA-GM-A5PX-01A,0
TCGA-D8-A1XM-01A,4
TCGA-EW-A1OX-01A,4
TCGA-BH-A0W5-01A,0
TCGA-AR-A1AP-01A,0
TCGA-D8-A1XK-01A,2
TCGA-AO-A0JD-01A,2
TCGA-BH-A1F0-01A,2
TCGA-E9-A2JT-01A,2
TCGA-AR-A24Z-01A,3
TCGA-E9-A1RB-01A,1
TCGA-BH-A0B5-01A,1
TCGA-D8-A1JT-01A,4
TCGA-AO-A124-01A,1
TCGA-A2-A25D-01A,0
TCGA-AR-A1AW-01A,4
TCGA-AC-A7VC-01A,4
TCGA-A1-A0SE-01A,4
TCGA-OL-A5D7-01A,3
TCGA-HN-A2OB-01A,2
TCGA-E2-A1AZ-01A,3
TCGA-AR-A24K-01A,1
TCGA-A7-A4SF-01A,3
TCGA-E9-A244-01A,3
TCGA-E2-A1BC-01A,2
TCGA-S3-AA11-01A,2
TCGA-A2-A0T7-01A,0
TCGA-C8-A1HL-01A,3
TCGA-AN-A0XW-01A,2
TCGA-AR-A24P-01A,4
TCGA-A2-A0T0-01A,2
TCGA-BH-A0HY-01A,1
TCGA-EW-A1J5-01A,4
TCGA-BH-A0E1-01A,4
TCGA-AR-A2LH-01A,0
TCGA-E2-A9RU-01A,1
TCGA-AC-A6IW-01A,0
TCGA-BH-A0BT-01A,3
TCGA-GM-A2D9-01A,2
TCGA-E2-A1II-01A,2
TCGA-LL-A73Z-01A,2
TCGA-B6-A0X5-01A,4
TCGA-A7-A13G-01A,0
TCGA-B6-A0RI-01A,2
TCGA-BH-A0GY-01A,1
TCGA-D8-A1JS-01A,4
TCGA-AO-A0JI-01A,2
TCGA-AR-A1AR-01A,2
TCGA-B6-A0RG-01A,2
TCGA-AO-A128-01A,0
TCGA-A2-A0YL-01A,4
TCGA-A2-A0YT-01A,3
TCGA-BH-A0DG-01A,2
TCGA-BH-A1FU-01A,3
TCGA-BH-A1F6-01A,3
TCGA-BH-A8FY-01A,0
TCGA-BH-A0BZ-01A,3
TCGA-D8-A1JU-01A,4
TCGA-EW-A6SD-01A,1
TCGA-E2-A14N-01A,0
TCGA-E2-A574-01A,3
TCGA-C8-A274-01A,1
TCGA-B6-A2IU-01A,0
TCGA-D8-A1JA-01A,4
TCGA-A1-A0SP-01A,0
TCGA-GM-A3NW-01A,1
TCGA-C8-A1HG-01A,3
TCGA-A2-A1FX-01A,4
TCGA-A2-A0T2-01A,3
TCGA-UU-A93S-01A,3
TCGA-E9-A2JS-01A,1
TCGA-S3-A6ZF-01A,1
TCGA-E2-A1LK-01A,1
TCGA-E9-A1RG-01A,3
TCGA-A2-A0T1-01A,3
TCGA-AR-A0U2-01A,1
TCGA-EW-A1IW-01A,0
TCGA-D8-A27G-01A,2
TCGA-AR-A1AN-01A,2
TCGA-A2-A25E-01A,2
TCGA-D8-A1XG-01A,4
TCGA-AC-A23H-01A,1
TCGA-S3-AA12-01A,2
TCGA-E2-A573-01A,3
TCGA-E9-A1R5-01A,0
TCGA-LL-A6FR-01A,3
TCGA-C8-A1HE-01A,0
TCGA-C8-A27A-01A,1
TCGA-E2-A56Z-01A,1
TCGA-OL-A5RV-01A,4
TCGA-A2-A0CT-01A,1
TCGA-E2-A1LH-01A,3
TCGA-A7-A13F-01A,3
TCGA-BH-A0HP-01A,4
TCGA-D8-A1JF-01A,1
TCGA-A2-A1FZ-01A,4
TCGA-AR-A1AS-01A,0
TCGA-E2-A1IG-01A,0
TCGA-AR-A5QM-01A,0
