,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
TCGA-C8-A27B-01A,-0.04123462,-0.02079503,0.12930322,0.10113386,-0.00065038976,0.07457817,-0.049604185,-0.0042819963,0.010019844,-0.038657628,-0.077766426,0.013114671,-0.009343757,0.17296246,0.072705604,-0.05102031,0.0064080944,0.15071191,0.04078285,-0.062437057,-0.032138083,-0.09782356,-0.12514168,0.029786944,0.016247304,-0.031880565,-0.110160865,0.01244379,0.02073496,-0.049109362,-0.0948351,0.033740323,-0.13952142,-0.1078567,-0.12267033,-0.11024227,0.015983732,-0.041698195,-0.11010643,-0.020110182,0.029261176,0.09128851,0.09372591,-0.043207932,0.009943324,-0.07438886,-0.022357887,0.018304186,-0.03215622,0.1446508,0.01146232,0.07055066,0.08443231,0.05951129,-0.029589966,4.966641e-06,0.065404795,0.0009294193,0.00019206453,0.042684402,0.04617954,-0.00041043013,-0.03812912,0.054504763,-0.085653104,0.011349649,0.12163186,0.030736119,-0.045368213,-0.025734743,-0.1204589,-0.034384105,-0.026423296,-0.17103584,0.15200222,0.011954482,-0.067438245,0.02774215,0.074944206,0.044488404,0.054309238,-0.015562275,-0.008046949,0.06918316,-0.02690178,-0.11706271,-0.06413546,0.10280248,0.19262592,0.054223742,0.09566719,-0.066996485,0.028956873,0.0574623,0.150648,-0.06145476,-0.09045176,-0.030919658,0.046008393,-0.109009326,0.014387292,0.08094456,0.03858953,-0.12491256,-0.043900713,0.08537909,-0.06569462,-0.026094383,-0.009183909,0.017219208,-0.041329205,-0.077702075,-0.089546815,0.11079838,0.0766494,-0.023737192,-0.10242194,-0.034969255,-0.058967315,0.0012817511,0.08256914,-0.15030833,0.0265869,0.07855062,-0.02155597,-0.012561555,-0.018964788,0.09809237,-0.02834572,0.04970786,0.15541501,-0.086971544,-0.013442916,-0.028472658,-0.2129724,0.022192545,-0.068035215,-0.010394177,0.046742577,-0.012596549,-0.04516163,-0.14738491,-0.026117712,0.05035695,0.041613996,-0.0127815,-0.015229128,-0.030871682,-0.007975106,-0.032738682,0.01763661,0.039322134,0.08590969,0.025073532,-0.11208008,0.010528418,0.11227722,-0.01535173,-0.019968042,0.02830234,-0.010758496,-0.0011172534,0.056145657,-0.092931695,-0.07578849,0.04873058,0.05257188,0.013917665,-0.024262896,0.0021600483,0.032090317,-0.07263606,-0.0018104117,0.069759026,0.071449555,-0.005357824,0.06165388,0.05563831,0.07694108,0.083683595,-0.036648195,0.0023604874,-0.022071311,0.0842139,0.06477942,-0.07139695,-0.100387484,0.035642143,0.017033951,0.028381616,0.09159714,-0.04480412,-0.10281203,-0.03644038,0.01408704,0.12210861,0.10190828,0.030851996,-0.012420353,0.038447767
TCGA-A2-A0CT-01A,-0.049051147,0.012456216,0.008625032,0.08783027,0.011444813,0.15196641,-0.063196294,0.050311275,-0.11107784,0.046813976,0.0068346984,-0.024628513,0.0101880515,0.19799289,0.10744296,0.020947967,-0.029579978,0.019158911,0.010741482,-0.120295875,-0.018205095,-0.05873504,-0.10729356,0.11535616,-0.010410468,-0.05252844,-0.1668661,-0.081131876,-0.023642505,-0.08261922,-0.12534735,-0.032374457,-0.112252764,-0.11801384,-0.0054896874,-0.106012106,-0.007473093,0.020363778,0.011769313,-0.017474947,0.043273974,0.114728466,0.1277407,-0.14362869,-0.08045016,-0.02030199,0.00639724,0.023685932,-0.0044442825,0.104323015,0.010203216,0.07237283,0.012070722,0.03577021,-0.08016065,0.046031825,-0.017664777,-0.07754587,-0.08724322,0.020292081,0.06806841,-0.033834517,-0.037318967,0.043762926,-0.03872974,0.016222259,0.102936566,-0.047308955,-0.073461324,0.0704559,-0.14031602,0.02243535,0.012530144,-0.15340008,0.07651088,0.022243889,-0.009477042,-0.014867173,0.120006405,0.00698064,0.024056327,0.01913037,-0.010862417,0.0015192011,-0.02980574,-0.08262203,-0.03493613,0.1267712,0.13970147,-0.013063465,0.025163544,-0.0845476,0.09859551,0.0003957786,0.034573678,-0.014753015,-0.016342089,0.036177535,0.099131934,-0.05609106,0.023055656,0.056948476,0.045378864,-0.08152058,-0.12136449,0.008462968,-0.042802133,-0.07802977,0.02756998,-0.008618678,-0.12708196,-0.08447592,-0.06536509,0.08451955,0.10976969,0.01873533,-0.032858953,-0.06436866,-0.06554002,-0.026424281,0.09069346,-0.12617368,0.14156608,0.059341364,0.029305493,0.019427238,0.0013127459,0.06573653,-0.055924818,0.12855229,0.14859827,-0.07419482,-0.043528147,-0.06855451,-0.17563418,-0.02756727,-0.044964228,-0.047819253,-0.04294061,-0.034312516,-0.026499234,-0.1300642,-0.04670623,0.027012765,0.055016227,0.0062447432,-0.057153173,-0.04168523,-0.0057306266,-0.10004391,-0.03785471,0.020361045,0.045405958,0.059639882,-0.043624144,0.00701805,0.026072333,-0.01787738,-0.10561636,-0.09319091,0.021098118,-0.07952851,-0.022665745,-0.14012244,-0.026743347,0.048524804,0.14341168,-0.015454687,-0.016271232,-0.055506956,-0.025597677,-0.11431161,0.00855045,-0.030047974,0.05507198,-0.08632543,0.00624111,0.034031644,0.051438242,0.12405106,-0.017894821,-0.082509644,-0.0119099,0.054816976,-0.024308939,-0.060471877,-0.07593658,-0.046219144,0.0035519747,0.025936667,0.07075247,-0.13402799,-0.059041098,0.05610111,-0.041355114,0.037744068,0.048728652,0.052863743,-0.0106894,0.050833803
TCGA-A1-A0SQ-01A,-0.048119314,0.035676323,0.15693764,0.023527194,-0.06336508,0.08424541,0.028546982,0.050155405,-0.0623457,-0.011826022,-0.040104013,-0.016972408,0.042646527,0.14651279,0.09246334,-0.027031679,0.031428207,-0.0027357151,0.056152284,-0.09737164,-0.03229567,-0.029164094,-0.030213393,0.12927598,0.05329654,0.029020036,-0.18755952,-0.056153957,0.054769766,-0.024268651,-0.09936614,0.06288249,-0.06568529,-0.1666971,-0.060413446,-0.08742072,0.0037204232,-0.010338665,-0.08255393,-0.026403818,-0.005710551,0.08423592,0.11759863,-0.12146219,-0.040438473,-0.005299906,0.0015886382,-0.031469934,0.025818914,0.115172595,0.03458376,0.090573534,0.031607088,0.049434803,-0.078562036,0.06958918,0.041064695,-0.014747635,-0.009961286,0.05850911,0.0006376182,0.003616868,-0.08834421,0.07419961,-0.0140323,0.04433795,0.10851994,0.06047921,-0.13213937,0.009990961,-0.11069863,0.0495664,0.00093213003,-0.15631205,0.14001516,0.034562286,-0.07160661,-0.027316185,0.13215058,-0.0035165907,-0.022196613,-0.037794027,0.01412615,0.076421276,-0.053839438,-0.10993957,-0.013726659,0.11515692,0.08817675,-0.06483809,0.0336979,-0.09996798,-0.030235026,0.033648215,0.15303531,-0.08411244,-0.09131487,0.016415477,0.059346512,-0.023887925,-0.006786699,-0.006887154,0.097324565,-0.07755852,-0.047355328,-0.033752058,0.06010104,-0.079534695,0.03715543,-0.04464607,-0.027800376,-0.18082614,-0.08222503,0.120371126,0.123241365,-0.09836286,-0.043141037,-0.085777156,-0.045580484,-0.021256434,0.06995338,-0.047959976,0.027406804,0.025613181,0.088140935,0.03238451,-0.013734733,0.054595314,0.028488511,0.053445503,0.10552899,-0.0865529,0.04484332,-0.042090304,-0.18487988,0.060899384,-0.010948779,-0.06845585,-0.06597877,0.0246834,0.047110196,-0.20202345,-0.055750966,0.03294376,0.10282039,-0.007971279,-0.045177132,-0.023867914,-0.025214484,-0.014762688,0.049030207,0.009093305,0.0632473,-0.02046838,-0.07989918,-0.011338993,0.09942191,-0.040146478,-0.060155973,0.0043189246,-0.035169885,-0.020545084,0.0102827335,-0.129866,0.024122117,0.025303964,0.12650181,-0.0483883,0.042644206,-0.0051889163,0.005355429,-0.048735064,-0.017112775,-0.021691967,-0.02771718,-0.09066764,0.023503821,0.05149858,0.042761594,0.18689951,-0.043150086,0.017033994,0.014738209,-0.0029174192,0.08352462,-0.0025093276,-0.08301804,-0.041406725,-0.026399968,0.024763567,0.08978216,-0.00903627,-0.09399891,0.0451661,0.0049662446,0.024264466,0.07230765,0.09450882,-0.057881624,0.014018096
TCGA-E9-A1RC-01A,-0.0038330872,0.028991468,0.010569569,0.09098628,-0.020492222,0.12850538,0.025095474,0.0041715195,-0.0009324979,0.009202399,-0.010420074,0.008689577,0.0057871523,0.16774422,0.12125019,0.0033683425,0.02718377,0.06926195,0.011504188,-0.16042493,-0.055554695,-0.07481433,-0.18465239,0.052385006,-0.005494344,-0.10894622,-0.1302084,-0.059779696,0.07063839,-0.07583653,0.04609246,0.04633687,-0.10454587,-0.1275852,-0.06883227,-0.08347809,-0.021886226,0.050762832,-0.03847544,-0.07744107,-0.044194728,0.09615474,0.0903658,-0.05448578,-0.0715587,-0.042112514,0.04353908,0.023833914,0.023920555,0.13279754,-0.0034729927,0.002747826,0.03999936,0.07449331,-0.11226908,0.0073783062,0.0532834,-0.009867882,-0.10839638,0.0024438591,0.068122625,-0.07774778,-0.081202045,0.058568276,0.002229369,-0.054035336,0.036449697,-0.01663823,-0.030714627,0.0860661,-0.14789152,-0.01934403,-0.016267499,-0.20574254,0.09840573,0.0014986811,-0.02732604,0.02733272,0.1251231,0.013995574,0.022794731,-0.00055085693,-0.023966523,0.09366682,0.022509549,-0.07264664,-0.014640503,0.14548264,0.13036129,-0.04071255,0.079774536,-0.11280561,0.13584438,0.013481827,0.004761395,0.034896966,-0.019343445,0.0037767522,0.029911712,-0.038628295,0.010180504,-0.014542638,-0.015879149,-0.067928046,-0.0064171236,0.003299681,-0.03728744,-0.08226319,-0.012188973,-0.07121471,0.016323294,-0.067437224,-0.1450445,0.060412943,0.19499053,-0.023712464,-0.043540705,-0.09357327,-0.12835073,-0.04760897,0.045594003,-0.12744835,0.10886862,0.016237222,0.021059709,-0.044074886,-0.05298405,0.04586936,-0.005203243,0.098334,0.12572044,-0.099981554,-4.2682088e-05,-0.06333726,-0.21615309,-0.024748527,-0.062032465,-0.025191734,0.02694471,0.024066051,0.0109930495,-0.04119827,0.10130041,0.030100195,-0.036106363,0.012476827,-0.11285218,-0.023082474,-0.0070998436,-0.026627025,-0.028304275,-0.026923083,0.13359502,0.07332472,-0.012379292,0.028359624,0.011956186,-0.05984203,-0.038146794,-0.036884036,0.020836152,-0.044777777,0.05400478,-0.07014457,0.009963017,0.11135958,0.014136577,-0.0031713147,0.022811767,-0.06404984,-0.020216266,-0.056766253,0.004822309,0.0396413,0.036145143,-0.03974705,-0.0465338,0.08487561,0.009484879,0.1408658,-0.0013292643,-0.073238514,-0.024390545,0.04959855,0.0037083726,-0.04424599,-0.051959895,-0.010334913,0.025529668,-0.031521622,0.13658202,-0.11652849,-0.030943735,-0.03451558,-0.07718581,0.029114889,0.06432455,0.07919092,-0.090064645,0.046322577
TCGA-BH-A0DG-01A,-0.028188968,0.00811707,0.057744972,0.08829542,-0.058273595,0.1282841,-0.013034384,-0.072284214,-0.045060053,0.042613797,-0.04316273,0.0744756,-0.017689133,0.16040345,0.034510974,-0.038074948,0.019533271,0.09259689,0.0485477,-0.112232454,-0.04432993,0.03523913,-0.049511325,-0.032211464,0.0005006764,0.011325166,-0.08520798,-0.10424544,-0.022943478,-0.15243357,-0.058569264,-0.0063371034,-0.10569207,-0.10689903,-0.13248692,-0.12128068,-0.047158387,0.0062092645,-0.080189586,-0.018519212,-0.09635957,0.12642705,0.05912385,-0.07216755,-0.019281285,-0.003241262,0.0046632574,-0.015215665,0.03136141,0.1248354,0.026104301,-0.029748665,0.024982683,0.10900134,-0.028600682,-0.054975487,0.07058139,0.059070867,-0.042269483,0.034364708,0.067561656,-0.027405733,-0.039958782,0.10270633,-0.017591102,0.014169337,0.13548729,0.06513729,-0.06822098,-0.008468836,-0.13397504,0.066512056,-0.08374401,-0.173566,0.032953367,0.0152622415,-0.021963695,0.039466,0.11168928,-0.004588269,-0.03330255,0.024836488,-0.012018126,0.06426292,0.015476225,-0.062039323,0.07506542,0.13546334,0.07139217,-0.08472893,0.020290384,-0.010942578,0.021451352,0.11526874,0.06461392,-0.073101364,-0.08170417,0.00724931,0.007275502,-0.086046286,0.061812386,0.069134094,0.051761113,-0.1049218,-0.009668634,0.07027071,-0.03186313,-0.14935401,0.08420165,0.0061358716,0.0061065624,-0.08441468,-0.12169575,0.17915331,0.10497394,-0.022798104,-0.043327536,-0.08570371,0.003156423,0.050405756,0.097066514,-0.08223463,0.09234517,0.020761002,0.04376638,0.012728486,-0.017708868,0.061556682,0.09859008,0.11391834,0.07226956,-0.14892474,-0.018500596,-0.0497009,-0.12349716,-0.04103501,0.02283766,0.010736036,-0.06173769,0.08540745,-0.032512836,-0.120120145,-0.035751987,0.034317296,0.014811415,-0.03875965,-0.15314096,0.02780559,-0.00023315506,-0.027037513,-0.062417615,-0.05151397,-0.020258829,0.06955464,-0.04710939,0.0271448,0.036524415,-0.09197869,0.002497648,-0.053831775,0.051309705,-0.0015111408,0.049202185,-0.18126081,0.008333652,0.114369884,0.00014109188,-0.022072777,-0.029227518,-0.04324411,-0.004213475,-0.03317195,0.02035146,0.049978834,0.06410888,0.005742387,-0.06970657,0.07032641,0.09021961,0.21582493,0.010224397,0.011123886,0.011432231,0.048467807,0.054155946,-0.017020868,-0.072867945,-0.017453348,-0.058047306,0.026735771,0.06365501,-0.03585372,-0.10765391,-0.016557958,-0.0141601395,0.022421993,0.05454521,0.0249308,-0.07509611,-0.086235486
TCGA-AR-A1AQ-01A,0.0035359154,-0.071106315,0.12916861,0.05685225,0.028583216,0.015175639,-0.05833128,0.025721572,-0.091002405,0.024506483,-0.001561966,0.05043237,-0.0015441278,0.13001342,0.106547594,-0.04497759,-0.040655736,0.0685031,-0.027907753,-0.0036263678,-0.039775264,0.04375934,-0.052363936,0.046750672,-0.07394757,-0.13359116,-0.15075472,-0.05304817,0.028835515,-0.06300789,-0.07964437,0.026712216,-0.07922634,-0.16433713,-0.06368555,-0.06902854,-0.12096723,-0.11700626,-0.06429674,0.028836267,0.009958399,0.058749046,0.08198797,0.0035160058,0.03567702,-0.023467306,-0.083700605,0.054093346,0.06787915,0.16194668,0.023218347,0.09383519,0.01987311,0.06378788,-0.10445293,-0.025787957,0.103685044,0.03701683,0.01608128,0.042170443,0.036635228,0.063083366,-0.053668316,0.10014517,-0.003585927,0.005782792,0.14107363,-0.06210495,-0.027085915,-0.06691565,-0.10710251,0.032082193,0.065996945,-0.15877216,0.08178444,-0.06987923,-0.038672205,0.013332431,0.07392863,0.023047835,0.041546848,-0.035616938,0.026545616,0.09728661,-0.008380987,-0.08411104,0.016767906,0.12220533,0.16674912,0.024094984,0.054440852,-0.08648714,0.11352299,0.11453531,0.09249298,-0.06594343,-0.022041643,0.10098654,0.046526678,-0.05496814,0.06238025,0.051308353,-0.026875166,-0.10151553,-0.0051177037,0.02184874,-0.062102508,-0.0975917,0.002897641,-0.026499074,-0.017206766,-0.07820453,-0.00028293135,0.07514481,0.116583556,-0.03770529,-0.009953138,-0.112147786,-0.067365795,0.015563716,0.12478259,-0.076547794,0.07721022,0.033446036,0.03977549,-0.048093934,-0.024234872,0.045405775,0.08179933,0.09326036,0.1892315,-0.0711552,-0.033019394,-0.035782717,-0.14950533,-0.040982705,-0.077630706,-0.04504142,0.001769731,0.0131100165,-0.031440143,-0.16444372,0.04230819,0.017531764,0.051903166,-0.0042850883,-0.070287995,0.056693316,-0.05105618,0.0048816223,0.00032605816,0.04669884,0.12784001,0.04536509,-0.02773008,0.08123769,0.005577939,-0.09611921,-0.057703666,-0.033477116,0.08324164,-0.032441013,0.037020713,-0.13349305,-0.13010548,0.068397306,0.10068028,0.0508867,-0.031484924,0.031026606,0.017853044,-0.06369779,-0.01243184,0.055231452,0.056006826,-0.023862077,-0.03461581,0.066862285,-0.008618918,0.17912197,-0.017290302,-0.03532968,0.008031878,0.04484841,0.032441493,-0.083527796,-0.060168445,-0.03233526,-0.041482687,0.05871548,0.07401184,-0.078436635,-0.021618487,0.019793585,0.0070381146,0.06212494,0.067607515,0.012159634,-0.00833491,-0.057068866
TCGA-BH-A0DK-01A,-0.038873114,0.038482018,0.14803736,0.11370362,-0.082841136,0.064989254,0.040186614,-0.05234233,-0.07080979,-0.049591523,-0.050563347,-0.063369416,-0.0056370087,0.11228043,0.05352188,0.003939117,0.040975746,0.075970925,0.042593833,-0.049076885,-0.0134062,-0.086418174,-0.025847504,0.16408165,0.04054648,-0.08090122,-0.12294385,-0.09223098,-0.054813385,-0.036266446,0.01667011,0.016096909,-0.12992093,-0.16514783,-0.13749424,-0.07243347,-0.050771024,-0.04201661,0.04109581,0.012119651,0.029862003,0.062168133,0.064627714,-0.15913044,0.041393522,-0.047644734,-0.023426292,0.070748694,0.014669093,0.13441727,0.07386807,0.05047323,0.0026862684,0.060479805,-0.022261506,-0.00031619007,0.1370949,-0.04298935,-0.030523153,-0.01616825,0.009460302,0.045389026,-0.02654011,0.060829017,-0.01914311,-0.009533251,0.14164549,0.020326026,-0.09936082,-0.066671714,-0.108319335,0.049580812,-0.073173866,-0.21387511,0.08793543,0.050562557,0.010513264,0.042644985,0.08864313,-0.058498744,0.04804638,0.022108605,-0.024328599,-0.034279805,0.028437842,-0.031403128,-0.031009719,0.0861517,0.16863196,-0.014350767,0.052841436,-0.044929408,0.07620249,0.028540442,0.1045758,-0.085560225,-0.00886799,-0.03928125,0.025977492,-0.012585521,0.027735446,0.03735519,-0.030210208,-0.08529071,-0.08869549,0.060284656,-0.05440402,-0.09132968,0.017605545,-0.02285343,0.004103525,-0.10228758,-0.02067029,0.12683687,0.1593767,0.002682413,0.0697935,-0.062166534,-0.082002975,0.0052588056,0.07536142,-0.10731052,0.048527155,0.05655718,0.074791774,-0.017050127,-0.05754766,0.05235107,0.017256122,0.029187493,0.02249115,-0.03046053,-0.020932082,-0.032066718,-0.17269889,-0.018302474,-0.05312659,-0.062152836,-0.050938204,0.074718796,0.048927646,-0.114817426,-0.026541663,0.0052389945,0.014567859,0.03742853,-0.062095184,0.05873411,0.022357186,-0.0019694546,-0.018073788,0.00842638,0.009003894,0.038789246,-0.17361581,-0.02328209,0.027402943,-0.09588781,-0.076814175,-0.061330575,0.030109335,-0.053162374,0.016915323,-0.14205617,-0.015573913,0.080145106,0.089842744,-0.017731203,0.019480914,0.0061860285,-0.05760966,-0.086906135,0.027801143,-0.010459073,-0.026146386,-0.11300845,-0.14466502,0.015972035,0.087738454,0.19962098,0.0025400766,0.02136935,-0.031309534,0.061200492,0.036529034,-0.009703581,-0.08054872,-0.030760018,-0.049508143,0.014086437,0.08590419,-0.028553674,-0.021943128,-0.00020042573,-0.05192514,0.05430441,0.092956275,0.04962425,-0.13123935,0.017306307
TCGA-S3-AA17-01A,0.026392499,-0.03623489,0.09505405,0.18686472,-0.007009047,0.093098216,0.10793557,0.0009250332,-0.034183837,-0.045537647,0.021305624,-0.0075129056,0.018498288,0.19770303,0.041244864,-0.04324587,0.048509564,0.017042615,-0.02879328,-0.071289666,-0.047437083,-0.11266201,-0.1446172,0.06984445,-0.049435966,0.0468537,-0.14774536,-0.035283063,0.0056880857,-0.08186004,-0.0512539,-0.014060364,-0.080331855,-0.0643124,-0.050742082,-0.05225751,-0.029409142,0.031364426,-0.08554918,-0.112184495,0.056343973,0.072500065,0.10544695,-0.053607114,-0.060802307,-0.035536647,0.023498904,0.038823795,-0.033164244,0.09602683,-0.019730758,0.087974995,0.09679427,0.082334794,-0.0857796,0.073516786,0.073444754,-0.057119995,-0.06558814,0.020685636,0.015346556,-0.010629945,-0.09000388,0.07115237,-0.069843784,-0.011861555,0.11355625,-0.04483461,-0.07596273,0.057514954,-0.12195311,-0.019059598,-0.028490473,-0.12836388,0.0804929,-0.034778785,0.0066565126,-0.017419895,0.14135315,-0.04904694,-0.0032348852,-0.0040048705,-0.0912977,0.08331687,0.016104653,-0.10076966,-0.05815615,0.06395335,0.081970006,-0.022551946,0.031308584,-0.043807272,0.0038290494,0.06660923,0.06480914,-0.112890095,0.08376241,0.009829203,0.066246465,-0.06795183,0.0697314,0.04737266,0.058031116,-0.12737565,-0.08660184,-0.0031816603,-0.046722863,-0.08225103,0.005504335,-0.0045351195,-0.06252446,-0.08570716,-0.09474527,0.10499949,0.009059107,-0.05947546,-0.08922618,-0.032741707,-0.0343342,0.038434535,0.14197321,-0.105587244,0.07944565,-0.039304532,-0.025222503,0.015606568,-0.04354102,0.02054746,-0.09074645,0.14552857,0.12045147,-0.116709255,-0.0047652796,-0.078915015,-0.22064114,-0.019242173,-0.03702248,-0.009649607,-0.027665429,0.010773315,-0.04959125,-0.15318128,-0.025348542,-0.011555871,-0.0165673,-0.03899763,-0.081480525,-0.016250042,-0.039610714,0.034584396,-0.0047795842,-0.024698159,0.0005949167,-0.02018196,-0.07516208,0.046592567,0.040369455,-0.05824844,-0.089317545,0.011062305,-0.02290939,-0.011700573,0.0122536095,-0.15562022,-0.008241085,0.1376095,0.019376472,-0.0024776745,-0.042279534,0.006540891,-0.051846173,-0.045251265,-0.017236477,-0.023762336,0.10083065,-0.03716559,-0.10561674,0.052877393,0.07157775,0.08483644,-0.014318181,-0.039498683,-0.07328299,0.090852804,0.030267056,-0.029439906,-0.14085324,-0.04450692,-0.0035092293,0.09976932,0.11796721,-0.05317609,-0.0076317554,0.041122396,-0.0612371,-0.046052184,0.1107601,0.03675477,-0.03243497,-0.033123627
TCGA-LL-A73Y-01A,-0.055332758,-0.0060390304,0.1229293,0.05246824,-0.040600628,0.056903347,0.0028332847,0.048777368,-0.022300193,-0.02439254,0.008894292,0.09015531,0.038422413,0.081163496,0.03031105,-0.073283836,0.012236972,0.06283372,-0.052918345,-0.13595423,-0.021034824,-0.079980694,-0.12971342,-0.040543903,-0.028131481,-0.029553114,-0.16090626,-0.03838848,0.0023174183,-0.10303103,-0.07015808,0.031015854,-0.12111785,-0.13337235,-0.07447322,-0.026810948,-0.042239863,-0.0025330682,-0.032390095,0.0016872922,-0.020989912,0.058746275,0.14836256,-0.08160546,-0.04445968,-0.06578897,-0.006734911,0.100704834,0.06905573,0.039842468,0.06750836,0.10025704,0.021373114,0.14424583,-0.050422885,-0.003896917,0.10620405,0.012280475,-0.05020131,0.04241445,0.02064908,0.014738112,-0.1551332,0.06703229,-0.10870212,-0.04423494,0.14777133,0.03595817,-0.026706154,0.020791426,-0.16352423,0.061083086,0.08996425,-0.1702248,0.12155224,0.038436055,-0.11117372,-0.011773553,0.113530025,0.023804327,-0.008265348,-0.06659537,0.0075388392,0.062197354,0.009362487,-0.052687336,-0.08872914,0.108531535,0.13714772,-0.040232327,0.11218146,-0.020807244,0.06321976,0.09323483,0.056943282,0.023611078,-0.04816872,0.01497548,-0.060058534,-0.030523667,0.014919647,0.047374774,0.07028381,-0.07530966,-0.09278747,-0.00853407,-0.07344089,-0.0423824,0.044521853,-0.02950076,-0.07403596,-0.096705645,-0.06599731,0.12961341,0.08783683,0.022922045,-0.09999792,-0.061108932,0.0068156226,-0.074551135,0.06792191,-0.045056283,0.019511329,-0.02728375,-0.06504736,-0.030902535,-0.077293396,0.08883331,-0.069113016,0.11216766,0.09227616,-0.10377915,-0.023115912,-0.06308157,-0.1519616,-0.07292216,-0.012885034,-0.008516717,0.03930665,0.046266865,0.0025793407,-0.20682655,0.008442081,0.06641416,-0.010595242,-0.01797423,-0.17010485,-0.043036953,0.037784867,-0.10480264,0.0008671138,-0.0010189698,0.067240626,0.04956357,-0.040909052,0.06255821,0.03257637,-0.018593479,-0.09086987,-0.033826627,0.0073425015,-0.0064222314,-0.009280772,-0.14002346,-0.06562633,0.04911373,-0.0026719035,-0.042511087,-0.034126237,-0.09392564,0.012454691,-0.02498255,-0.019839065,0.097302966,0.069243714,-0.04910801,-0.0646485,0.091834515,0.003297705,0.14563836,0.002719354,-0.038874365,-0.076528706,0.017053055,0.05649954,0.0030110185,-0.02106335,0.001179711,-0.04726001,0.017908562,0.026137246,-0.03586294,-0.024476381,0.008792958,0.014452389,0.02015668,0.11083918,0.038667157,0.043124452,-0.055278517
TCGA-EW-A1PA-01A,-0.036799323,-0.019842861,0.07159965,0.02532148,0.010208431,0.13097048,0.05388051,0.018410724,0.017041828,-0.008199009,-0.01917873,-0.062427938,-0.0019108203,0.1629006,0.06547768,0.015971845,0.00017908614,0.10745603,0.0076592425,-0.07728041,-0.003930461,-0.0776525,-0.17092754,0.10423044,-0.011997915,-0.06963473,-0.08709503,-0.026462916,0.007299102,-0.032598387,-0.100228794,0.052917257,-0.14519477,-0.21512488,-0.019293169,-0.0937904,-0.08543625,-0.025557235,-0.104283094,-0.012151976,0.058895513,0.027898954,0.1000668,-0.09781837,-0.04891087,-0.022719318,-0.026177175,-0.0155122625,0.050423823,0.06776308,0.11153207,0.0066773677,0.05726063,0.013113924,-0.06881555,-0.018857095,0.08864991,0.04696271,-0.0920134,0.010716596,0.056720763,0.030727495,-0.07226177,0.08449747,0.046166703,-0.06722387,0.15675828,0.026083443,-0.10346129,-0.025517473,-0.06874094,0.055337254,-0.025548391,-0.23360503,0.089253716,-0.01985322,0.007720591,0.0055884044,0.11220459,-0.01042174,0.016929269,-0.008558174,-0.03825472,0.020442441,-0.07046976,-0.08181832,-0.04829162,0.00901688,0.06819463,0.04267623,0.022832323,-0.068323776,0.017418731,-0.033981144,0.07108386,-0.08671856,-0.05703468,-0.047127187,0.05185569,0.0135353515,0.015538262,0.030248515,0.07046564,-0.06433171,-0.06594254,0.009103092,-0.07828573,-0.11587601,-0.027439803,-0.06900675,0.033951726,-0.13601159,-0.05086256,0.06618506,0.101772465,-0.06246536,0.020614864,-0.024068037,0.047100637,-0.03515788,0.08252495,-0.10848028,0.107778594,0.023422776,0.07797687,0.0056085805,0.027844377,0.024806099,0.00399274,0.14890388,0.14465408,-0.101596735,-0.051650707,-0.0778575,-0.18257427,0.002353817,-0.036891792,-0.00035121664,0.04675576,0.035358004,0.033290505,-0.17273396,-0.049578916,0.0121177705,0.080246344,0.0041170665,-0.07306629,-0.09630615,0.029151939,0.008900937,0.020649355,0.045163143,0.060940627,0.05098104,-0.009317625,0.11279226,0.12632342,-0.064281076,-0.1113237,-0.0547291,-0.0071826605,-0.04923565,0.07174844,-0.18926838,-0.06291399,0.057110336,0.09662901,-0.026964448,-0.035760734,-0.04649398,-0.030809542,-0.10101173,-0.00073905586,0.016629012,-0.013505412,-0.01573246,-0.023963787,-0.019162701,0.03180547,0.10963516,-0.03723232,0.0009776291,0.04716093,-0.020051971,0.05380266,-0.0639291,-0.084604025,-0.06383201,0.01221244,0.055345517,0.12109441,-0.04445378,-0.041798294,-0.008784829,0.0035604646,0.024109397,0.07886677,0.03688007,0.0044768685,-0.05198219
