,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
TCGA-BH-A0GZ-01A,0.045962375,0.0031318364,0.31429508,0.22034031,-0.05906633,0.11153289,0.048724595,-0.044529207,0.032376323,0.019225912,-0.035613667,0.023051605,-0.089273825,0.14639065,0.18479204,-0.0021774613,0.024903003,0.22859,0.058850896,-0.08611917,0.06882461,0.10610381,0.010982045,0.078870356,-0.0077097416,0.11195251,-0.3575848,-0.11123427,-0.09042277,-0.23033634,0.14085338,0.06953082,-0.24574429,-0.3117498,-0.12399465,-0.20527315,-0.08491026,-0.15975139,-0.16917965,-0.0015232502,-0.1428941,0.07072909,0.088008866,-0.13559535,-0.093038,0.04296624,-0.058427636,-0.0063443845,0.14161123,0.27686808
TCGA-A7-A4SF-01A,0.08953904,0.04239718,0.25891432,0.18969813,-0.024464317,0.17391406,0.13012956,0.040163063,0.12353192,0.10695661,0.0019464729,-0.058774024,-0.0576058,0.05525216,0.14883533,-0.22175689,0.09342831,0.28880435,-0.014409936,-0.02478446,0.025970284,-0.009941357,0.0033284498,0.22317256,-0.009137127,0.0895597,-0.28315458,-0.07665975,-0.055684894,-0.13953969,0.054816745,0.13307393,-0.18753313,-0.39396086,-0.099660054,-0.2791082,-0.06916926,-0.05794994,-0.18303756,-0.029080689,-0.004644342,-0.059852645,0.08385206,-0.121936545,-0.030224651,-0.12803419,-0.00641575,0.04729149,0.123412415,0.26058704
TCGA-E9-A1RE-01A,0.028104395,0.012991468,0.2351903,0.18931381,-0.03301754,0.2426565,0.055456165,0.050673034,0.1259007,0.061220635,-0.03831762,0.005141214,-0.029885642,0.17743768,0.08997643,-0.12655431,0.016258022,0.17828794,-0.02933287,0.038341675,0.07136489,-0.031982075,-0.039303407,0.2018975,0.020651268,0.14659797,-0.34400088,-0.1140343,-0.10133565,-0.075986065,0.17495811,0.084665775,-0.26971766,-0.30373597,-0.2117684,-0.32248062,-0.037869956,0.017028324,-0.13159628,-0.08302009,-0.05810813,-0.0096438,0.10640605,-0.1255951,-0.14385135,-0.1659911,-0.03978604,0.036993776,0.16913408,0.15702964
TCGA-AO-A0JM-01A,0.019120254,0.13667808,0.19407584,0.19871482,-0.023833165,0.25684422,0.12064942,0.071249984,0.047906686,0.10844209,-0.02984626,-0.023125585,0.0323463,0.19067818,0.1881525,-0.1868232,0.078984156,0.2812707,0.055771694,0.036277723,0.01003689,-0.021209328,0.0011318136,0.21737053,-0.08180973,0.10290197,-0.2617254,0.021040617,-0.11502241,-0.09037275,0.13246535,0.07432362,-0.26790762,-0.27801016,-0.16106896,-0.28617007,-0.06883899,-0.041073058,-0.064188465,0.012647599,-0.073221825,0.08816438,0.146679,-0.086120896,-0.06518187,-0.11332773,-0.10978825,0.0041517015,0.25531852,0.1488149
TCGA-C8-A1HE-01A,0.0023664462,-0.07573923,0.20586571,0.2753987,-0.039243072,0.19487636,0.10706359,-0.0191407,-0.014690787,0.0066927965,-0.026661642,-0.10329262,-0.08191612,0.18537538,0.2471784,-0.08366317,0.049531877,0.2428709,-0.003273236,-0.09201881,0.021018406,0.045434978,0.02519857,0.1112193,0.05135863,0.13221343,-0.30884737,-0.100371905,-0.07887071,-0.10813804,0.058888867,0.08274443,-0.24150324,-0.32373592,-0.18817195,-0.2637387,-0.086634845,-0.12213884,-0.20658989,-0.013370573,0.009290358,0.07866837,0.022434738,-0.064573154,-0.09975412,-0.095317654,-0.041068733,0.07225897,0.2201227,0.21427707
TCGA-B6-A0WT-01A,-0.018082216,0.011571979,0.21833903,0.19949298,-0.06420692,0.20061706,0.0913947,-0.049719643,-0.043623645,0.08241779,0.011179827,-0.033013184,-0.08123218,0.25218427,0.16134246,-0.07357985,0.13003512,0.22505246,-0.065020815,-0.07807049,0.09945867,-0.011127292,-0.052689366,0.13022903,0.061937273,0.2160283,-0.29624113,0.013576153,-0.026792055,-0.11289395,0.056134783,0.018842256,-0.29537967,-0.24711256,-0.14161885,-0.36152667,-0.10446922,-0.07562923,-0.0996729,0.0381755,-0.081875026,-0.04631597,0.13190138,-0.15928875,-0.002786026,-0.07529541,-0.177613,0.004881385,0.15200447,0.2078596
TCGA-E9-A22H-01A,0.036316875,0.10313684,0.22549535,0.1954174,-0.1498613,0.12137084,0.0651918,0.03536192,-0.018535582,0.017641732,0.045973163,-0.03288169,-0.058872074,0.18394653,0.21868514,-0.08552566,0.099483624,0.2244477,-0.0490625,-0.04917844,-0.09669181,0.049935423,0.0078049935,0.04275512,-0.0031296725,0.20456901,-0.36011544,-0.1281926,0.0015000979,-0.13401358,0.1479734,0.028198814,-0.1914041,-0.33647722,-0.19238532,-0.22589119,-0.062120296,-0.09531283,-0.14136101,-0.03279406,-0.03672132,-0.06448971,0.07538704,-0.10574379,-0.1296966,-0.2286425,-0.071072645,0.13265552,0.2045626,0.15719569
TCGA-E2-A1LG-01A,-0.0043575065,0.03802105,0.2159397,0.16742906,-0.029538117,0.27867544,0.08595229,-0.03686493,0.08561327,0.07727693,-0.038717765,-0.09805983,-0.088985845,0.17739558,0.15865384,-0.2030627,0.01587951,0.175903,0.05500998,-0.0797199,0.050713576,-0.15983938,-0.002110085,0.1955046,0.00021546992,0.19241351,-0.3373892,-0.10692817,-0.09911741,-0.09915648,0.056246646,0.11446967,-0.29166666,-0.28676078,-0.21666035,-0.23370442,-0.10705603,-0.048961155,-0.14161113,-0.023202788,-0.006848043,0.027078142,0.17140652,-0.06974586,-0.055692226,-0.06429914,-0.11705963,0.024746416,0.11013888,0.17097639
TCGA-AR-A1AN-01A,0.10407492,0.03226573,0.35262132,0.20899062,-0.13552381,0.20863326,0.13233502,0.087951034,0.022820134,-0.045156524,-0.058136426,-0.06410618,-0.061984815,0.16725534,0.16255644,-0.09115186,0.08081513,0.23349977,-0.057028506,-0.06359514,0.010702123,0.022538874,-0.08208215,0.1392196,0.033396736,0.112974815,-0.26114416,-0.037430253,-0.111940496,-0.16000555,0.16160804,0.06696604,-0.12046896,-0.30921873,-0.13065617,-0.33087236,-0.118061066,-0.08340921,-0.024967486,-6.211814e-05,-0.0760978,-0.04539021,0.112328604,-0.1364435,-0.12600751,-0.16401798,-0.06073327,0.063484706,0.10088653,0.22606851
TCGA-D8-A1X7-01A,0.06229509,0.011723261,0.30534223,0.23481181,-0.05285839,0.20153756,0.122590244,0.037584357,0.059966046,0.052915983,0.008529612,-0.059455406,0.022319322,0.13404138,0.1964128,-0.14897814,0.053496946,0.20370248,-0.043014918,-0.07521307,0.06160195,0.07246386,-0.11090194,0.16922261,-0.016420372,0.15234122,-0.26562458,-0.013842191,-0.13907954,-0.1630644,0.09105516,0.062331636,-0.26491845,-0.35775572,-0.19555607,-0.2140047,-0.061631233,-0.1834284,-0.06260871,-0.039258268,-0.061460573,0.030377015,0.10343889,-0.051024918,-0.15595175,-0.12789655,-0.14424188,0.07983078,0.083551995,0.1624179
