,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
TCGA-OL-A5RZ-01A,-0.028843729,-0.06244286,0.115438364,0.01828213,0.03806497,0.122314215,-0.09848132,0.08371815,-0.054731883,0.090912424,0.015645597,-0.040871553,0.08702213,0.27226982,0.10577594,-0.014931582,-0.047474667,0.07218477,0.012124922,-0.15707329,-0.1244686,0.025909744,-0.060711276,0.16698472,-0.02683591,-0.050766,-0.19933443,-0.081951514,0.025849896,-0.0456391,-0.10089408,0.059730183,-0.024666797,-0.15738723,-0.069803886,-0.06421421,-0.17181776,-0.04504401,-0.01685165,-0.086900555,-0.07649696,0.1630635,0.15852897,-0.06965249,-0.11030719,0.00696823,0.06487301,0.09966182,0.12132935,0.03814951,0.108783,0.06111774,0.05729141,0.03107095,-0.0311992,-0.013885655,-0.0013828753,0.02319156,-0.055300426,-0.06371547,0.11662164,0.06823706,-0.07027891,0.09286909,-0.02335747,-0.033088177,0.10002132,-0.0027334476,-0.09273316,-0.05575434,-0.22059457,0.02426176,0.02203652,-0.2746528,0.2481144,0.11292638,-0.06492602,0.023936784,0.23134302,0.08925905,0.027488882,-0.13786195,-0.08308797,0.050347704,-0.09808811,0.056617875,0.058234945,-0.014021728,0.18635021,-0.11979646,-0.03382988,-0.09368067,0.081756495,0.012204482,0.037857514,-0.17244296,-0.093566336,-0.04864879,0.086561315,-0.08005248
TCGA-AR-A1AR-01A,0.02429443,-0.06595609,-0.008175922,0.09963573,0.0820887,0.08811741,0.029726742,0.05092352,-0.056246854,0.09349578,0.03086903,-0.027880548,-0.0112221185,0.3154867,0.22755772,-0.07859711,0.058459368,0.07312373,0.024282213,-0.021729063,-0.050714687,-0.028346755,-0.10686828,0.09100076,-0.0063318023,-0.1757956,-0.15482509,-0.096345715,0.03812434,-0.08059301,-0.13486949,-0.0054792436,-0.2280651,-0.22271983,-0.087246604,-0.0803655,0.0650561,0.03921202,-0.09416383,-0.043126237,0.07231345,-0.009667431,0.04477492,-0.14074217,0.019501584,-0.013714743,0.09595165,0.11592624,0.0040679593,0.06040937,0.08881822,0.022969123,0.060838465,0.06304936,-0.064417616,-0.027236788,0.0021044281,0.11386157,0.04481717,0.025853356,0.14363986,-0.01961933,-0.13272184,0.12090349,-0.08452035,0.028667137,0.12897876,0.0324391,-0.10454274,0.020962957,-0.23604086,0.17543772,0.06980899,-0.23092586,0.15559399,0.04664712,-0.13398695,0.05477543,0.11841186,-0.06642722,-0.0075579667,-0.13315123,-0.08438402,0.07326074,-0.033012662,-0.051274434,-0.03870409,0.121168636,0.100649856,-0.08893058,0.061773676,-0.113166615,0.04589849,0.037746083,0.12955883,-0.064573176,-0.010351749,0.07531791,0.14769967,-0.10989556
TCGA-BH-A8FZ-01A,0.06305585,-0.10920138,0.2033467,0.10306485,-0.13638525,-0.031389337,-0.012257681,0.10633333,-0.08463689,0.13346899,-0.075876884,-0.017113023,-0.012571075,0.17644703,0.1099392,0.021980181,-0.0042676833,0.10245076,-0.0020049133,-0.06011273,-0.067158684,-0.08001222,-0.062052492,0.07121974,-0.076493256,-0.05156334,-0.20174448,-0.12788895,-0.021124987,0.061536845,-0.102277964,0.07809035,-0.16940132,-0.12072412,-0.26167053,-0.17471431,-0.09614751,0.106059276,-0.017767245,-0.0060436577,-0.03660202,0.026585747,0.011649934,-0.15540703,-0.039739806,-0.10193989,0.11902597,-0.005863692,0.047970362,0.117069766,-0.013857453,0.11281901,0.08602887,0.0923034,-0.09833383,0.04243497,0.08256344,0.15397465,-0.12555778,0.03618355,0.09497866,-0.02269804,-0.08987378,0.15346856,-0.017092422,-0.049305312,0.107431546,-0.011746466,-0.07846878,-0.051344167,-0.1530938,-0.011124151,0.0019562326,-0.19145586,0.121935256,0.090494365,-0.063979894,0.036099046,0.28658384,-0.048932284,0.034974504,-0.25182134,0.027294796,0.03378146,0.099043824,-0.0027367603,-0.029830648,0.062562056,0.13479532,-0.074632086,-0.09689235,-0.03807034,-0.011729344,-0.059644748,-0.06461786,-0.11465966,-0.07830991,0.013023378,-0.052371487,-0.05466442
TCGA-E2-A1B0-01A,0.055371545,-0.073694006,0.07353655,0.06634278,0.04133559,0.062233407,0.049381148,0.027617412,-0.06890645,0.110243835,0.009568221,0.033151288,-0.002417977,0.24094653,0.10880281,0.11933178,-0.07275944,0.09062667,-0.0021658828,-0.14707269,-0.031675998,-0.03110755,-0.14283548,0.016202424,0.022624135,-0.0071667098,-0.2455353,-0.04659772,-0.06940724,-0.0072515183,-0.030869458,0.04268745,-0.15039343,-0.116805725,-0.14196026,-0.033797927,-0.15587014,0.033469558,0.0747297,-0.02366016,-0.037067637,0.056529496,0.11356042,-0.25987577,0.013836738,0.078396864,-0.005312296,0.051166244,0.13829675,0.12499107,0.07007292,0.0020718868,-0.06579339,0.052000396,0.07657107,-0.08561455,0.025493044,0.0075547616,-0.10186472,-0.0050456584,0.18418963,-0.030206382,-0.08666636,0.07503335,-0.094177194,0.10801602,0.13026501,-0.025278034,-0.03029148,0.023954889,-0.31962347,0.16059239,-0.06462316,-0.20948148,0.16745712,0.029268816,0.07071118,-0.009428476,0.21373911,0.067192,0.034277704,-0.11539688,-0.0020371326,0.054308813,-0.079281375,-0.004016267,0.07468785,0.11841378,0.13880642,0.03835335,0.12718575,-0.14008203,0.11444666,0.09380512,0.11442044,-0.03904829,0.043932628,0.0028197502,0.026730316,-0.035698794
TCGA-AN-A0XU-01A,0.034865532,-0.033768576,0.12604083,0.11349971,0.027109716,-0.030470569,-0.10351725,-0.04398665,0.01976645,0.1215956,0.0368127,0.002743093,-0.08669041,0.17318894,0.09094601,0.018167015,0.012989263,0.17438668,0.04205278,-0.22435926,-0.035205025,-0.053305633,-0.051173057,0.03519651,-0.017363999,-0.028308833,-0.24793516,-0.036358573,-0.011026057,-0.1022276,-0.10208519,0.018451462,-0.09560858,-0.16604635,-0.15508497,-0.07336444,0.032347094,0.033451352,-0.040526196,0.016450826,-0.03996767,-0.031803817,0.14726755,-0.11214971,-0.10630608,-0.04996748,0.062300134,0.071699694,-0.0018504948,0.0969891,0.10329045,-0.04414846,0.040268682,0.079380505,0.026865771,0.11989321,0.044468075,-0.0143959755,-0.23547022,-0.017310238,0.09656853,0.011861458,-0.10035644,0.11328728,-0.1321953,-0.11135996,0.21383187,0.07511213,-0.06230722,0.051870946,-0.18937297,0.0639389,0.0019874016,-0.2921573,0.08962085,-0.014429761,-0.035261296,0.04939508,0.1523459,0.022659324,-0.027287897,-0.033370387,0.006127545,0.053590056,-0.0644605,-0.12874594,0.039579093,0.025292585,0.19643152,-0.10174787,0.04103466,-0.17587207,0.12016487,0.015807362,0.07388692,-0.10821001,-0.16027887,-0.089856416,0.16254868,-0.026786325
TCGA-D8-A27G-01A,-0.0018234688,-0.029627671,0.14714327,0.0021366337,-0.07412305,0.039897356,0.024260476,0.08584687,0.0023212468,0.0017011763,-0.13516665,-0.017982846,0.09220536,0.25326657,0.1009774,0.038106237,0.069746844,0.1442392,0.028582726,-0.18571937,-0.061135095,-0.18995647,0.008548819,0.00887637,-0.020962408,-0.08705321,-0.21674332,-0.090035014,0.025079848,-0.06235408,-0.23725569,0.11745908,-0.040215004,-0.16355631,-0.16957185,-0.13559088,-0.07276745,-0.024473144,-0.117093235,-0.06487464,-0.0866268,0.12555645,-0.0075261025,-0.16931133,-0.08195807,0.0068838154,0.024872422,0.026003893,0.030644143,0.22314002,0.13817371,0.013122755,0.0044770683,0.08543672,0.012409722,0.1507115,0.16198535,-0.00015458003,-0.0025023168,0.01401683,0.15501657,0.032069884,-0.04766396,0.0711464,-0.018180234,-0.029329015,0.20834395,0.026124317,-0.035249826,-0.011103083,-0.19127461,0.046505805,-0.16029374,-0.142936,0.16861477,0.05187027,0.111033596,0.0064303353,0.056599643,0.048457406,0.06587907,-0.1805128,0.05152775,0.043382164,-0.020144796,-0.115203656,0.1111072,0.09292567,0.057276815,-0.0488747,0.014650516,-0.13735281,0.070615366,0.03671477,0.031877283,-0.11531517,0.010828144,0.002194681,0.015280573,0.006473543
TCGA-D8-A27L-01A,-0.010750176,-0.15322298,0.1105411,0.03180024,-0.033932034,0.08144638,-0.04488415,-0.07862466,-0.030528301,0.09424865,0.034611575,0.025977733,0.014704523,0.2740373,0.073317796,-0.057067577,-0.009310878,0.08996278,-0.06940978,-0.12668572,-0.015649645,0.00957749,-0.10893644,0.21232493,-0.07675017,-0.124248,-0.12961131,-0.048620492,-0.04616833,-0.08813989,-0.15026002,0.039630402,-0.15632144,-0.14759023,-0.25423175,-0.19845064,-0.013416336,0.038348038,-0.06761492,-0.13421744,-0.12279081,0.083804406,0.1852662,-0.10530432,-0.056088697,-0.0005493174,0.1011002,0.077318236,0.12776725,0.10357171,0.03333629,0.02236373,0.078565374,-0.03352554,0.032599557,-0.040256735,0.076447025,0.08178627,-0.061389077,-0.046676893,0.0076697785,0.011223299,-0.180104,0.15033376,-0.0042813267,-0.058340788,0.11286876,-0.102882735,-0.093285665,-0.0789029,-0.122543074,0.13468203,0.039681647,-0.2457035,0.112361066,0.13054542,-0.098286204,-0.037707645,0.13816229,-0.055831876,0.045713227,0.001720391,0.04331991,0.06805867,0.101437956,-0.08478724,-0.05023332,0.07776047,0.06772683,-0.13924713,0.017216885,-0.09799051,0.095968604,0.11120758,0.08711217,-0.08722761,-0.014883792,0.06423921,-0.014131045,-0.08623079
TCGA-C8-A26Y-01A,0.12604105,-0.0564324,0.23787762,0.18689579,0.11122416,0.025187984,0.055349797,0.046651658,-0.0391964,0.11121138,-0.06548712,0.10218848,0.053829852,0.22056787,0.10768942,-0.06313169,-0.034608614,0.011460656,0.020281894,-0.1816623,-0.008020536,0.04459311,-0.082561314,0.111105256,-0.041248217,0.0032389811,-0.14132275,-0.17787683,-0.047147967,-0.10718974,-0.13526744,-0.06595505,-0.14728725,-0.21054503,-0.12174076,-0.19291931,0.008012273,-0.010382715,0.06626789,-0.016665027,-0.03478897,0.14412244,0.121890135,-0.22913639,-0.032941215,-0.0033463677,0.011860963,-0.028493559,-0.00033392606,0.10736502,0.06426378,0.013429684,0.048713706,0.0837809,0.06453024,0.16952243,0.08640828,0.040048502,-0.03576244,-0.017705562,0.0024898772,0.08658434,-0.099361986,0.13036796,-0.034363136,-0.016744195,0.17184064,-0.08037481,-0.023800742,-3.724257e-05,-0.21410437,0.06876632,-0.097063914,-0.16747203,0.060450718,0.04375137,0.012708473,-0.019944374,0.17298351,0.052843973,-0.029142043,-0.08492819,-0.036983147,0.03789501,-0.043514937,0.00016169884,-0.011141016,0.044045717,0.107588604,-0.08059987,0.071472585,-0.11993867,0.14549188,0.099128,0.18358019,-0.055804916,-0.0044573345,-0.033220846,0.13865532,-0.08280621
TCGA-3C-AAAU-01A,0.07146341,-0.10514919,0.0863107,0.09249356,0.02047862,0.018278012,-0.03874755,0.06447008,-0.08937623,0.11040331,-0.038598627,0.0650968,0.037669435,0.37827134,0.09715669,-0.072375126,0.06458178,0.09176924,-0.0308285,-0.0120345745,-0.13611123,0.0018157285,-0.0076331045,0.024859508,-0.04071841,-0.0022388205,-0.2623206,-0.103414446,0.12100041,-0.067622,-0.09580982,0.071408845,-0.06789358,-0.1176807,-0.11884116,-0.13847359,-0.102922484,-0.037311032,-0.15035598,0.038250532,-0.040674843,0.008844929,0.02966853,-0.021844063,-0.11854257,-0.08619203,0.102369465,-0.08124903,0.082842536,0.09347216,0.033901032,-0.0068526934,0.0599746,0.06997153,-0.06063962,-0.025962284,0.15886234,0.013138626,0.0069348323,0.017070675,0.061838433,-0.06915009,-0.06959307,-0.008960117,-0.033761,0.0037973553,0.21108711,-0.04494079,-0.066350184,-0.06870934,-0.18268631,-0.04531389,-0.03681518,-0.27719,0.21411648,-0.06456642,-0.018444493,0.048967272,0.18038437,0.011196507,0.033966526,-0.13629887,-0.064322665,0.0052994564,-0.04531033,-0.054109626,0.00033651805,0.2054906,0.09705152,-0.10925434,0.010610503,-0.14411756,0.14546993,0.07470288,0.021170095,0.06318172,-0.061584864,-0.10198412,0.0893588,-0.08832088
TCGA-A2-A0CT-01A,0.0029540113,-0.06161544,0.17016049,0.019902406,-0.046119742,0.00234844,0.01109703,0.026606195,-0.0737731,0.18913877,-0.019664325,0.020585649,-0.017998304,0.2616267,0.16547933,-0.05753435,-0.0285433,0.1298871,-0.019961566,-0.15955819,-0.08278495,-0.07890051,-0.07550122,0.09983007,-0.13802446,-0.025647031,-0.2418164,-0.034711633,-0.045385655,-0.022350801,-0.018413467,-0.01440454,-0.1731593,-0.14309394,-0.15944944,-0.13776566,-0.052468285,-0.08147573,-0.11548196,-0.029423939,-0.123168714,0.039918527,0.12821937,-0.13486809,-0.062747456,-0.048066963,0.07924297,-0.08402013,0.10878253,0.14671685,0.082014374,0.0018330361,0.061460547,0.07798136,0.047803264,-0.003906549,0.029443368,-0.023689788,-0.07467793,-0.02967271,0.14960673,0.03265763,-0.057638783,0.11503982,-0.0026176989,-0.04065093,0.05726586,0.0072044786,-0.057267442,-0.014663335,-0.10888443,-0.020441249,-0.045665383,-0.2207777,0.17109074,0.060118053,-0.08834025,0.010744902,0.25960538,0.014303883,-0.03985141,-0.07592133,-0.027555907,0.08900744,0.01014563,-0.056137476,0.13290936,0.17620222,0.20551322,-0.026668148,-0.008518001,-0.09362603,0.09358187,0.016504198,0.18970756,-0.05677379,0.025332922,-0.067898475,0.14700069,0.056118883
