Algorithm,Category,Subset_Percent,rep_i,rep_j,ARI,Overlap
iClusterBayes,Bayesian,90,1,2,0.8720600030009,504
iClusterBayes,Bayesian,90,1,3,0.655778176130404,502
iClusterBayes,Bayesian,90,1,4,0.67866748138044,509
iClusterBayes,Bayesian,90,1,5,0.839224238783488,510
iClusterBayes,Bayesian,90,1,6,0.83191881594353,501
iClusterBayes,Bayesian,90,1,7,0.853731786548862,500
iClusterBayes,Bayesian,90,1,8,0.745547108156933,501
iClusterBayes,Bayesian,90,2,3,0.597197702312111,504
iClusterBayes,Bayesian,90,2,4,0.628335031290157,502
iClusterBayes,Bayesian,90,2,5,0.953344086456662,507
iClusterBayes,Bayesian,90,2,6,0.853697518964714,503
iClusterBayes,Bayesian,90,2,7,0.85977102814143,509
iClusterBayes,Bayesian,90,2,8,0.749811441745854,503
iClusterBayes,Bayesian,90,3,4,0.703440692582735,502
iClusterBayes,Bayesian,90,3,5,0.629037625346395,506
iClusterBayes,Bayesian,90,3,6,0.651923061855426,508
iClusterBayes,Bayesian,90,3,7,0.659905669856474,507
iClusterBayes,Bayesian,90,3,8,0.696717354336741,506
iClusterBayes,Bayesian,90,4,5,0.641530542019586,504
iClusterBayes,Bayesian,90,4,6,0.632911148768023,503
iClusterBayes,Bayesian,90,4,7,0.654358414838287,503
iClusterBayes,Bayesian,90,4,8,0.628388980294541,510
iClusterBayes,Bayesian,90,5,6,0.862166891500176,508
iClusterBayes,Bayesian,90,5,7,0.859760752685268,504
iClusterBayes,Bayesian,90,5,8,0.756958174581183,508
iClusterBayes,Bayesian,90,6,7,0.935491415583952,506
iClusterBayes,Bayesian,90,6,8,0.838045202038127,507
iClusterBayes,Bayesian,90,7,8,0.849350528475228,506
COCA,Consensus/Ensemble Clustering,90,1,2,0.20067908621332,504
COCA,Consensus/Ensemble Clustering,90,1,3,0.122085947889094,502
COCA,Consensus/Ensemble Clustering,90,1,4,0.877665558248991,509
COCA,Consensus/Ensemble Clustering,90,1,5,0.841301360986372,510
