Algorithm,Category,Subset_Percent,Stability_Median,Stability_Q25,Stability_Q75,N_clusterings,N_pairs,Overlap_Median,Overlap_Q25,Overlap_Q75
iClusterBayes,Bayesian,90,0.747679274951393,0.653749576592571,0.853706085860751,8,28,505,503,507.25
COCA,Consensus/Ensemble Clustering,90,0.160570763084459,0.031797226309926,0.486808212046994,10,45,506,503,508
MONET,Graph-based Methods,90,0.94256342598376,0.927023682823042,0.955788482737107,10,45,506,503,508
LRAcluster,Matrix Factorization,90,0.912882007415126,0.851689807348951,0.940304408815045,10,45,506,503,508
CIMLR,Multiple Kernel Learning,90,0.489813971371286,0.305814369298572,0.625940872089015,10,45,506,503,508
KLIC,Multiple Kernel Learning,90,0.474659667594753,0.219866462583703,0.583003116178277,10,45,506,503,508
wMKL,Multiple Kernel Learning,90,0.65926604890038,0.607452870928976,0.750160831861096,10,45,506,503,508
ANF,Similarity Network,90,0.948625345274732,0.924176246247207,0.965437219214585,10,45,506,503,508
MDICC,Similarity Network,90,-0.0147003559781414,-0.0232062257723806,-0.00696493495788033,10,45,506,503,508
MSNE,Similarity Network,90,0.596495646339259,0.578003506463066,0.609656638997459,10,45,506,503,508
NEMO,Similarity Network,90,0.948473212524835,0.940236971781156,0.95741272789108,10,45,506,503,508
RWR-F,Similarity Network,90,0.968747381062477,0.960706268035638,0.984279024423933,10,45,506,503,508
SNF,Similarity Network,90,0.965483339535901,0.964622458067689,0.982399136475629,10,45,506,503,508
Spectrum,Similarity Network,90,0.42953954734551,0.319549213968534,0.542140629572149,10,45,506,503,508
ab-SNF,Similarity Network,90,0.972641942769499,0.963520512455332,0.981658417682732,10,45,506,503,508
