probe	class	dirct
hsa-mir-934	CC1	down
hsa-mir-18a	CC1	down
hsa-mir-577	CC1	down
hsa-mir-135b	CC1	down
hsa-mir-505	CC1	down
hsa-mir-17	CC1	down
hsa-mir-224	CC1	down
hsa-mir-452	CC1	down
hsa-mir-19a	CC1	down
hsa-mir-519a-1	CC1	down
hsa-mir-188	CC1	down
hsa-mir-130b	CC1	down
hsa-mir-516a-1	CC1	down
hsa-mir-9-1	CC1	down
hsa-mir-9-3	CC1	down
hsa-mir-9-2	CC1	down
hsa-mir-455	CC1	down
hsa-mir-6728	CC1	down
hsa-mir-20a	CC1	down
hsa-mir-301b	CC1	down
hsa-mir-106b	CC1	down
hsa-mir-522	CC1	down
hsa-mir-519a-2	CC1	down
hsa-mir-877	CC1	down
hsa-mir-19b-1	CC1	down
hsa-mir-584	CC1	down
hsa-mir-516a-2	CC1	down
hsa-mir-138-2	CC1	down
hsa-mir-942	CC1	down
hsa-mir-502	CC1	down
hsa-mir-92a-1	CC1	down
hsa-mir-590	CC1	down
hsa-mir-197	CC1	down
hsa-mir-7112	CC1	down
hsa-mir-92a-2	CC1	down
hsa-mir-105-1	CC1	down
hsa-mir-6499	CC1	down
hsa-mir-500b	CC1	down
hsa-mir-378a	CC1	down
hsa-mir-105-2	CC1	down
hsa-mir-19b-2	CC1	down
hsa-mir-186	CC1	down
hsa-mir-767	CC1	down
hsa-mir-24-2	CC1	down
hsa-mir-24-1	CC1	down
hsa-mir-548s	CC1	down
hsa-mir-532	CC1	down
hsa-mir-500a	CC1	down
hsa-mir-5002	CC1	down
hsa-mir-548ao	CC1	down
hsa-mir-138-1	CC1	down
hsa-mir-579	CC1	down
hsa-mir-222	CC1	down
hsa-mir-501	CC1	down
hsa-mir-3682	CC1	down
hsa-mir-576	CC1	down
hsa-mir-4780	CC1	down
hsa-mir-4766	CC1	down
hsa-mir-548f-1	CC1	down
hsa-mir-551a	CC1	down
hsa-mir-1304	CC1	down
hsa-mir-4787	CC1	down
hsa-mir-4665	CC1	down
hsa-mir-3680-1	CC1	down
hsa-mir-548b	CC1	down
hsa-mir-210	CC1	down
hsa-mir-155	CC1	down
hsa-mir-518e	CC1	down
hsa-mir-93	CC1	down
hsa-mir-1301	CC1	down
hsa-mir-362	CC1	down
hsa-mir-4677	CC1	down
hsa-mir-6720	CC1	down
hsa-mir-548d-1	CC1	down
hsa-mir-324	CC1	down
hsa-mir-1306	CC1	down
hsa-mir-1276	CC1	down
hsa-mir-6783	CC1	down
hsa-mir-1307	CC1	down
hsa-mir-545	CC1	down
hsa-mir-5699	CC1	down
hsa-mir-937	CC1	down
hsa-mir-221	CC1	down
hsa-mir-3200	CC1	down
hsa-mir-766	CC1	down
hsa-mir-6832	CC1	down
hsa-mir-378c	CC1	down
hsa-mir-520b	CC1	down
hsa-mir-4999	CC1	down
hsa-mir-1283-1	CC1	down
hsa-mir-33a	CC1	down
hsa-mir-660	CC1	down
hsa-mir-548d-2	CC1	down
hsa-mir-3145	CC1	down
hsa-mir-146b	CC1	down
hsa-mir-421	CC1	down
hsa-mir-588	CC1	down
hsa-mir-5092	CC1	down
hsa-mir-146a	CC1	down
hsa-mir-1915	CC1	down
hsa-mir-190b	CC2	down
hsa-mir-375	CC2	down
hsa-mir-10b	CC2	down
hsa-mir-29c	CC2	down
hsa-mir-5694	CC2	down
hsa-mir-10a	CC2	down
hsa-mir-342	CC2	down
hsa-let-7a-3	CC2	down
hsa-let-7a-1	CC2	down
hsa-let-7a-2	CC2	down
hsa-mir-664a	CC2	down
hsa-mir-5691	CC2	down
hsa-mir-149	CC2	down
hsa-mir-625	CC2	down
hsa-mir-101-2	CC2	down
hsa-mir-101-1	CC2	down
hsa-let-7b	CC2	down
hsa-mir-125a	CC2	down
hsa-mir-139	CC2	down
hsa-mir-30a	CC2	down
hsa-mir-337	CC2	down
hsa-mir-184	CC2	down
hsa-mir-365a	CC2	down
hsa-mir-365b	CC2	down
hsa-mir-34c	CC2	down
hsa-let-7e	CC2	down
hsa-mir-653	CC2	down
hsa-mir-758	CC2	down
hsa-mir-195	CC2	down
hsa-mir-182	CC2	down
hsa-mir-409	CC2	down
hsa-mir-26a-2	CC2	down
hsa-mir-449a	CC2	down
hsa-mir-487b	CC2	down
hsa-mir-382	CC2	down
hsa-mir-127	CC2	down
hsa-mir-26a-1	CC2	down
hsa-mir-3678	CC2	down
hsa-mir-26b	CC2	down
hsa-mir-431	CC2	down
hsa-mir-887	CC2	down
hsa-mir-664b	CC2	down
hsa-mir-370	CC2	down
hsa-mir-135a-2	CC2	down
hsa-mir-379	CC2	down
hsa-mir-493	CC2	down
hsa-mir-199a-1	CC2	down
hsa-mir-432	CC2	down
hsa-mir-654	CC2	down
hsa-mir-193a	CC2	down
hsa-mir-218-2	CC2	down
hsa-mir-3913-1	CC2	down
hsa-mir-1266	CC2	down
hsa-mir-3926-2	CC2	down
hsa-mir-410	CC2	down
hsa-mir-134	CC2	down
hsa-mir-618	CC2	down
hsa-mir-135a-1	CC2	down
hsa-mir-191	CC2	down
hsa-mir-202	CC2	down
hsa-mir-199a-2	CC2	down
hsa-mir-4756	CC2	down
hsa-mir-103a-1	CC2	down
hsa-mir-218-1	CC2	down
hsa-mir-103a-2	CC2	down
hsa-mir-193b	CC2	down
hsa-mir-449b	CC2	down
hsa-mir-145	CC2	down
hsa-mir-3926-1	CC2	down
hsa-mir-21	CC2	down
hsa-mir-5684	CC2	down
hsa-mir-29b-2	CC2	down
hsa-mir-4446	CC2	down
hsa-mir-153-1	CC2	down
hsa-mir-655	CC2	down
hsa-mir-411	CC2	down
hsa-mir-3190	CC2	down
hsa-mir-499a	CC2	down
hsa-mir-1-1	CC2	down
hsa-mir-4680	CC2	down
hsa-mir-4790	CC2	down
hsa-mir-433	CC2	down
hsa-mir-642a	CC2	down
hsa-mir-22	CC2	down
hsa-mir-153-2	CC2	down
hsa-mir-935	CC2	down
hsa-mir-539	CC2	down
hsa-mir-497	CC2	down
hsa-mir-34b	CC2	down
hsa-mir-1251	CC2	down
hsa-mir-199b	CC2	down
hsa-mir-30c-2	CC2	down
