probe	class	dirct
hsa-mir-190b	CC1	up
hsa-mir-29c	CC1	up
hsa-mir-10b	CC1	up
hsa-mir-375	CC1	up
hsa-mir-5694	CC1	up
hsa-mir-342	CC1	up
hsa-mir-10a	CC1	up
hsa-let-7a-3	CC1	up
hsa-let-7a-1	CC1	up
hsa-let-7a-2	CC1	up
hsa-mir-664a	CC1	up
hsa-mir-5691	CC1	up
hsa-mir-149	CC1	up
hsa-mir-101-2	CC1	up
hsa-mir-101-1	CC1	up
hsa-mir-625	CC1	up
hsa-mir-125a	CC1	up
hsa-let-7b	CC1	up
hsa-mir-139	CC1	up
hsa-mir-337	CC1	up
hsa-mir-30a	CC1	up
hsa-mir-365a	CC1	up
hsa-mir-365b	CC1	up
hsa-mir-184	CC1	up
hsa-mir-34c	CC1	up
hsa-mir-653	CC1	up
hsa-mir-195	CC1	up
hsa-let-7e	CC1	up
hsa-mir-758	CC1	up
hsa-mir-26a-2	CC1	up
hsa-mir-26a-1	CC1	up
hsa-mir-409	CC1	up
hsa-mir-26b	CC1	up
hsa-mir-182	CC1	up
hsa-mir-449a	CC1	up
hsa-mir-487b	CC1	up
hsa-mir-382	CC1	up
hsa-mir-127	CC1	up
hsa-mir-3678	CC1	up
hsa-mir-887	CC1	up
hsa-mir-431	CC1	up
hsa-mir-664b	CC1	up
hsa-mir-135a-2	CC1	up
hsa-mir-199a-1	CC1	up
hsa-mir-493	CC1	up
hsa-mir-379	CC1	up
hsa-mir-370	CC1	up
hsa-mir-654	CC1	up
hsa-mir-218-2	CC1	up
hsa-mir-432	CC1	up
hsa-mir-193a	CC1	up
hsa-mir-191	CC1	up
hsa-mir-3926-2	CC1	up
hsa-mir-410	CC1	up
hsa-mir-202	CC1	up
hsa-mir-3913-1	CC1	up
hsa-mir-618	CC1	up
hsa-mir-135a-1	CC1	up
hsa-mir-134	CC1	up
hsa-mir-199a-2	CC1	up
hsa-mir-4756	CC1	up
hsa-mir-218-1	CC1	up
hsa-mir-1266	CC1	up
hsa-mir-193b	CC1	up
hsa-mir-449b	CC1	up
hsa-mir-103a-1	CC1	up
hsa-mir-145	CC1	up
hsa-mir-103a-2	CC1	up
hsa-mir-29b-2	CC1	up
hsa-mir-5684	CC1	up
hsa-mir-153-1	CC1	up
hsa-mir-4446	CC1	up
hsa-mir-411	CC1	up
hsa-mir-3926-1	CC1	up
hsa-mir-3190	CC1	up
hsa-mir-21	CC1	up
hsa-mir-153-2	CC1	up
hsa-mir-499a	CC1	up
hsa-mir-642a	CC1	up
hsa-mir-655	CC1	up
hsa-mir-1-1	CC1	up
hsa-mir-34b	CC1	up
hsa-mir-497	CC1	up
hsa-mir-4680	CC1	up
hsa-mir-4790	CC1	up
hsa-mir-1251	CC1	up
hsa-mir-539	CC1	up
hsa-mir-30c-2	CC1	up
hsa-mir-199b	CC1	up
hsa-mir-2114	CC1	up
hsa-mir-214	CC1	up
hsa-mir-433	CC1	up
hsa-mir-100	CC1	up
hsa-mir-935	CC1	up
hsa-mir-3156-1	CC1	up
hsa-mir-22	CC1	up
hsa-mir-3156-2	CC1	up
hsa-mir-1245a	CC1	up
hsa-mir-377	CC1	up
hsa-mir-381	CC1	up
hsa-mir-934	CC2	up
hsa-mir-18a	CC2	up
hsa-mir-577	CC2	up
hsa-mir-135b	CC2	up
hsa-mir-505	CC2	up
hsa-mir-17	CC2	up
hsa-mir-224	CC2	up
hsa-mir-452	CC2	up
hsa-mir-519a-1	CC2	up
hsa-mir-19a	CC2	up
hsa-mir-9-1	CC2	up
hsa-mir-516a-1	CC2	up
hsa-mir-9-3	CC2	up
hsa-mir-9-2	CC2	up
hsa-mir-188	CC2	up
hsa-mir-130b	CC2	up
hsa-mir-106b	CC2	up
hsa-mir-6728	CC2	up
hsa-mir-20a	CC2	up
hsa-mir-455	CC2	up
hsa-mir-301b	CC2	up
hsa-mir-522	CC2	up
hsa-mir-519a-2	CC2	up
hsa-mir-516a-2	CC2	up
hsa-mir-584	CC2	up
hsa-mir-877	CC2	up
hsa-mir-942	CC2	up
hsa-mir-19b-1	CC2	up
hsa-mir-92a-1	CC2	up
hsa-mir-138-2	CC2	up
hsa-mir-92a-2	CC2	up
hsa-mir-502	CC2	up
hsa-mir-590	CC2	up
hsa-mir-197	CC2	up
hsa-mir-7112	CC2	up
hsa-mir-500b	CC2	up
hsa-mir-105-1	CC2	up
hsa-mir-6499	CC2	up
hsa-mir-378a	CC2	up
hsa-mir-186	CC2	up
hsa-mir-105-2	CC2	up
hsa-mir-19b-2	CC2	up
hsa-mir-767	CC2	up
hsa-mir-532	CC2	up
hsa-mir-24-2	CC2	up
hsa-mir-500a	CC2	up
hsa-mir-24-1	CC2	up
hsa-mir-548s	CC2	up
hsa-mir-5002	CC2	up
hsa-mir-3682	CC2	up
hsa-mir-548ao	CC2	up
hsa-mir-501	CC2	up
hsa-mir-579	CC2	up
hsa-mir-138-1	CC2	up
hsa-mir-222	CC2	up
hsa-mir-576	CC2	up
hsa-mir-4780	CC2	up
hsa-mir-551a	CC2	up
hsa-mir-3680-1	CC2	up
hsa-mir-4766	CC2	up
hsa-mir-4787	CC2	up
hsa-mir-548f-1	CC2	up
hsa-mir-1304	CC2	up
hsa-mir-548b	CC2	up
hsa-mir-93	CC2	up
hsa-mir-4665	CC2	up
hsa-mir-210	CC2	up
hsa-mir-518e	CC2	up
hsa-mir-1301	CC2	up
hsa-mir-155	CC2	up
hsa-mir-362	CC2	up
hsa-mir-6720	CC2	up
hsa-mir-1307	CC2	up
hsa-mir-4677	CC2	up
hsa-mir-548d-1	CC2	up
hsa-mir-6783	CC2	up
hsa-mir-324	CC2	up
hsa-mir-545	CC2	up
hsa-mir-1306	CC2	up
hsa-mir-1276	CC2	up
hsa-mir-937	CC2	up
hsa-mir-3200	CC2	up
hsa-mir-766	CC2	up
hsa-mir-520b	CC2	up
hsa-mir-6832	CC2	up
hsa-mir-378c	CC2	up
hsa-mir-221	CC2	up
hsa-mir-5699	CC2	up
hsa-mir-5092	CC2	up
hsa-mir-1283-1	CC2	up
hsa-mir-660	CC2	up
hsa-mir-4999	CC2	up
hsa-mir-548d-2	CC2	up
hsa-mir-3145	CC2	up
hsa-mir-33a	CC2	up
hsa-mir-421	CC2	up
hsa-mir-146b	CC2	up
hsa-mir-588	CC2	up
hsa-mir-6807	CC2	up
hsa-mir-1283-2	CC2	up
