probe	class	dirct
hsa-mir-204	CC1	down
hsa-mir-6510	CC1	down
hsa-let-7c	CC1	down
hsa-mir-223	CC1	down
hsa-let-7i	CC1	down
hsa-mir-29a	CC1	down
hsa-mir-190a	CC1	down
hsa-mir-6717	CC1	down
hsa-mir-140	CC1	down
hsa-mir-30e	CC1	down
hsa-mir-944	CC1	down
hsa-mir-4491	CC1	down
hsa-mir-3622a	CC1	down
hsa-mir-205	CC1	down
hsa-mir-598	CC1	down
hsa-mir-99a	CC1	down
hsa-mir-5588	CC1	down
hsa-mir-28	CC1	down
hsa-mir-488	CC1	down
hsa-mir-499b	CC1	down
hsa-mir-18a	CC2	down
hsa-mir-505	CC2	down
hsa-mir-17	CC2	down
hsa-mir-188	CC2	down
hsa-mir-301b	CC2	down
hsa-mir-106b	CC2	down
hsa-mir-590	CC2	down
hsa-mir-9-3	CC2	down
hsa-mir-9-1	CC2	down
hsa-mir-877	CC2	down
hsa-mir-9-2	CC2	down
hsa-mir-105-1	CC2	down
hsa-mir-130b	CC2	down
hsa-mir-197	CC2	down
hsa-mir-942	CC2	down
hsa-mir-532	CC2	down
hsa-mir-224	CC2	down
hsa-mir-502	CC2	down
hsa-mir-105-2	CC2	down
hsa-mir-3200	CC2	down
hsa-mir-4664	CC2	down
hsa-mir-6728	CC2	down
hsa-mir-92a-1	CC2	down
hsa-mir-767	CC2	down
hsa-mir-92a-2	CC2	down
hsa-mir-500b	CC2	down
hsa-mir-33a	CC2	down
hsa-mir-20a	CC2	down
hsa-mir-522	CC2	down
hsa-mir-519a-2	CC2	down
hsa-mir-1307	CC2	down
hsa-mir-7112	CC2	down
hsa-mir-210	CC2	down
hsa-mir-24-1	CC2	down
hsa-mir-24-2	CC2	down
hsa-mir-455	CC2	down
hsa-mir-324	CC2	down
hsa-mir-362	CC2	down
hsa-mir-501	CC2	down
hsa-mir-4766	CC2	down
hsa-mir-579	CC2	down
hsa-mir-766	CC2	down
hsa-mir-4787	CC2	down
hsa-mir-570	CC2	down
hsa-mir-500a	CC2	down
hsa-mir-1306	CC2	down
hsa-mir-3682	CC2	down
hsa-mir-3680-1	CC2	down
hsa-mir-940	CC2	down
hsa-mir-1301	CC2	down
hsa-mir-301a	CC2	down
hsa-mir-4661	CC2	down
hsa-mir-6832	CC2	down
hsa-mir-421	CC2	down
hsa-mir-5002	CC2	down
hsa-mir-6783	CC2	down
hsa-mir-7974	CC2	down
hsa-mir-1276	CC2	down
hsa-mir-671	CC2	down
hsa-mir-3677	CC2	down
hsa-mir-155	CC2	down
hsa-mir-548f-1	CC2	down
hsa-mir-4677	CC2	down
hsa-mir-93	CC2	down
hsa-mir-937	CC2	down
hsa-mir-5699	CC2	down
hsa-mir-545	CC2	down
hsa-mir-548d-1	CC2	down
hsa-mir-18b	CC2	down
hsa-mir-129-1	CC2	down
hsa-mir-5571	CC2	down
hsa-mir-660	CC2	down
hsa-mir-5092	CC2	down
hsa-mir-548b	CC2	down
hsa-mir-4658	CC2	down
hsa-mir-580	CC2	down
hsa-mir-1915	CC2	down
hsa-mir-636	CC2	down
hsa-mir-6814	CC2	down
hsa-mir-345	CC2	down
hsa-mir-3614	CC2	down
hsa-mir-576	CC2	down
hsa-mir-146b	CC2	down
hsa-mir-3136	CC2	down
hsa-mir-518e	CC2	down
hsa-mir-3137	CC2	down
hsa-mir-588	CC2	down
hsa-mir-548s	CC2	down
hsa-mir-129-2	CC2	down
hsa-mir-527	CC2	down
hsa-mir-3680-2	CC2	down
hsa-mir-1283-2	CC2	down
hsa-mir-15b	CC2	down
hsa-mir-1255a	CC2	down
hsa-mir-219b	CC2	down
hsa-mir-3662	CC2	down
hsa-mir-1226	CC2	down
hsa-mir-3922	CC2	down
hsa-mir-1260b	CC2	down
hsa-mir-4652	CC2	down
hsa-mir-99b	CC3	down
hsa-mir-3607	CC3	down
hsa-mir-4668	CC3	down
hsa-mir-4714	CC3	down
hsa-mir-183	CC3	down
hsa-mir-423	CC3	down
hsa-mir-3127	CC3	down
hsa-mir-30d	CC3	down
hsa-mir-22	CC3	down
hsa-mir-4724	CC3	down
hsa-mir-548aw	CC3	down
hsa-mir-30c-1	CC3	down
hsa-mir-96	CC3	down
hsa-mir-30b	CC3	down
hsa-mir-484	CC3	down
hsa-mir-33b	CC3	down
hsa-mir-34a	CC3	down
hsa-mir-874	CC3	down
hsa-mir-200a	CC3	down
hsa-mir-26a-1	CC4	down
hsa-mir-26a-2	CC4	down
hsa-mir-101-2	CC4	down
hsa-mir-101-1	CC4	down
hsa-mir-184	CC4	down
hsa-mir-26b	CC4	down
hsa-mir-758	CC4	down
hsa-mir-379	CC4	down
hsa-mir-335	CC4	down
hsa-mir-127	CC4	down
hsa-mir-654	CC4	down
hsa-mir-135a-2	CC4	down
hsa-mir-34c	CC4	down
hsa-mir-382	CC4	down
hsa-mir-493	CC4	down
hsa-mir-487b	CC4	down
hsa-mir-3926-2	CC4	down
hsa-mir-431	CC4	down
hsa-mir-1247	CC4	down
hsa-mir-410	CC4	down
hsa-mir-135a-1	CC4	down
hsa-mir-370	CC4	down
hsa-mir-664b	CC4	down
hsa-mir-4501	CC4	down
hsa-mir-326	CC4	down
hsa-mir-202	CC4	down
hsa-mir-194-1	CC4	down
hsa-mir-411	CC4	down
hsa-mir-3130-2	CC4	down
