probe	class	dirct
hsa-mir-193b	CC1	up
hsa-mir-3677	CC1	up
hsa-mir-4446	CC1	up
hsa-mir-615	CC1	up
hsa-mir-4728	CC1	up
hsa-mir-33b	CC1	up
hsa-mir-940	CC1	up
hsa-mir-4756	CC1	up
hsa-mir-4501	CC1	up
hsa-mir-193a	CC1	up
hsa-mir-425	CC1	up
hsa-mir-196a-1	CC1	up
hsa-mir-196a-2	CC1	up
hsa-mir-99b	CC1	up
hsa-mir-887	CC1	up
hsa-mir-769	CC1	up
hsa-mir-4724	CC1	up
hsa-mir-3150b	CC1	up
hsa-mir-5684	CC1	up
hsa-mir-3191	CC1	up
hsa-mir-935	CC1	up
hsa-mir-4526	CC1	up
hsa-mir-7705	CC1	up
hsa-mir-4484	CC1	up
hsa-mir-339	CC1	up
hsa-mir-658	CC1	up
hsa-mir-3150a	CC1	up
hsa-mir-107	CC1	up
hsa-mir-454	CC1	up
hsa-mir-4707	CC1	up
hsa-mir-1910	CC1	up
hsa-mir-423	CC1	up
hsa-mir-151a	CC1	up
hsa-mir-6777	CC1	up
hsa-mir-589	CC1	up
hsa-mir-331	CC1	up
hsa-mir-3614	CC1	up
hsa-mir-3178	CC1	up
hsa-mir-3176	CC1	up
hsa-mir-6822	CC1	up
hsa-mir-5680	CC1	up
hsa-mir-4519	CC1	up
hsa-mir-4793	CC1	up
hsa-mir-3156-1	CC1	up
hsa-mir-6125	CC1	up
hsa-mir-3610	CC1	up
hsa-mir-7-3	CC1	up
hsa-mir-328	CC1	up
hsa-mir-664b	CC1	up
hsa-mir-3156-2	CC1	up
hsa-mir-4536-2	CC1	up
hsa-mir-4713	CC1	up
hsa-mir-1908	CC1	up
hsa-mir-449b	CC1	up
hsa-mir-4725	CC1	up
hsa-mir-449c	CC1	up
hsa-mir-6880	CC1	up
hsa-mir-4666a	CC1	up
hsa-mir-141	CC1	up
hsa-mir-3156-3	CC1	up
hsa-mir-30a	CC2	up
hsa-mir-5694	CC2	up
hsa-let-7b	CC2	up
hsa-mir-29c	CC2	up
hsa-mir-342	CC2	up
hsa-mir-139	CC2	up
