probe	class	dirct
hsa-mir-204	MC1	down
hsa-mir-6510	MC1	down
hsa-let-7c	MC1	down
hsa-mir-223	MC1	down
hsa-let-7i	MC1	down
hsa-mir-29a	MC1	down
hsa-mir-190a	MC1	down
hsa-mir-6717	MC1	down
hsa-mir-140	MC1	down
hsa-mir-30e	MC1	down
hsa-mir-944	MC1	down
hsa-mir-4491	MC1	down
hsa-mir-3622a	MC1	down
hsa-mir-205	MC1	down
hsa-mir-598	MC1	down
hsa-mir-99a	MC1	down
hsa-mir-5588	MC1	down
hsa-mir-28	MC1	down
hsa-mir-488	MC1	down
hsa-mir-499b	MC1	down
hsa-mir-18a	MC2	down
hsa-mir-505	MC2	down
hsa-mir-17	MC2	down
hsa-mir-188	MC2	down
hsa-mir-301b	MC2	down
hsa-mir-106b	MC2	down
hsa-mir-590	MC2	down
hsa-mir-9-3	MC2	down
hsa-mir-9-1	MC2	down
hsa-mir-877	MC2	down
hsa-mir-9-2	MC2	down
hsa-mir-105-1	MC2	down
hsa-mir-130b	MC2	down
hsa-mir-197	MC2	down
hsa-mir-942	MC2	down
hsa-mir-532	MC2	down
hsa-mir-224	MC2	down
hsa-mir-502	MC2	down
hsa-mir-105-2	MC2	down
hsa-mir-3200	MC2	down
hsa-mir-4664	MC2	down
hsa-mir-6728	MC2	down
hsa-mir-92a-1	MC2	down
hsa-mir-767	MC2	down
hsa-mir-92a-2	MC2	down
hsa-mir-500b	MC2	down
hsa-mir-33a	MC2	down
hsa-mir-20a	MC2	down
hsa-mir-522	MC2	down
hsa-mir-519a-2	MC2	down
hsa-mir-1307	MC2	down
hsa-mir-7112	MC2	down
hsa-mir-210	MC2	down
hsa-mir-24-1	MC2	down
hsa-mir-24-2	MC2	down
hsa-mir-455	MC2	down
hsa-mir-324	MC2	down
hsa-mir-362	MC2	down
hsa-mir-501	MC2	down
hsa-mir-4766	MC2	down
hsa-mir-579	MC2	down
hsa-mir-766	MC2	down
hsa-mir-4787	MC2	down
hsa-mir-570	MC2	down
hsa-mir-500a	MC2	down
hsa-mir-1306	MC2	down
hsa-mir-3682	MC2	down
hsa-mir-3680-1	MC2	down
hsa-mir-940	MC2	down
hsa-mir-1301	MC2	down
hsa-mir-301a	MC2	down
hsa-mir-4661	MC2	down
hsa-mir-6832	MC2	down
hsa-mir-421	MC2	down
hsa-mir-5002	MC2	down
hsa-mir-6783	MC2	down
hsa-mir-7974	MC2	down
hsa-mir-1276	MC2	down
hsa-mir-671	MC2	down
hsa-mir-3677	MC2	down
hsa-mir-155	MC2	down
hsa-mir-548f-1	MC2	down
hsa-mir-4677	MC2	down
hsa-mir-93	MC2	down
hsa-mir-937	MC2	down
hsa-mir-5699	MC2	down
hsa-mir-545	MC2	down
hsa-mir-548d-1	MC2	down
hsa-mir-18b	MC2	down
hsa-mir-129-1	MC2	down
hsa-mir-5571	MC2	down
hsa-mir-660	MC2	down
hsa-mir-5092	MC2	down
hsa-mir-548b	MC2	down
hsa-mir-4658	MC2	down
hsa-mir-580	MC2	down
hsa-mir-1915	MC2	down
hsa-mir-636	MC2	down
hsa-mir-6814	MC2	down
hsa-mir-345	MC2	down
hsa-mir-3614	MC2	down
hsa-mir-576	MC2	down
hsa-mir-146b	MC2	down
hsa-mir-3136	MC2	down
hsa-mir-518e	MC2	down
hsa-mir-3137	MC2	down
hsa-mir-588	MC2	down
hsa-mir-548s	MC2	down
hsa-mir-129-2	MC2	down
hsa-mir-527	MC2	down
hsa-mir-3680-2	MC2	down
hsa-mir-1283-2	MC2	down
hsa-mir-15b	MC2	down
hsa-mir-1255a	MC2	down
hsa-mir-219b	MC2	down
hsa-mir-3662	MC2	down
hsa-mir-1226	MC2	down
hsa-mir-3922	MC2	down
hsa-mir-1260b	MC2	down
hsa-mir-4652	MC2	down
hsa-mir-99b	MC3	down
hsa-mir-3607	MC3	down
hsa-mir-4668	MC3	down
hsa-mir-4714	MC3	down
hsa-mir-183	MC3	down
hsa-mir-423	MC3	down
hsa-mir-3127	MC3	down
hsa-mir-30d	MC3	down
hsa-mir-22	MC3	down
hsa-mir-4724	MC3	down
hsa-mir-548aw	MC3	down
hsa-mir-30c-1	MC3	down
hsa-mir-96	MC3	down
hsa-mir-30b	MC3	down
hsa-mir-484	MC3	down
hsa-mir-33b	MC3	down
hsa-mir-34a	MC3	down
hsa-mir-874	MC3	down
hsa-mir-200a	MC3	down
hsa-mir-26a-1	MC4	down
hsa-mir-26a-2	MC4	down
hsa-mir-101-2	MC4	down
hsa-mir-101-1	MC4	down
hsa-mir-184	MC4	down
hsa-mir-26b	MC4	down
hsa-mir-758	MC4	down
hsa-mir-379	MC4	down
hsa-mir-335	MC4	down
hsa-mir-127	MC4	down
hsa-mir-654	MC4	down
hsa-mir-135a-2	MC4	down
hsa-mir-34c	MC4	down
hsa-mir-382	MC4	down
hsa-mir-493	MC4	down
hsa-mir-487b	MC4	down
hsa-mir-3926-2	MC4	down
hsa-mir-431	MC4	down
hsa-mir-1247	MC4	down
hsa-mir-410	MC4	down
hsa-mir-135a-1	MC4	down
hsa-mir-370	MC4	down
hsa-mir-664b	MC4	down
hsa-mir-4501	MC4	down
hsa-mir-326	MC4	down
hsa-mir-202	MC4	down
hsa-mir-194-1	MC4	down
hsa-mir-411	MC4	down
hsa-mir-3130-2	MC4	down
hsa-mir-3913-1	MC4	down
hsa-mir-5091	MC4	down
hsa-mir-2115	MC4	down
hsa-mir-152	MC4	down
hsa-mir-889	MC4	down
hsa-mir-153-2	MC4	down
hsa-mir-369	MC4	down
hsa-mir-499a	MC4	down
hsa-mir-381	MC4	down
hsa-mir-433	MC4	down
hsa-mir-496	MC4	down
hsa-mir-4484	MC4	down
hsa-mir-1-2	MC4	down
hsa-mir-1258	MC4	down
hsa-mir-21	MC4	down
hsa-mir-3926-1	MC4	down
hsa-mir-412	MC4	down
hsa-mir-3156-3	MC4	down
hsa-mir-432	MC4	down
hsa-mir-143	MC4	down
hsa-mir-194-2	MC4	down
hsa-mir-483	MC4	down
hsa-mir-495	MC4	down
hsa-mir-4442	MC4	down
hsa-mir-299	MC4	down
hsa-mir-377	MC4	down
hsa-mir-655	MC4	down
hsa-mir-148b	MC4	down
hsa-mir-543	MC4	down
hsa-mir-1262	MC4	down
hsa-mir-154	MC4	down
hsa-mir-1275	MC4	down
hsa-mir-6811	MC4	down
hsa-mir-4784	MC4	down
hsa-mir-4529	MC4	down
hsa-mir-1245a	MC4	down
hsa-mir-7-1	MC4	down
hsa-mir-6806	MC4	down
hsa-mir-3178	MC4	down
hsa-let-7f-1	MC4	down
hsa-mir-34b	MC4	down
hsa-let-7f-2	MC4	down
hsa-mir-6777	MC4	down
hsa-mir-4800	MC4	down
hsa-mir-1294	MC4	down
hsa-mir-6508	MC4	down
hsa-mir-3912	MC4	down
hsa-mir-100	MC4	down
hsa-mir-5685	MC4	down
hsa-mir-542	MC4	down
hsa-mir-3189	MC4	down
