probe	class	dirct
hsa-mir-193b	MC1	up
hsa-mir-3677	MC1	up
hsa-mir-615	MC1	up
hsa-mir-4446	MC1	up
hsa-mir-4728	MC1	up
hsa-mir-940	MC1	up
hsa-mir-33b	MC1	up
hsa-mir-4756	MC1	up
hsa-mir-4501	MC1	up
hsa-mir-99b	MC1	up
hsa-mir-425	MC1	up
hsa-mir-887	MC1	up
hsa-mir-193a	MC1	up
hsa-mir-196a-1	MC1	up
hsa-mir-769	MC1	up
hsa-mir-196a-2	MC1	up
hsa-mir-3150b	MC1	up
hsa-mir-5684	MC1	up
hsa-mir-4724	MC1	up
hsa-mir-935	MC1	up
hsa-mir-339	MC1	up
hsa-mir-3191	MC1	up
hsa-mir-7705	MC1	up
hsa-mir-4526	MC1	up
hsa-mir-454	MC1	up
hsa-mir-6777	MC1	up
hsa-mir-3150a	MC1	up
hsa-mir-658	MC1	up
hsa-mir-4707	MC1	up
hsa-mir-1910	MC1	up
hsa-mir-151a	MC1	up
hsa-mir-107	MC1	up
hsa-mir-4484	MC1	up
hsa-mir-331	MC1	up
hsa-mir-3610	MC1	up
hsa-mir-3176	MC1	up
hsa-mir-423	MC1	up
hsa-mir-3178	MC1	up
hsa-mir-589	MC1	up
hsa-mir-5680	MC1	up
hsa-mir-6822	MC1	up
hsa-mir-6125	MC1	up
hsa-mir-3614	MC1	up
hsa-mir-3156-1	MC1	up
hsa-mir-449b	MC1	up
hsa-mir-4519	MC1	up
hsa-mir-328	MC1	up
hsa-mir-3156-2	MC1	up
hsa-mir-4536-2	MC1	up
hsa-mir-5091	MC1	up
hsa-mir-664b	MC1	up
hsa-mir-449c	MC1	up
hsa-mir-4713	MC1	up
hsa-mir-1908	MC1	up
hsa-mir-4793	MC1	up
hsa-mir-6880	MC1	up
hsa-mir-141	MC1	up
hsa-mir-30a	MC2	up
hsa-mir-5694	MC2	up
hsa-mir-29c	MC2	up
hsa-let-7b	MC2	up
hsa-mir-139	MC2	up
hsa-let-7a-3	MC2	up
hsa-let-7a-2	MC2	up
hsa-let-7a-1	MC2	up
hsa-mir-101-2	MC2	up
hsa-mir-101-1	MC2	up
hsa-mir-342	MC2	up
hsa-mir-195	MC2	up
hsa-mir-10a	MC2	up
hsa-mir-10b	MC2	up
hsa-mir-5691	MC2	up
hsa-mir-182	MC2	up
hsa-mir-30c-2	MC2	up
hsa-mir-664a	MC2	up
hsa-mir-1-1	MC2	up
hsa-mir-625	MC2	up
hsa-mir-337	MC2	up
hsa-mir-34c	MC2	up
hsa-mir-30c-1	MC2	up
hsa-mir-26b	MC2	up
hsa-mir-1-2	MC2	up
hsa-mir-4790	MC2	up
hsa-mir-145	MC2	up
hsa-mir-497	MC2	up
hsa-mir-218-2	MC2	up
hsa-mir-218-1	MC2	up
hsa-mir-26a-1	MC2	up
hsa-mir-26a-2	MC2	up
hsa-mir-135a-2	MC2	up
hsa-mir-202	MC2	up
hsa-mir-135a-1	MC2	up
hsa-mir-184	MC2	up
hsa-mir-29b-2	MC2	up
hsa-mir-409	MC2	up
hsa-mir-204	MC2	up
hsa-mir-3190	MC2	up
hsa-mir-3678	MC2	up
hsa-mir-190a	MC2	up
hsa-mir-491	MC2	up
hsa-mir-618	MC2	up
hsa-mir-653	MC2	up
hsa-mir-382	MC2	up
hsa-mir-758	MC2	up
