probe	class	dirct
hsa-mir-934	ER1	down
hsa-mir-18a	ER1	down
hsa-mir-577	ER1	down
hsa-mir-135b	ER1	down
hsa-mir-505	ER1	down
hsa-mir-224	ER1	down
hsa-mir-452	ER1	down
hsa-mir-17	ER1	down
hsa-mir-19a	ER1	down
hsa-mir-130b	ER1	down
hsa-mir-138-2	ER1	down
hsa-mir-9-1	ER1	down
hsa-mir-9-3	ER1	down
hsa-mir-9-2	ER1	down
hsa-mir-590	ER1	down
hsa-mir-301b	ER1	down
hsa-mir-188	ER1	down
hsa-mir-186	ER1	down
hsa-mir-455	ER1	down
hsa-mir-197	ER1	down
hsa-mir-378a	ER1	down
hsa-mir-19b-1	ER1	down
hsa-mir-519a-1	ER1	down
hsa-mir-106b	ER1	down
hsa-mir-522	ER1	down
hsa-mir-942	ER1	down
hsa-mir-584	ER1	down
hsa-mir-138-1	ER1	down
hsa-mir-19b-2	ER1	down
hsa-mir-548s	ER1	down
hsa-mir-502	ER1	down
hsa-mir-766	ER1	down
hsa-mir-20a	ER1	down
hsa-mir-92a-1	ER1	down
hsa-mir-7112	ER1	down
hsa-mir-92a-2	ER1	down
hsa-mir-519a-2	ER1	down
hsa-mir-532	ER1	down
hsa-mir-6499	ER1	down
hsa-mir-877	ER1	down
hsa-mir-576	ER1	down
hsa-mir-500a	ER1	down
hsa-mir-6728	ER1	down
hsa-mir-516a-1	ER1	down
hsa-mir-579	ER1	down
hsa-mir-500b	ER1	down
hsa-mir-501	ER1	down
hsa-mir-3682	ER1	down
hsa-mir-24-2	ER1	down
hsa-mir-6720	ER1	down
hsa-mir-222	ER1	down
hsa-mir-4665	ER1	down
hsa-mir-548ao	ER1	down
hsa-mir-24-1	ER1	down
hsa-mir-516a-2	ER1	down
hsa-mir-5002	ER1	down
hsa-mir-105-2	ER1	down
hsa-mir-1306	ER1	down
hsa-mir-105-1	ER1	down
hsa-mir-767	ER1	down
hsa-mir-545	ER1	down
hsa-mir-551a	ER1	down
hsa-mir-1304	ER1	down
hsa-mir-421	ER1	down
hsa-mir-155	ER1	down
hsa-mir-4780	ER1	down
hsa-mir-3680-1	ER1	down
hsa-mir-1301	ER1	down
hsa-mir-362	ER1	down
hsa-mir-4677	ER1	down
hsa-mir-4766	ER1	down
hsa-mir-6814	ER1	down
hsa-mir-210	ER1	down
hsa-mir-1307	ER1	down
hsa-mir-3934	ER1	down
hsa-mir-5690	ER1	down
hsa-mir-548f-1	ER1	down
hsa-mir-324	ER1	down
hsa-mir-548b	ER1	down
hsa-mir-3136	ER1	down
hsa-mir-221	ER1	down
hsa-mir-4787	ER1	down
hsa-mir-137	ER1	down
hsa-mir-570	ER1	down
hsa-mir-93	ER1	down
hsa-mir-378c	ER1	down
hsa-mir-146a	ER1	down
hsa-mir-873	ER1	down
hsa-mir-6832	ER1	down
hsa-mir-548d-1	ER1	down
hsa-mir-146b	ER1	down
hsa-mir-588	ER1	down
hsa-mir-518e	ER1	down
hsa-mir-1276	ER1	down
hsa-mir-4431	ER1	down
hsa-mir-4659a	ER1	down
hsa-mir-548d-2	ER1	down
hsa-mir-937	ER1	down
hsa-mir-31	ER1	down
hsa-mir-5571	ER1	down
hsa-mir-190b	ER2	down
hsa-mir-29c	ER2	down
hsa-mir-10b	ER2	down
hsa-mir-342	ER2	down
hsa-mir-10a	ER2	down
hsa-mir-375	ER2	down
hsa-mir-5694	ER2	down
hsa-let-7a-3	ER2	down
hsa-let-7a-1	ER2	down
hsa-let-7a-2	ER2	down
hsa-mir-125a	ER2	down
hsa-mir-149	ER2	down
hsa-mir-5691	ER2	down
hsa-mir-30a	ER2	down
hsa-let-7b	ER2	down
hsa-mir-101-2	ER2	down
hsa-mir-101-1	ER2	down
hsa-mir-664a	ER2	down
hsa-mir-625	ER2	down
hsa-let-7e	ER2	down
hsa-mir-139	ER2	down
hsa-mir-195	ER2	down
hsa-mir-26a-2	ER2	down
hsa-mir-26a-1	ER2	down
hsa-mir-34c	ER2	down
hsa-mir-449a	ER2	down
hsa-mir-337	ER2	down
hsa-mir-26b	ER2	down
hsa-mir-3678	ER2	down
hsa-mir-653	ER2	down
hsa-mir-184	ER2	down
hsa-mir-449b	ER2	down
hsa-mir-365a	ER2	down
hsa-mir-365b	ER2	down
hsa-mir-182	ER2	down
hsa-mir-29b-2	ER2	down
hsa-mir-497	ER2	down
hsa-mir-758	ER2	down
hsa-mir-30c-2	ER2	down
hsa-mir-191	ER2	down
hsa-mir-431	ER2	down
hsa-mir-409	ER2	down
hsa-mir-103a-1	ER2	down
hsa-mir-127	ER2	down
hsa-mir-103a-2	ER2	down
hsa-mir-34b	ER2	down
hsa-mir-887	ER2	down
hsa-mir-135a-2	ER2	down
hsa-mir-382	ER2	down
hsa-mir-664b	ER2	down
hsa-mir-487b	ER2	down
hsa-mir-193b	ER2	down
hsa-mir-379	ER2	down
hsa-mir-3926-1	ER2	down
hsa-mir-199a-1	ER2	down
hsa-mir-218-2	ER2	down
hsa-mir-654	ER2	down
hsa-mir-410	ER2	down
hsa-mir-4680	ER2	down
hsa-mir-135a-1	ER2	down
hsa-mir-3913-1	ER2	down
hsa-mir-202	ER2	down
hsa-mir-3926-2	ER2	down
hsa-mir-432	ER2	down
hsa-mir-1-1	ER2	down
hsa-mir-1245a	ER2	down
hsa-mir-449c	ER2	down
hsa-mir-4790	ER2	down
hsa-mir-30b	ER2	down
hsa-mir-338	ER2	down
hsa-mir-4675	ER2	down
hsa-mir-1266	ER2	down
hsa-mir-145	ER2	down
hsa-mir-370	ER2	down
hsa-mir-100	ER2	down
hsa-mir-1-2	ER2	down
hsa-mir-2114	ER2	down
hsa-mir-3190	ER2	down
hsa-mir-5684	ER2	down
hsa-mir-4714	ER2	down
hsa-mir-493	ER2	down
hsa-mir-92b	ER2	down
hsa-mir-193a	ER2	down
hsa-mir-618	ER2	down
hsa-mir-3156-2	ER2	down
hsa-mir-199a-2	ER2	down
hsa-mir-30c-1	ER2	down
hsa-mir-153-1	ER2	down
hsa-mir-935	ER2	down
hsa-mir-3156-1	ER2	down
hsa-mir-99b	ER2	down
hsa-let-7f-1	ER2	down
hsa-mir-655	ER2	down
hsa-mir-3913-2	ER2	down
hsa-let-7f-2	ER2	down
hsa-mir-30d	ER2	down
hsa-mir-134	ER2	down
hsa-mir-21	ER2	down
hsa-mir-1247	ER2	down
hsa-mir-433	ER2	down
