probe	class	dirct
hsa-mir-190b	ER1	up
hsa-mir-29c	ER1	up
hsa-mir-10b	ER1	up
hsa-mir-342	ER1	up
hsa-mir-10a	ER1	up
hsa-mir-375	ER1	up
hsa-mir-5694	ER1	up
hsa-let-7a-3	ER1	up
hsa-let-7a-1	ER1	up
hsa-let-7a-2	ER1	up
hsa-mir-125a	ER1	up
hsa-mir-149	ER1	up
hsa-mir-5691	ER1	up
hsa-mir-30a	ER1	up
hsa-let-7b	ER1	up
hsa-mir-101-2	ER1	up
hsa-mir-101-1	ER1	up
hsa-mir-664a	ER1	up
hsa-mir-625	ER1	up
hsa-let-7e	ER1	up
hsa-mir-139	ER1	up
hsa-mir-195	ER1	up
hsa-mir-26a-2	ER1	up
hsa-mir-26a-1	ER1	up
hsa-mir-34c	ER1	up
hsa-mir-449a	ER1	up
hsa-mir-337	ER1	up
hsa-mir-26b	ER1	up
hsa-mir-3678	ER1	up
hsa-mir-653	ER1	up
hsa-mir-184	ER1	up
hsa-mir-449b	ER1	up
hsa-mir-365a	ER1	up
hsa-mir-365b	ER1	up
hsa-mir-182	ER1	up
hsa-mir-29b-2	ER1	up
hsa-mir-497	ER1	up
hsa-mir-758	ER1	up
hsa-mir-30c-2	ER1	up
hsa-mir-191	ER1	up
hsa-mir-431	ER1	up
hsa-mir-409	ER1	up
hsa-mir-103a-1	ER1	up
hsa-mir-127	ER1	up
hsa-mir-103a-2	ER1	up
hsa-mir-34b	ER1	up
hsa-mir-887	ER1	up
hsa-mir-135a-2	ER1	up
hsa-mir-382	ER1	up
hsa-mir-664b	ER1	up
hsa-mir-487b	ER1	up
hsa-mir-193b	ER1	up
hsa-mir-379	ER1	up
hsa-mir-3926-1	ER1	up
hsa-mir-199a-1	ER1	up
hsa-mir-218-2	ER1	up
hsa-mir-654	ER1	up
hsa-mir-410	ER1	up
hsa-mir-4680	ER1	up
hsa-mir-135a-1	ER1	up
hsa-mir-3913-1	ER1	up
hsa-mir-202	ER1	up
hsa-mir-3926-2	ER1	up
hsa-mir-432	ER1	up
hsa-mir-1-1	ER1	up
hsa-mir-1245a	ER1	up
hsa-mir-449c	ER1	up
hsa-mir-4790	ER1	up
hsa-mir-30b	ER1	up
hsa-mir-338	ER1	up
hsa-mir-4675	ER1	up
hsa-mir-1266	ER1	up
hsa-mir-145	ER1	up
hsa-mir-370	ER1	up
hsa-mir-100	ER1	up
hsa-mir-1-2	ER1	up
hsa-mir-2114	ER1	up
hsa-mir-3190	ER1	up
hsa-mir-5684	ER1	up
hsa-mir-4714	ER1	up
hsa-mir-493	ER1	up
hsa-mir-92b	ER1	up
hsa-mir-193a	ER1	up
hsa-mir-618	ER1	up
hsa-mir-3156-2	ER1	up
hsa-mir-199a-2	ER1	up
hsa-mir-30c-1	ER1	up
hsa-mir-153-1	ER1	up
hsa-mir-935	ER1	up
hsa-mir-3156-1	ER1	up
hsa-mir-99b	ER1	up
hsa-let-7f-1	ER1	up
hsa-mir-655	ER1	up
hsa-mir-3913-2	ER1	up
hsa-let-7f-2	ER1	up
hsa-mir-30d	ER1	up
hsa-mir-134	ER1	up
hsa-mir-21	ER1	up
hsa-mir-1247	ER1	up
hsa-mir-433	ER1	up
hsa-mir-934	ER2	up
hsa-mir-18a	ER2	up
hsa-mir-577	ER2	up
hsa-mir-135b	ER2	up
hsa-mir-505	ER2	up
hsa-mir-224	ER2	up
