probe	class	dirct
SPATA4	CS1	down
DCDC1	CS1	down
PGR	CS1	down
C3orf18	CS1	down
CFAP69	CS1	down
POLI	CS1	down
C2orf73	CS1	down
CACNA1D	CS1	down
SETBP1-DT	CS1	down
DNAAF1	CS1	down
CCDC30	CS1	down
LZTFL1	CS1	down
CFAP94	CS1	down
DRC3	CS1	down
WDR19	CS1	down
IL6ST	CS1	down
ANKRD42	CS1	down
AL021395.1	CS1	down
BCL2	CS1	down
AC012467.1	CS1	down
LRIG1	CS1	down
RGS22	CS1	down
AL591845.1	CS1	down
MRPS30-DT	CS1	down
PTPRT	CS1	down
CFAP43	CS1	down
TPRG1	CS1	down
TMEM232	CS1	down
SPATA6L	CS1	down
AL449106.1	CS1	down
KCND3	CS1	down
SETBP1	CS1	down
CPEB2-DT	CS1	down
ABAT	CS1	down
CFAP46	CS1	down
MIR3936HG	CS1	down
DNAI4	CS1	down
SLC7A2	CS1	down
KLHDC1	CS1	down
MAPT	CS1	down
PDZK1	CS1	down
BTRC	CS1	down
FPGT-TNNI3K	CS1	down
PGR-AS1	CS1	down
MIR4429	CS1	down
ZNF214	CS1	down
Y_RNA	CS1	down
ZMYND10	CS1	down
RN7SL314P	CS1	down
DNAJC16	CS1	down
NEK10	CS1	down
CFAP99	CS1	down
UBXN10	CS1	down
AGTR1	CS1	down
CFAP53	CS1	down
CPEB2	CS1	down
LINC01750	CS1	down
CFAP57	CS1	down
EFCAB12	CS1	down
DNAH7	CS1	down
NEK11	CS1	down
CASC2	CS1	down
AC105074.1	CS1	down
LRRC6	CS1	down
MAPT-IT1	CS1	down
NME5	CS1	down
UGCG	CS1	down
BMPR1B	CS1	down
GRIK3	CS1	down
AC093866.1	CS1	down
LONRF2	CS1	down
FANK1	CS1	down
SUSD3	CS1	down
ZBTB4	CS1	down
BDNF-AS	CS1	down
TMEM26	CS1	down
MINDY1	CS1	down
DNALI1	CS1	down
FAM237B	CS1	down
ELN-AS1	CS1	down
GLRB	CS1	down
AC018816.2	CS1	down
AP000821.1	CS1	down
BBOF1	CS1	down
DYNLRB2	CS1	down
SPEF2	CS1	down
AC079296.1	CS1	down
SORCS1	CS1	down
GREB1	CS1	down
AFF3	CS1	down
EZH1	CS1	down
EGOT	CS1	down
LINC00504	CS1	down
LINC02718	CS1	down
TRIM66	CS1	down
AL133387.1	CS1	down
ZNF396	CS1	down
MAPT-AS1	CS1	down
WDR93	CS1	down
AC002064.2	CS1	down
HJURP	CS2	down
MTFR2	CS2	down
UBE2C	CS2	down
CENPA	CS2	down
CENPN	CS2	down
MYBL2	CS2	down
SKA3	CS2	down
CBX2	CS2	down
AURKA	CS2	down
CDC20	CS2	down
FAM83D	CS2	down
CDCA5	CS2	down
PLK1	CS2	down
CDKN3	CS2	down
AURKB	CS2	down
TPX2	CS2	down
CENPW	CS2	down
GTSE1	CS2	down
CDC45	CS2	down
PRR11	CS2	down
PTTG1	CS2	down
CCNB2	CS2	down
AL023803.2	CS2	down
NCAPH	CS2	down
CDCA3	CS2	down
TCF19	CS2	down
RRM2	CS2	down
KIF2C	CS2	down
CCNA2	CS2	down
KIFC1	CS2	down
BIRC5	CS2	down
CDCA8	CS2	down
TROAP	CS2	down
E2F1	CS2	down
SHCBP1	CS2	down
CMC2	CS2	down
ORC6	CS2	down
TTK	CS2	down
BUB1	CS2	down
TICRR	CS2	down
PGK1	CS2	down
GPR19	CS2	down
EXO1	CS2	down
KIF4A	CS2	down
DLGAP5	CS2	down
CDCA7	CS2	down
FOXM1	CS2	down
SNRPA1	CS2	down
AC092718.4	CS2	down
MCM10	CS2	down
SPC25	CS2	down
CKAP2L	CS2	down
MCM6	CS2	down
CDK1	CS2	down
PELATON	CS2	down
CEP55	CS2	down
SGO1	CS2	down
RACGAP1	CS2	down
CENPO	CS2	down
E2F8	CS2	down
KPNA2	CS2	down
OIP5	CS2	down
MELK	CS2	down
KIF20A	CS2	down
EIF2S2	CS2	down
DNMT3B	CS2	down
SPAG5	CS2	down
ORC1	CS2	down
TRIP13	CS2	down
MTHFD2	CS2	down
MAD2L1	CS2	down
PSAT1	CS2	down
LHX2	CS2	down
SPC24	CS2	down
DSCC1	CS2	down
CCNB1	CS2	down
CKS2	CS2	down
ERFE	CS2	down
RTL8B	CS2	down
ANLN	CS2	down
RAET1K	CS2	down
SLC25A5	CS2	down
CCNE1	CS2	down
CDT1	CS2	down
CCT5	CS2	down
SGO2	CS2	down
DDX39A	CS2	down
GARS1	CS2	down
GINS3	CS2	down
HAUS8	CS2	down
CDK16	CS2	down
EEF1AKMT4	CS2	down
NUP93	CS2	down
PDSS1	CS2	down
PIR	CS2	down
NCAPG	CS2	down
KIF23	CS2	down
SNRPG	CS2	down
NDC80	CS2	down
TUBA1C	CS2	down
