probe	class	dirct
HJURP	CS1	up
MTFR2	CS1	up
UBE2C	CS1	up
CENPA	CS1	up
CENPN	CS1	up
MYBL2	CS1	up
SKA3	CS1	up
CBX2	CS1	up
AURKA	CS1	up
CDC20	CS1	up
FAM83D	CS1	up
CDCA5	CS1	up
PLK1	CS1	up
CDKN3	CS1	up
AURKB	CS1	up
TPX2	CS1	up
CENPW	CS1	up
GTSE1	CS1	up
CDC45	CS1	up
PRR11	CS1	up
PTTG1	CS1	up
CCNB2	CS1	up
AL023803.2	CS1	up
NCAPH	CS1	up
CDCA3	CS1	up
TCF19	CS1	up
RRM2	CS1	up
KIF2C	CS1	up
CCNA2	CS1	up
KIFC1	CS1	up
BIRC5	CS1	up
CDCA8	CS1	up
TROAP	CS1	up
E2F1	CS1	up
SHCBP1	CS1	up
CMC2	CS1	up
ORC6	CS1	up
TTK	CS1	up
BUB1	CS1	up
TICRR	CS1	up
PGK1	CS1	up
GPR19	CS1	up
EXO1	CS1	up
KIF4A	CS1	up
DLGAP5	CS1	up
CDCA7	CS1	up
FOXM1	CS1	up
SNRPA1	CS1	up
AC092718.4	CS1	up
MCM10	CS1	up
SPC25	CS1	up
CKAP2L	CS1	up
MCM6	CS1	up
CDK1	CS1	up
PELATON	CS1	up
CEP55	CS1	up
SGO1	CS1	up
RACGAP1	CS1	up
CENPO	CS1	up
E2F8	CS1	up
KPNA2	CS1	up
OIP5	CS1	up
MELK	CS1	up
KIF20A	CS1	up
EIF2S2	CS1	up
DNMT3B	CS1	up
SPAG5	CS1	up
ORC1	CS1	up
TRIP13	CS1	up
MTHFD2	CS1	up
MAD2L1	CS1	up
PSAT1	CS1	up
LHX2	CS1	up
SPC24	CS1	up
DSCC1	CS1	up
CCNB1	CS1	up
CKS2	CS1	up
ERFE	CS1	up
RTL8B	CS1	up
ANLN	CS1	up
RAET1K	CS1	up
SLC25A5	CS1	up
CCNE1	CS1	up
CDT1	CS1	up
CCT5	CS1	up
SGO2	CS1	up
DDX39A	CS1	up
GARS1	CS1	up
GINS3	CS1	up
HAUS8	CS1	up
CDK16	CS1	up
EEF1AKMT4	CS1	up
NUP93	CS1	up
PDSS1	CS1	up
PIR	CS1	up
NCAPG	CS1	up
KIF23	CS1	up
SNRPG	CS1	up
NDC80	CS1	up
TUBA1C	CS1	up
SPATA4	CS2	up
DCDC1	CS2	up
PGR	CS2	up
C3orf18	CS2	up
CFAP69	CS2	up
POLI	CS2	up
C2orf73	CS2	up
CACNA1D	CS2	up
SETBP1-DT	CS2	up
DNAAF1	CS2	up
CCDC30	CS2	up
LZTFL1	CS2	up
CFAP94	CS2	up
DRC3	CS2	up
WDR19	CS2	up
IL6ST	CS2	up
ANKRD42	CS2	up
AL021395.1	CS2	up
BCL2	CS2	up
AC012467.1	CS2	up
LRIG1	CS2	up
RGS22	CS2	up
AL591845.1	CS2	up
MRPS30-DT	CS2	up
PTPRT	CS2	up
CFAP43	CS2	up
TPRG1	CS2	up
TMEM232	CS2	up
SPATA6L	CS2	up
AL449106.1	CS2	up
KCND3	CS2	up
SETBP1	CS2	up
CPEB2-DT	CS2	up
ABAT	CS2	up
CFAP46	CS2	up
MIR3936HG	CS2	up
DNAI4	CS2	up
SLC7A2	CS2	up
KLHDC1	CS2	up
MAPT	CS2	up
PDZK1	CS2	up
BTRC	CS2	up
FPGT-TNNI3K	CS2	up
PGR-AS1	CS2	up
MIR4429	CS2	up
ZNF214	CS2	up
Y_RNA	CS2	up
ZMYND10	CS2	up
RN7SL314P	CS2	up
DNAJC16	CS2	up
NEK10	CS2	up
CFAP99	CS2	up
UBXN10	CS2	up
AGTR1	CS2	up
CFAP53	CS2	up
CPEB2	CS2	up
LINC01750	CS2	up
CFAP57	CS2	up
EFCAB12	CS2	up
DNAH7	CS2	up
NEK11	CS2	up
CASC2	CS2	up
AC105074.1	CS2	up
LRRC6	CS2	up
MAPT-IT1	CS2	up
NME5	CS2	up
UGCG	CS2	up
BMPR1B	CS2	up
GRIK3	CS2	up
AC093866.1	CS2	up
LONRF2	CS2	up
FANK1	CS2	up
SUSD3	CS2	up
ZBTB4	CS2	up
BDNF-AS	CS2	up
TMEM26	CS2	up
MINDY1	CS2	up
DNALI1	CS2	up
FAM237B	CS2	up
ELN-AS1	CS2	up
GLRB	CS2	up
AC018816.2	CS2	up
AP000821.1	CS2	up
BBOF1	CS2	up
DYNLRB2	CS2	up
SPEF2	CS2	up
AC079296.1	CS2	up
SORCS1	CS2	up
GREB1	CS2	up
AFF3	CS2	up
EZH1	CS2	up
EGOT	CS2	up
LINC00504	CS2	up
LINC02718	CS2	up
TRIM66	CS2	up
AL133387.1	CS2	up
ZNF396	CS2	up
MAPT-AS1	CS2	up
WDR93	CS2	up
AC002064.2	CS2	up
