probe	class	dirct
GRIK1-AS1	CS1	down
AC093866.1	CS1	down
TRMT9B	CS1	down
AC114490.3	CS1	down
AL137847.2	CS1	down
NOSTRIN	CS1	down
ATP9B	CS1	down
APH1B	CS1	down
DCDC1	CS1	down
UBAP1L	CS1	down
DNAH7	CS1	down
SPATA4	CS1	down
BCL2	CS1	down
SNX1	CS1	down
LINC01085	CS1	down
DNAH6	CS1	down
ABCA10	CS1	down
AP000331.1	CS1	down
STK32B	CS1	down
RNF213-AS1	CS1	down
CCDC158	CS1	down
RN7SKP275	CS1	down
AC114490.1	CS1	down
SPATA6L	CS1	down
SETBP1	CS1	down
GNG12-AS1	CS1	down
DUBR	CS1	down
CYBRD1	CS1	down
EWSAT1	CS1	down
CCNDBP1	CS1	down
CCDC178	CS1	down
CX3CR1	CS1	down
PICART1	CS1	down
CACNA1D	CS1	down
AL591845.1	CS1	down
ZNF516	CS1	down
PDE11A	CS1	down
AC079296.1	CS1	down
FZD10-AS1	CS1	down
TRABD2B	CS1	down
RN7SL314P	CS1	down
TPRG1	CS1	down
CHAD	CS1	down
SEMA3G	CS1	down
FCER1A	CS1	down
SPATA6	CS1	down
TMEM26	CS1	down
DNM1P46	CS1	down
TNS2	CS1	down
LINC00683	CS1	down
ZC3H6	CS1	down
WDR19	CS1	down
NRIP2	CS1	down
DNMBP-AS1	CS1	down
VPS39	CS1	down
SORCS1	CS1	down
LINC01359	CS1	down
DNAI4	CS1	down
VWA2	CS1	down
SCN7A	CS1	down
NEK10	CS1	down
TPTE2P5	CS1	down
ZNF410	CS1	down
CFAP69	CS1	down
NXNL2	CS1	down
AC103719.1	CS1	down
INTU	CS1	down
AC009716.1	CS1	down
SEMA6D	CS1	down
AC012588.1	CS1	down
VILL	CS1	down
EDDM13	CS1	down
ZNF280D	CS1	down
AP001148.1	CS1	down
CLDN19	CS1	down
FRY	CS1	down
SLC14A2	CS1	down
CAPN8	CS1	down
MCC	CS1	down
AL133410.1	CS1	down
ZNF540	CS1	down
ST8SIA6	CS1	down
BBOF1	CS1	down
AC096589.1	CS1	down
PHYHD1	CS1	down
SLC24A1	CS1	down
AC105074.1	CS1	down
KIF13B	CS1	down
AC012467.1	CS1	down
EGOT	CS1	down
DNMBP	CS1	down
RGS22	CS1	down
FYB2	CS1	down
DST	CS1	down
MAST4	CS1	down
CCL14	CS1	down
PCBP1-AS1	CS1	down
Y_RNA	CS1	down
C2orf73	CS1	down
GRAMD1C	CS1	down
EIF2S2	CS2	down
MAPRE1	CS2	down
PDHA1	CS2	down
AURKA	CS2	down
GINS1	CS2	down
DSCC1	CS2	down
PGK1	CS2	down
TIMM8A	CS2	down
CMC2	CS2	down
MRPL15	CS2	down
CENPN	CS2	down
ORC6	CS2	down
DKC1	CS2	down
UTP4	CS2	down
DPM1	CS2	down
TUBA1C	CS2	down
RAD54B	CS2	down
DNMT3B	CS2	down
DSN1	CS2	down
AC092718.4	CS2	down
DCAF13	CS2	down
PSMA7	CS2	down
NIP7	CS2	down
DERL1	CS2	down
MYBL2	CS2	down
MRPL13	CS2	down
C16orf87	CS2	down
KCTD5	CS2	down
AURKB	CS2	down
FAM83D	CS2	down
CACYBP	CS2	down
E2F1	CS2	down
ENY2	CS2	down
C8orf76	CS2	down
MRGBP	CS2	down
GARS1	CS2	down
SLC35A2	CS2	down
UBE2C	CS2	down
EEF1AKMT4	CS2	down
NUTF2	CS2	down
GTPBP4	CS2	down
NUDCD1	CS2	down
MTERF3	CS2	down
NUP93	CS2	down
YWHAZ	CS2	down
NAE1	CS2	down
PLK1	CS2	down
AARS1	CS2	down
CIAPIN1	CS2	down
HCCS	CS2	down
SLC7A5	CS2	down
SNRPB2	CS2	down
NKRF	CS2	down
HSPD1	CS2	down
ELOC	CS2	down
CCT5	CS2	down
CYRIB	CS2	down
LAPTM4B	CS2	down
UBE2T	CS2	down
BRIX1	CS2	down
TMEM65	CS2	down
NOP56	CS2	down
ALG3	CS2	down
PAK1IP1	CS2	down
KARS1	CS2	down
NSMCE2	CS2	down
CDC25B	CS2	down
DNAJB11	CS2	down
SHCBP1	CS2	down
MTFR1	CS2	down
PCNA	CS2	down
SLC25A5	CS2	down
STIP1	CS2	down
TATDN1	CS2	down
TPX2	CS2	down
CYCS	CS2	down
CKS1B	CS2	down
SKA3	CS2	down
PDSS1	CS2	down
RMI2	CS2	down
NDUFB9	CS2	down
EMC8	CS2	down
RIPK2	CS2	down
PNP	CS2	down
PSMD7	CS2	down
UBE2V2	CS2	down
LRR1	CS2	down
POLR2K	CS2	down
TIMM17A	CS2	down
WDR53	CS2	down
KPNA2	CS2	down
CDKN3	CS2	down
CBX2	CS2	down
CFAP20	CS2	down
NUF2	CS2	down
CDCA5	CS2	down
NANP	CS2	down
TTI1	CS2	down
H2AZ1	CS2	down
PDCD5	CS2	down
