probe	class	dirct
EIF2S2	CS1	up
PDHA1	CS1	up
MAPRE1	CS1	up
AURKA	CS1	up
MRPL15	CS1	up
GINS1	CS1	up
PGK1	CS1	up
TIMM8A	CS1	up
DSCC1	CS1	up
CMC2	CS1	up
DKC1	CS1	up
CENPN	CS1	up
ORC6	CS1	up
UTP4	CS1	up
DPM1	CS1	up
MRPL13	CS1	up
TUBA1C	CS1	up
RAD54B	CS1	up
DNMT3B	CS1	up
DCAF13	CS1	up
DSN1	CS1	up
DERL1	CS1	up
AC092718.4	CS1	up
PSMA7	CS1	up
NIP7	CS1	up
C16orf87	CS1	up
KCTD5	CS1	up
MYBL2	CS1	up
CACYBP	CS1	up
SLC35A2	CS1	up
FAM83D	CS1	up
AURKB	CS1	up
GTPBP4	CS1	up
MRGBP	CS1	up
GARS1	CS1	up
ENY2	CS1	up
E2F1	CS1	up
SNRPB2	CS1	up
C8orf76	CS1	up
MTERF3	CS1	up
YWHAZ	CS1	up
NUTF2	CS1	up
EEF1AKMT4	CS1	up
NUDCD1	CS1	up
NAE1	CS1	up
UBE2C	CS1	up
NUP93	CS1	up
SLC7A5	CS1	up
ELOC	CS1	up
AARS1	CS1	up
NKRF	CS1	up
HCCS	CS1	up
PLK1	CS1	up
CIAPIN1	CS1	up
CYRIB	CS1	up
DNAJB11	CS1	up
CCT5	CS1	up
BRIX1	CS1	up
UBE2T	CS1	up
HSPD1	CS1	up
PAK1IP1	CS1	up
TATDN1	CS1	up
NOP56	CS1	up
TMEM65	CS1	up
ALG3	CS1	up
LAPTM4B	CS1	up
NSMCE2	CS1	up
CDC25B	CS1	up
KARS1	CS1	up
STIP1	CS1	up
CYCS	CS1	up
RIPK2	CS1	up
MTFR1	CS1	up
PCNA	CS1	up
SLC25A5	CS1	up
SHCBP1	CS1	up
CKS1B	CS1	up
PDSS1	CS1	up
WDR53	CS1	up
UBE2V2	CS1	up
TPX2	CS1	up
EMC8	CS1	up
NDUFB9	CS1	up
METTL1	CS1	up
SKA3	CS1	up
RMI2	CS1	up
PNP	CS1	up
PSMD7	CS1	up
POLR2K	CS1	up
LRR1	CS1	up
RAE1	CS1	up
TIMM17A	CS1	up
PRR11	CS1	up
PFDN4	CS1	up
CFAP20	CS1	up
PDCD5	CS1	up
KPNA2	CS1	up
TTI1	CS1	up
CBX2	CS1	up
NUF2	CS1	up
GRIK1-AS1	CS2	up
AC093866.1	CS2	up
TRMT9B	CS2	up
AC114490.3	CS2	up
AL137847.2	CS2	up
SNX1	CS2	up
UBAP1L	CS2	up
ATP9B	CS2	up
NOSTRIN	CS2	up
APH1B	CS2	up
DCDC1	CS2	up
DNAH7	CS2	up
SPATA4	CS2	up
BCL2	CS2	up
LINC01085	CS2	up
AP000331.1	CS2	up
DNAH6	CS2	up
STK32B	CS2	up
RNF213-AS1	CS2	up
AC114490.1	CS2	up
ABCA10	CS2	up
RN7SKP275	CS2	up
CCDC158	CS2	up
GNG12-AS1	CS2	up
DUBR	CS2	up
SPATA6L	CS2	up
SETBP1	CS2	up
CYBRD1	CS2	up
EWSAT1	CS2	up
CCDC178	CS2	up
CCNDBP1	CS2	up
PICART1	CS2	up
TRABD2B	CS2	up
AL591845.1	CS2	up
CACNA1D	CS2	up
ZNF516	CS2	up
PDE11A	CS2	up
CX3CR1	CS2	up
AC079296.1	CS2	up
FZD10-AS1	CS2	up
RN7SL314P	CS2	up
TPRG1	CS2	up
CHAD	CS2	up
SEMA3G	CS2	up
ZNF410	CS2	up
FCER1A	CS2	up
ZC3H6	CS2	up
WDR19	CS2	up
TMEM26	CS2	up
TNS2	CS2	up
DNM1P46	CS2	up
TPTE2P5	CS2	up
DNAI4	CS2	up
LINC00683	CS2	up
SPATA6	CS2	up
NRIP2	CS2	up
DNMBP-AS1	CS2	up
SEMA6D	CS2	up
SORCS1	CS2	up
VWA2	CS2	up
LINC01359	CS2	up
SCN7A	CS2	up
AC096589.1	CS2	up
NEK10	CS2	up
AC012588.1	CS2	up
CFAP69	CS2	up
VPS39	CS2	up
INTU	CS2	up
NXNL2	CS2	up
AC103719.1	CS2	up
ZNF540	CS2	up
SLC14A2	CS2	up
EDDM13	CS2	up
AC009716.1	CS2	up
VILL	CS2	up
AP001148.1	CS2	up
FRY	CS2	up
ZNF280D	CS2	up
CLDN19	CS2	up
CAPN8	CS2	up
MCC	CS2	up
AL133410.1	CS2	up
BBOF1	CS2	up
AC105074.1	CS2	up
ST8SIA6	CS2	up
SLC24A1	CS2	up
PHYHD1	CS2	up
AC012467.1	CS2	up
EGOT	CS2	up
DNMBP	CS2	up
DST	CS2	up
KIF13B	CS2	up
RGS22	CS2	up
MAST4	CS2	up
FYB2	CS2	up
CCL14	CS2	up
PCBP1-AS1	CS2	up
C2orf73	CS2	up
Y_RNA	CS2	up
GRAMD1C	CS2	up
