probe	class	dirct
EIF2S2	CS1	down
MAPRE1	CS1	down
GINS1	CS1	down
PGK1	CS1	down
DSN1	CS1	down
RAD54B	CS1	down
DSCC1	CS1	down
DCAF13	CS1	down
AURKA	CS1	down
DERL1	CS1	down
C8orf76	CS1	down
DPM1	CS1	down
DNMT3B	CS1	down
ORC6	CS1	down
MRPL13	CS1	down
YWHAZ	CS1	down
E2F1	CS1	down
C16orf87	CS1	down
PSMA7	CS1	down
STIP1	CS1	down
PDHA1	CS1	down
MRPL15	CS1	down
MYBL2	CS1	down
AARS1	CS1	down
MTFR1	CS1	down
TUBA1C	CS1	down
CCT5	CS1	down
TTI1	CS1	down
NSMCE2	CS1	down
CENPN	CS1	down
LAPTM4B	CS1	down
CYRIB	CS1	down
DKC1	CS1	down
NUDCD1	CS1	down
NOP56	CS1	down
CMC2	CS1	down
FAM83D	CS1	down
KCTD5	CS1	down
ELOC	CS1	down
HSPD1	CS1	down
MRGBP	CS1	down
RAE1	CS1	down
SHCBP1	CS1	down
GARS1	CS1	down
SNRPB2	CS1	down
UBE2C	CS1	down
POLR2K	CS1	down
MTERF3	CS1	down
CACYBP	CS1	down
PCNA	CS1	down
BRIX1	CS1	down
NUP93	CS1	down
AURKB	CS1	down
TMEM65	CS1	down
CIAPIN1	CS1	down
RBL1	CS1	down
NANP	CS1	down
NIP7	CS1	down
AC092718.4	CS1	down
NAE1	CS1	down
MARS1	CS1	down
H2AZ1	CS1	down
TIMM8A	CS1	down
UTP4	CS1	down
TPX2	CS1	down
NUTF2	CS1	down
ENY2	CS1	down
NDUFB9	CS1	down
CYCS	CS1	down
GID8	CS1	down
XPOT	CS1	down
UBE2T	CS1	down
ARMC1	CS1	down
AHCY	CS1	down
CBX2	CS1	down
PLK1	CS1	down
GTPBP4	CS1	down
GPI	CS1	down
CTNNBL1	CS1	down
TATDN1	CS1	down
KPNA2	CS1	down
PSMD12	CS1	down
RMI2	CS1	down
ACOT8	CS1	down
TACO1	CS1	down
NKRF	CS1	down
DUS2	CS1	down
CSE1L	CS1	down
CCT6A	CS1	down
METTL1	CS1	down
CDKN3	CS1	down
PDSS1	CS1	down
PFDN4	CS1	down
CCNF	CS1	down
SLC7A5	CS1	down
AP005230.1	CS1	down
NELFCD	CS1	down
CKS1B	CS1	down
RTF2	CS1	down
PRR11	CS1	down
GRIK1-AS1	CS2	down
AC114490.3	CS2	down
TRMT9B	CS2	down
ABCA10	CS2	down
AC114490.1	CS2	down
SEMA3G	CS2	down
AC093866.1	CS2	down
DNM1P46	CS2	down
EWSAT1	CS2	down
CD300LG	CS2	down
AL137847.2	CS2	down
SNX1	CS2	down
CX3CR1	CS2	down
FZD10-AS1	CS2	down
SPATA4	CS2	down
UBAP1L	CS2	down
CCDC178	CS2	down
SLC5A9	CS2	down
CCL14	CS2	down
DCDC1	CS2	down
LINC01085	CS2	down
FCER1A	CS2	down
CCDC158	CS2	down
APH1B	CS2	down
TNS2	CS2	down
NOSTRIN	CS2	down
AL513477.1	CS2	down
ZNF582-AS1	CS2	down
ERICH3	CS2	down
DNAI4	CS2	down
VILL	CS2	down
CAPN3	CS2	down
AP001148.1	CS2	down
LINC00398	CS2	down
CBX7	CS2	down
CADM3-AS1	CS2	down
TRABD2B	CS2	down
TPRG1	CS2	down
SETBP1	CS2	down
AL591845.1	CS2	down
DNAH6	CS2	down
PLIN4	CS2	down
NRIP2	CS2	down
GNG12-AS1	CS2	down
STK32B	CS2	down
AP003059.2	CS2	down
CAVIN2	CS2	down
PGM5P4-AS1	CS2	down
AC135352.1	CS2	down
SEMA6D	CS2	down
C2orf73	CS2	down
ASPA	CS2	down
SPATA6	CS2	down
BCL2	CS2	down
SPATA6L	CS2	down
RNF213-AS1	CS2	down
EGOT	CS2	down
HIVEP3	CS2	down
TMEM132C	CS2	down
CFAP69	CS2	down
ADCY4	CS2	down
DNAH7	CS2	down
SORCS1	CS2	down
PGM5P3-AS1	CS2	down
RN7SKP275	CS2	down
VWA2	CS2	down
C6	CS2	down
ABCA8	CS2	down
NTRK2	CS2	down
TRIM66	CS2	down
SCN4B	CS2	down
LINC01359	CS2	down
EBF3	CS2	down
AP001094.2	CS2	down
SLC25A12	CS2	down
RDH5	CS2	down
AASS	CS2	down
PLCXD3	CS2	down
MAOA	CS2	down
PICART1	CS2	down
AC053545.1	CS2	down
PGM5P4	CS2	down
PLIN1	CS2	down
AC084759.3	CS2	down
CYBRD1	CS2	down
C7	CS2	down
LINC00683	CS2	down
NISCH	CS2	down
GPIHBP1	CS2	down
AC012588.1	CS2	down
GSTM2	CS2	down
AL133410.1	CS2	down
PAXIP1-AS2	CS2	down
MCC	CS2	down
TMEM26	CS2	down
CCNDBP1	CS2	down
AC103719.1	CS2	down
LINC00271	CS2	down
N4BP2L1	CS2	down
RBM5	CS2	down
