probe	class	dirct
GRIK1-AS1	CS1	up
AC114490.3	CS1	up
TRMT9B	CS1	up
ABCA10	CS1	up
AC114490.1	CS1	up
SEMA3G	CS1	up
AC093866.1	CS1	up
DNM1P46	CS1	up
EWSAT1	CS1	up
CD300LG	CS1	up
AL137847.2	CS1	up
SNX1	CS1	up
CX3CR1	CS1	up
FZD10-AS1	CS1	up
SPATA4	CS1	up
UBAP1L	CS1	up
CCDC178	CS1	up
SLC5A9	CS1	up
CCL14	CS1	up
DCDC1	CS1	up
LINC01085	CS1	up
FCER1A	CS1	up
CCDC158	CS1	up
APH1B	CS1	up
TNS2	CS1	up
NOSTRIN	CS1	up
AL513477.1	CS1	up
ZNF582-AS1	CS1	up
ERICH3	CS1	up
DNAI4	CS1	up
VILL	CS1	up
CAPN3	CS1	up
AP001148.1	CS1	up
LINC00398	CS1	up
CBX7	CS1	up
CADM3-AS1	CS1	up
TRABD2B	CS1	up
TPRG1	CS1	up
SETBP1	CS1	up
AL591845.1	CS1	up
DNAH6	CS1	up
PLIN4	CS1	up
NRIP2	CS1	up
GNG12-AS1	CS1	up
STK32B	CS1	up
AP003059.2	CS1	up
CAVIN2	CS1	up
PGM5P4-AS1	CS1	up
AC135352.1	CS1	up
SEMA6D	CS1	up
C2orf73	CS1	up
ASPA	CS1	up
SPATA6	CS1	up
BCL2	CS1	up
SPATA6L	CS1	up
RNF213-AS1	CS1	up
EGOT	CS1	up
HIVEP3	CS1	up
TMEM132C	CS1	up
CFAP69	CS1	up
ADCY4	CS1	up
DNAH7	CS1	up
SORCS1	CS1	up
PGM5P3-AS1	CS1	up
RN7SKP275	CS1	up
VWA2	CS1	up
C6	CS1	up
ABCA8	CS1	up
NTRK2	CS1	up
TRIM66	CS1	up
SCN4B	CS1	up
LINC01359	CS1	up
EBF3	CS1	up
AP001094.2	CS1	up
SLC25A12	CS1	up
RDH5	CS1	up
AASS	CS1	up
PLCXD3	CS1	up
MAOA	CS1	up
PICART1	CS1	up
AC053545.1	CS1	up
PGM5P4	CS1	up
PLIN1	CS1	up
AC084759.3	CS1	up
CYBRD1	CS1	up
C7	CS1	up
LINC00683	CS1	up
NISCH	CS1	up
GPIHBP1	CS1	up
AC012588.1	CS1	up
GSTM2	CS1	up
AL133410.1	CS1	up
PAXIP1-AS2	CS1	up
MCC	CS1	up
TMEM26	CS1	up
CCNDBP1	CS1	up
AC103719.1	CS1	up
LINC00271	CS1	up
N4BP2L1	CS1	up
RBM5	CS1	up
EIF2S2	CS2	up
MAPRE1	CS2	up
GINS1	CS2	up
PGK1	CS2	up
DSN1	CS2	up
RAD54B	CS2	up
DSCC1	CS2	up
DCAF13	CS2	up
AURKA	CS2	up
DERL1	CS2	up
C8orf76	CS2	up
DPM1	CS2	up
DNMT3B	CS2	up
ORC6	CS2	up
MRPL13	CS2	up
YWHAZ	CS2	up
E2F1	CS2	up
C16orf87	CS2	up
PSMA7	CS2	up
STIP1	CS2	up
PDHA1	CS2	up
MRPL15	CS2	up
MYBL2	CS2	up
AARS1	CS2	up
MTFR1	CS2	up
TUBA1C	CS2	up
CCT5	CS2	up
TTI1	CS2	up
NSMCE2	CS2	up
CENPN	CS2	up
LAPTM4B	CS2	up
CYRIB	CS2	up
DKC1	CS2	up
NUDCD1	CS2	up
NOP56	CS2	up
CMC2	CS2	up
FAM83D	CS2	up
KCTD5	CS2	up
ELOC	CS2	up
HSPD1	CS2	up
MRGBP	CS2	up
RAE1	CS2	up
SHCBP1	CS2	up
GARS1	CS2	up
SNRPB2	CS2	up
UBE2C	CS2	up
POLR2K	CS2	up
MTERF3	CS2	up
CACYBP	CS2	up
PCNA	CS2	up
BRIX1	CS2	up
NUP93	CS2	up
AURKB	CS2	up
TMEM65	CS2	up
CIAPIN1	CS2	up
RBL1	CS2	up
NANP	CS2	up
NIP7	CS2	up
AC092718.4	CS2	up
NAE1	CS2	up
MARS1	CS2	up
H2AZ1	CS2	up
TIMM8A	CS2	up
UTP4	CS2	up
TPX2	CS2	up
NUTF2	CS2	up
ENY2	CS2	up
NDUFB9	CS2	up
CYCS	CS2	up
GID8	CS2	up
XPOT	CS2	up
UBE2T	CS2	up
ARMC1	CS2	up
AHCY	CS2	up
CBX2	CS2	up
PLK1	CS2	up
GTPBP4	CS2	up
GPI	CS2	up
CTNNBL1	CS2	up
TATDN1	CS2	up
KPNA2	CS2	up
PSMD12	CS2	up
RMI2	CS2	up
ACOT8	CS2	up
TACO1	CS2	up
NKRF	CS2	up
DUS2	CS2	up
CSE1L	CS2	up
CCT6A	CS2	up
METTL1	CS2	up
CDKN3	CS2	up
PDSS1	CS2	up
PFDN4	CS2	up
CCNF	CS2	up
SLC7A5	CS2	up
AP005230.1	CS2	up
NELFCD	CS2	up
CKS1B	CS2	up
RTF2	CS2	up
PRR11	CS2	up
