probe	class	dirct
CBX2	CS1	down
PSAT1	CS1	down
YEATS2	CS1	down
ENO1	CS1	down
CDC20	CS1	down
CENPW	CS1	down
TTK	CS1	down
CDCA7	CS1	down
PDSS1	CS1	down
ORC1	CS1	down
NUP93	CS1	down
DNMT3B	CS1	down
KIF2C	CS1	down
TICRR	CS1	down
MYBL2	CS1	down
CENPA	CS1	down
YBX1	CS1	down
AL024507.2	CS1	down
FAM83D	CS1	down
CENPN	CS1	down
DEPDC1	CS1	down
CDCA8	CS1	down
SUV39H2	CS1	down
GARS1	CS1	down
MELK	CS1	down
LRP8	CS1	down
MSL3	CS1	down
ORC6	CS1	down
PLK1	CS1	down
RFC4	CS1	down
MCCC1	CS1	down
SKP2	CS1	down
POP1	CS1	down
TUBA1C	CS1	down
TRIP13	CS1	down
AC010729.2	CS1	down
MCM10	CS1	down
MTFR2	CS1	down
TPX2	CS1	down
AUNIP	CS1	down
CHEK2	CS1	down
CCNB2	CS1	down
CCNE1	CS1	down
E2F2	CS1	down
A2ML1	CS1	down
CEP55	CS1	down
SOX11	CS1	down
PELATON	CS1	down
CDC25A	CS1	down
PDHA1	CS1	down
NDC80	CS1	down
CHEK1	CS1	down
CDKN2A	CS1	down
MTHFD1L	CS1	down
ZNF695	CS1	down
DLGAP5	CS1	down
FANCB	CS1	down
TUBB	CS1	down
AMD1	CS1	down
AC012073.1	CS1	down
AURKB	CS1	down
GPR19	CS1	down
BUB1	CS1	down
NCAPH	CS1	down
LBR	CS1	down
GABBR2	CS1	down
AC092718.4	CS1	down
ANLN	CS1	down
EXO1	CS1	down
IL12RB2	CS1	down
HASPIN	CS1	down
CCL7	CS1	down
RAD54L	CS1	down
SRPK1	CS1	down
AQP9	CS1	down
ERCC6L	CS1	down
SMC1B	CS1	down
CDCA5	CS1	down
IMPA2	CS1	down
FANCA	CS1	down
YBX1P10	CS1	down
CENPI	CS1	down
SLC43A3	CS1	down
POLQ	CS1	down
EEF1AKMT4	CS1	down
DSCC1	CS1	down
EZH2	CS1	down
CDC45	CS1	down
PAK1IP1	CS1	down
STIL	CS1	down
AMER1	CS1	down
UBE2C	CS1	down
DBF4	CS1	down
KCMF1	CS1	down
DDN	CS1	down
GMPS	CS1	down
CTPS1	CS1	down
ACTR3	CS1	down
BEND3	CS1	down
KIF4A	CS1	down
AC093866.1	CS2	down
SRARP	CS2	down
C5AR2	CS2	down
RUNDC1	CS2	down
TBC1D9	CS2	down
CFAP99	CS2	down
LINC00504	CS2	down
SCUBE2	CS2	down
AGR3	CS2	down
JADE2	CS2	down
FAM161B	CS2	down
FAM47E	CS2	down
HHAT	CS2	down
THSD4	CS2	down
DYNLRB2	CS2	down
ANKRA2	CS2	down
BORCS7	CS2	down
CIRBP	CS2	down
AFF3	CS2	down
SPEF2	CS2	down
CAPN8	CS2	down
ESR1	CS2	down
ARSG	CS2	down
MAPT	CS2	down
SLC39A6	CS2	down
LONRF2	CS2	down
ANXA9	CS2	down
AC013726.1	CS2	down
AC008268.1	CS2	down
MINDY1	CS2	down
ACADSB	CS2	down
MLPH	CS2	down
BBS4	CS2	down
ZCWPW2	CS2	down
CFAP94	CS2	down
DNALI1	CS2	down
MIR3936HG	CS2	down
PCBD2	CS2	down
BBOF1	CS2	down
AC092667.1	CS2	down
CCDC170	CS2	down
TTC8	CS2	down
CYB5D2	CS2	down
DRC3	CS2	down
CT62	CS2	down
TIGD6	CS2	down
LINC01488	CS2	down
DNAAF1	CS2	down
RAD17P1	CS2	down
AL034351.4	CS2	down
ZMYND10	CS2	down
DELE1	CS2	down
EZH1	CS2	down
AC096733.2	CS2	down
AC008663.1	CS2	down
DEGS2	CS2	down
IGFALS	CS2	down
NEK5	CS2	down
TPTE2P2	CS2	down
NAT1	CS2	down
AL591845.1	CS2	down
CELSR1	CS2	down
SPATA4	CS2	down
ERBB4	CS2	down
AL158206.1	CS2	down
NXNL2	CS2	down
DNAJC12	CS2	down
LINC01843	CS2	down
AL078582.2	CS2	down
RERG	CS2	down
CFAP57	CS2	down
ZBTB4	CS2	down
GATA3	CS2	down
MRPS30-DT	CS2	down
SERPINA11	CS2	down
TCEAL1	CS2	down
KLHDC1	CS2	down
CA12	CS2	down
IL6ST	CS2	down
ZNF396	CS2	down
CCDC96	CS2	down
LINC00683	CS2	down
MIR29B2CHG	CS2	down
CLSTN2	CS2	down
ABAT	CS2	down
BTG2	CS2	down
APH1B	CS2	down
CPEB2	CS2	down
FAM174A	CS2	down
KIF12	CS2	down
PTPRT	CS2	down
RGS22	CS2	down
KDM4B	CS2	down
DACH1	CS2	down
UBXN10	CS2	down
AC121338.2	CS2	down
TFF1	CS2	down
P4HTM	CS2	down
PRKAB1	CS2	down
ZNF552	CS2	down
