probe	class	dirct
AC093866.1	CS1	up
SRARP	CS1	up
C5AR2	CS1	up
RUNDC1	CS1	up
TBC1D9	CS1	up
CFAP99	CS1	up
JADE2	CS1	up
HHAT	CS1	up
LINC00504	CS1	up
SCUBE2	CS1	up
AGR3	CS1	up
FAM161B	CS1	up
FAM47E	CS1	up
DYNLRB2	CS1	up
THSD4	CS1	up
SPEF2	CS1	up
BORCS7	CS1	up
ANKRA2	CS1	up
CIRBP	CS1	up
LONRF2	CS1	up
AFF3	CS1	up
CAPN8	CS1	up
MLPH	CS1	up
ESR1	CS1	up
ARSG	CS1	up
SLC39A6	CS1	up
MAPT	CS1	up
MINDY1	CS1	up
ANXA9	CS1	up
AC013726.1	CS1	up
AC008268.1	CS1	up
BBS4	CS1	up
ACADSB	CS1	up
CFAP94	CS1	up
ZCWPW2	CS1	up
DNALI1	CS1	up
MIR3936HG	CS1	up
PCBD2	CS1	up
TTC8	CS1	up
GATA3	CS1	up
AC092667.1	CS1	up
CCDC170	CS1	up
BBOF1	CS1	up
CYB5D2	CS1	up
TIGD6	CS1	up
DRC3	CS1	up
CT62	CS1	up
LINC01488	CS1	up
DNAAF1	CS1	up
RAD17P1	CS1	up
AL034351.4	CS1	up
ZMYND10	CS1	up
EZH1	CS1	up
AC096733.2	CS1	up
NEK5	CS1	up
ERBB4	CS1	up
LMX1B	CS1	up
DEGS2	CS1	up
DELE1	CS1	up
CELSR1	CS1	up
AC008663.1	CS1	up
IGFALS	CS1	up
TPTE2P2	CS1	up
CA12	CS1	up
NAT1	CS1	up
AL591845.1	CS1	up
AL158206.1	CS1	up
SPATA4	CS1	up
NXNL2	CS1	up
RERG	CS1	up
DNAJC12	CS1	up
CFAP57	CS1	up
LINC01843	CS1	up
AC121338.2	CS1	up
ZBTB4	CS1	up
AL078582.2	CS1	up
TCEAL1	CS1	up
P4HTM	CS1	up
MRPS30-DT	CS1	up
SERPINA11	CS1	up
ZNF396	CS1	up
IL6ST	CS1	up
KLHDC1	CS1	up
CLSTN2	CS1	up
BTG2	CS1	up
CCDC96	CS1	up
APH1B	CS1	up
LINC00683	CS1	up
MIR29B2CHG	CS1	up
ABAT	CS1	up
CPEB2	CS1	up
PGPEP1	CS1	up
KIF12	CS1	up
PTPRT	CS1	up
UBXN10	CS1	up
ZNF763	CS1	up
RGS22	CS1	up
FAM174A	CS1	up
KDM4B	CS1	up
DACH1	CS1	up
CBX2	CS2	up
PSAT1	CS2	up
YEATS2	CS2	up
ENO1	CS2	up
CENPW	CS2	up
CDC20	CS2	up
TTK	CS2	up
PDSS1	CS2	up
NUP93	CS2	up
CDCA7	CS2	up
ORC1	CS2	up
DNMT3B	CS2	up
KIF2C	CS2	up
MYBL2	CS2	up
AL024507.2	CS2	up
TICRR	CS2	up
CENPA	CS2	up
SUV39H2	CS2	up
DEPDC1	CS2	up
FAM83D	CS2	up
CENPN	CS2	up
YBX1	CS2	up
CDCA8	CS2	up
GARS1	CS2	up
MELK	CS2	up
MSL3	CS2	up
MCCC1	CS2	up
LRP8	CS2	up
RFC4	CS2	up
POP1	CS2	up
PLK1	CS2	up
ORC6	CS2	up
SKP2	CS2	up
CHEK2	CS2	up
MCM10	CS2	up
CCNE1	CS2	up
TRIP13	CS2	up
TUBA1C	CS2	up
AC010729.2	CS2	up
TPX2	CS2	up
MTFR2	CS2	up
AUNIP	CS2	up
CCNB2	CS2	up
E2F2	CS2	up
PDHA1	CS2	up
A2ML1	CS2	up
CEP55	CS2	up
CDC25A	CS2	up
SOX11	CS2	up
PELATON	CS2	up
NDC80	CS2	up
FANCB	CS2	up
CHEK1	CS2	up
AMD1	CS2	up
CDKN2A	CS2	up
DLGAP5	CS2	up
ZNF695	CS2	up
MTHFD1L	CS2	up
AC012073.1	CS2	up
TUBB	CS2	up
AURKB	CS2	up
GABBR2	CS2	up
BUB1	CS2	up
GPR19	CS2	up
LBR	CS2	up
NCAPH	CS2	up
KCMF1	CS2	up
IMPA2	CS2	up
SRPK1	CS2	up
RAD54L	CS2	up
AC092718.4	CS2	up
EXO1	CS2	up
ANLN	CS2	up
DDN	CS2	up
IL12RB2	CS2	up
ERCC6L	CS2	up
HASPIN	CS2	up
CCL7	CS2	up
PAK1IP1	CS2	up
AQP9	CS2	up
SMC1B	CS2	up
SLC43A3	CS2	up
CDCA5	CS2	up
YBX1P10	CS2	up
FANCA	CS2	up
CDC45	CS2	up
AMER1	CS2	up
POLQ	CS2	up
CENPI	CS2	up
GMPS	CS2	up
STIL	CS2	up
EEF1AKMT4	CS2	up
DNAJB11	CS2	up
DBF4	CS2	up
DSCC1	CS2	up
UBE2C	CS2	up
EZH2	CS2	up
ACTR3	CS2	up
KIF4A	CS2	up
BEND3	CS2	up
