probe	class	dirct
EIF2S2	CS1	up
MAPRE1	CS1	up
PGK1	CS1	up
GINS1	CS1	up
AURKA	CS1	up
DSCC1	CS1	up
RAD54B	CS1	up
DCAF13	CS1	up
DSN1	CS1	up
DPM1	CS1	up
ORC6	CS1	up
DNMT3B	CS1	up
MRPL13	CS1	up
DERL1	CS1	up
MRPL15	CS1	up
CENPN	CS1	up
PDHA1	CS1	up
C16orf87	CS1	up
C8orf76	CS1	up
TIMM8A	CS1	up
DKC1	CS1	up
YWHAZ	CS1	up
CMC2	CS1	up
NUDCD1	CS1	up
TUBA1C	CS1	up
GARS1	CS1	up
FAM83D	CS1	up
MYBL2	CS1	up
PSMA7	CS1	up
TMEM65	CS1	up
NSMCE2	CS1	up
AARS1	CS1	up
MTFR1	CS1	up
E2F1	CS1	up
HSPD1	CS1	up
NOP56	CS1	up
CCT5	CS1	up
NUP93	CS1	up
NIP7	CS1	up
AURKB	CS1	up
LAPTM4B	CS1	up
CYRIB	CS1	up
TATDN1	CS1	up
UBE2C	CS1	up
MTERF3	CS1	up
SHCBP1	CS1	up
PDSS1	CS1	up
AC092718.4	CS1	up
GTPBP4	CS1	up
SNRPB2	CS1	up
MRGBP	CS1	up
STIP1	CS1	up
CACYBP	CS1	up
KCTD5	CS1	up
CIAPIN1	CS1	up
NANP	CS1	up
UTP4	CS1	up
RBL1	CS1	up
BRIX1	CS1	up
RAE1	CS1	up
ELOC	CS1	up
TTI1	CS1	up
DNAJB11	CS1	up
ENY2	CS1	up
CYCS	CS1	up
PAK1IP1	CS1	up
SLC7A5	CS1	up
NAE1	CS1	up
NDUFB9	CS1	up
CCT6A	CS1	up
NKRF	CS1	up
PCNA	CS1	up
XPOT	CS1	up
TPX2	CS1	up
POLR2K	CS1	up
KPNA2	CS1	up
SKA3	CS1	up
PLK1	CS1	up
CBX2	CS1	up
PSMD12	CS1	up
UBE2T	CS1	up
PRR11	CS1	up
EEF1AKMT4	CS1	up
SLC35A2	CS1	up
MARS1	CS1	up
NUTF2	CS1	up
GPI	CS1	up
UBE2V2	CS1	up
PFDN4	CS1	up
ARMC1	CS1	up
CDKN3	CS1	up
PSMD7	CS1	up
WDR53	CS1	up
GID8	CS1	up
DUS2	CS1	up
CKS1B	CS1	up
PNP	CS1	up
MCM4	CS1	up
SF3B3	CS1	up
ACOT8	CS1	up
GRIK1-AS1	CS2	up
AC114490.3	CS2	up
AC093866.1	CS2	up
TRMT9B	CS2	up
EWSAT1	CS2	up
SNX1	CS2	up
AC114490.1	CS2	up
SPATA4	CS2	up
DCDC1	CS2	up
CX3CR1	CS2	up
ABCA10	CS2	up
SEMA3G	CS2	up
NOSTRIN	CS2	up
LINC01085	CS2	up
AL137847.2	CS2	up
UBAP1L	CS2	up
FZD10-AS1	CS2	up
TNS2	CS2	up
APH1B	CS2	up
BCL2	CS2	up
AL513477.1	CS2	up
TPRG1	CS2	up
AL591845.1	CS2	up
LINC00398	CS2	up
FCER1A	CS2	up
TRABD2B	CS2	up
CCNDBP1	CS2	up
CCDC178	CS2	up
CBX7	CS2	up
CCDC158	CS2	up
VILL	CS2	up
PICART1	CS2	up
DNM1P46	CS2	up
DNAH6	CS2	up
DNAI4	CS2	up
SPATA6L	CS2	up
ERICH3	CS2	up
HIVEP3	CS2	up
NRIP2	CS2	up
SETBP1	CS2	up
SLC5A9	CS2	up
STK32B	CS2	up
AP003059.2	CS2	up
FYB2	CS2	up
SORCS1	CS2	up
CD300LG	CS2	up
SPATA6	CS2	up
RNF213-AS1	CS2	up
AP001148.1	CS2	up
CCL14	CS2	up
FAM81B	CS2	up
EGOT	CS2	up
ATP9B	CS2	up
ZNF582-AS1	CS2	up
NXNL2	CS2	up
C2orf73	CS2	up
VWA2	CS2	up
SEMA6D	CS2	up
NEK10	CS2	up
CFAP69	CS2	up
GSTM2	CS2	up
DNAH7	CS2	up
AC103719.1	CS2	up
AC079296.1	CS2	up
RN7SKP275	CS2	up
BBOF1	CS2	up
RGS22	CS2	up
CAPN3	CS2	up
GNG12-AS1	CS2	up
SLC14A2-AS1	CS2	up
LINC00683	CS2	up
PAXIP1-AS2	CS2	up
CAPN8	CS2	up
AC096589.1	CS2	up
DUBR	CS2	up
AC096589.2	CS2	up
ASPA	CS2	up
DNMBP-AS1	CS2	up
DELE1	CS2	up
AC012588.1	CS2	up
SCN4B	CS2	up
WDR19	CS2	up
TMEM26	CS2	up
CRY2	CS2	up
AC084759.3	CS2	up
CHAD	CS2	up
NTRK2	CS2	up
NISCH	CS2	up
CYBRD1	CS2	up
SLC14A2	CS2	up
CPLX1	CS2	up
PHYHD1	CS2	up
CADM3-AS1	CS2	up
GPIHBP1	CS2	up
CCDC74B	CS2	up
JADE2	CS2	up
PLAC9P1	CS2	up
Y_RNA	CS2	up
AP003555.2	CS2	up
AP001094.2	CS2	up
