probe	class	dirct
CDNF	CS1	down
CCT5;CTD-2256P15.1;FAM173B	CS1	down
OSGIN2;RNU6-925P	CS1	down
DSG2	CS1	down
RP11-690J15.1	CS1	down
SYNE2	CS1	down
RP11-511B23.2	CS1	down
KIAA0922	CS1	down
HBE1;HBG2;OR51B4	CS1	down
GORASP2	CS1	down
ASF1A;MCM9	CS1	down
SEPHS2	CS1	down
RPL37P2	CS1	down
AP002884.2;IL18	CS1	down
LPIN3	CS1	down
AKIRIN2	CS1	down
AC104389.28;HBE1;HBG2;OR51B2	CS1	down
MS4A13	CS1	down
CYP27C1	CS1	down
AXDND1	CS1	down
CNTNAP5	CS1	down
LINC00992	CS1	down
LINC00989	CS1	down
RPUSD3;TTLL3	CS1	down
CFAP58	CS1	down
FPGT-TNNI3K;TNNI3K	CS1	down
UCP2	CS1	down
AL031721.1;UNKL	CS1	down
AC108142.1	CS1	down
ENDOG	CS1	down
LUC7L;Z69890.1	CS1	down
C2orf47;C2orf69;TYW5	CS1	down
CPS1	CS1	down
PEX7	CS1	down
CST9L	CS1	down
AMN1;RP11-467L13.7	CS1	down
VIT	CS1	down
RP1-273G13.3;RP11-317N12.1	CS1	down
PIP5K1A	CS1	down
OCEL1	CS1	down
COPS5;CSPP1	CS1	down
TRMT11	CS1	down
RNF144B	CS1	down
MELK	CS1	down
DAB1;DAB1-AS1	CS1	down
MACROD2	CS1	down
ARMC9	CS1	down
RP11-1149O23.3;RP11-1149O23.4;TNFRSF10A	CS1	down
MCM5	CS1	down
CTD-2509G16.5	CS1	down
AFF3	CS1	down
TTC33	CS1	down
SPAG9	CS1	down
MIR1251;RMST;RMST_2	CS1	down
GALT;RP11-195F19.29	CS1	down
CASP8	CS1	down
RP11-402L5.1;VPS13B	CS1	down
THSD4	CS1	down
SAR1A	CS1	down
TRIM41	CS1	down
GHITM;RP11-338I21.1	CS1	down
CPO	CS1	down
PDE1A	CS1	down
MIOS;RP5-1159O4.1	CS1	down
AC023590.1;SAMD12	CS1	down
NAV3	CS1	down
ST8SIA6;ST8SIA6-AS1	CS1	down
RP4-597N16.4	CS1	down
KCNH1	CS1	down
MS4A12	CS1	down
SLC8A1-AS1	CS1	down
IMMT	CS1	down
AKR1D1	CS1	down
RP11-474P2.4;RP11-96H19.1	CS1	down
SORT1	CS1	down
SLPI	CS1	down
DCDC1	CS1	down
RP11-587H10.1	CS1	down
ACSM5	CS1	down
ADPRHL1	CS1	down
IQCJ;IQCJ-SCHIP1	CS1	down
RP11-26L20.3	CS1	down
TMEM173	CS1	down
RPN1	CS1	down
CLN8	CS1	down
KIAA1456	CS1	down
WSB1	CS1	down
ZNF184	CS1	down
AP000320.7;MRPS6;SLC5A3	CS1	down
FAR2	CS1	down
GDNF-AS1	CS1	down
CTD-2143L24.1;RP11-447B18.1	CS1	down
ATG7	CS1	down
GPR158	CS1	down
AL021807.1	CS1	down
TMEM194B	CS1	down
DOK6;RP11-465I4.3	CS1	down
PRKCI	CS1	down
CNGB3	CS1	down
CKAP4;RP11-651L5.2	CS1	down
CIT;MIR1178	CS2	down
MIR424;MIR503;MIR503HG	CS2	down
DLEU7;DLEU7-AS1	CS2	down
CHIT1	CS2	down
AC061961.2;KCNJ3	CS2	down
SCN2B	CS2	down
AC092667.2;AFF3	CS2	down
KCP	CS2	down
LMX1B	CS2	down
PCGF3;RP11-440L14.1	CS2	down
PGR	CS2	down
RP11-361L15.4	CS2	down
MXI1	CS2	down
EVA1B;RP11-268J15.5;SH3D21	CS2	down
GAL3ST3	CS2	down
RP11-94C24.13;RSAD1	CS2	down
GATA3;GATA3-AS1;RP11-379F12.3;RP11-379F12.4	CS2	down
PEAR1	CS2	down
AC005754.7;PCDHB3;PCDHB5	CS2	down
TMCO4	CS2	down
PPFIA3	CS2	down
GATA3;GATA3-AS1;RP11-379F12.4	CS2	down
DOK1;LOXL3	CS2	down
LINC01391	CS2	down
KCTD21;USP35	CS2	down
CHRNA4;RP11-261N11.8	CS2	down
DAXX	CS2	down
SYCN	CS2	down
RP11-231P20.2	CS2	down
CTD-2377D24.4	CS2	down
CNTFR;CNTFR-AS1	CS2	down
LAMB1	CS2	down
IFNL4P1	CS2	down
PCDHGA1;PCDHGA10;PCDHGA2;PCDHGA3;PCDHGA4;PCDHGA5;PCDHGA6;PCDHGA7;PCDHGA8;PCDHGA9;PCDHGB1;PCDHGB2;PCDHGB3;PCDHGB4;PCDHGB5;PCDHGB6;PCDHGB7	CS2	down
COX4I2	CS2	down
ANKRD44	CS2	down
CTD-3023L14.1;CTD-3023L14.2;CTD-3023L14.3	CS2	down
PHF12	CS2	down
CDHR4	CS2	down
HOXB13;MIR3185	CS2	down
PCDHGA1;PCDHGA2;PCDHGA3;PCDHGA4;PCDHGB1;PCDHGB2	CS2	down
LDLRAD2	CS2	down
CTD-2335A18.2;LINC00925	CS2	down
HNRNPA1P30	CS2	down
SSR3	CS2	down
TRPS1	CS2	down
HCN1	CS2	down
MRPS30;RP11-53O19.1	CS2	down
NXPH2	CS2	down
C5orf66;C5orf66-AS1	CS2	down
PBX2	CS2	down
ALOX5;RP11-67C2.2	CS2	down
MIR5691;SCUBE2	CS2	down
TCF20	CS2	down
MCHR1	CS2	down
HCG20	CS2	down
LETM1	CS2	down
RP11-894J14.5	CS2	down
GATA3-AS1;RP11-379F12.4	CS2	down
PPM1J	CS2	down
TOLLIP	CS2	down
TBC1D9	CS2	down
BEAN1	CS2	down
LINC00461;MIR9-2	CS2	down
PTPRT;RP1-269M15.3	CS2	down
BCL2	CS2	down
LEFTY1;RP4-559A3.7	CS2	down
DRD4	CS2	down
DNALI1	CS2	down
CCDC106	CS2	down
PI4KB	CS2	down
GATA3	CS2	down
PHYHD1	CS2	down
GIGYF1	CS2	down
AC079135.1;ASB18	CS2	down
LINC01475	CS2	down
PDZK1	CS2	down
STC2	CS2	down
HOXD9	CS2	down
RP11-115H18.1	CS2	down
RP11-637O19.2;RP11-637O19.3	CS2	down
PPP4R4	CS2	down
EGR1	CS2	down
IGFALS;SPSB3	CS2	down
CCDC130	CS2	down
GLIS2;PAM16;RP11-295D4.1	CS2	down
RASL10A	CS2	down
EID3;TXNRD1	CS2	down
RP11-455F5.3;YPEL3	CS2	down
TNNC1	CS2	down
IL6ST	CS2	down
ANKS4B	CS2	down
CLK4	CS2	down
MRRF	CS2	down
LCNL1	CS2	down
CLDN10	CS2	down
RP11-417O18.2	CS2	down
GREB1;MIR4429	CS2	down
RERG	CS2	down
PCDHGA1;PCDHGA2;PCDHGA3;PCDHGA4;PCDHGA5;PCDHGA6;PCDHGA7;PCDHGA8;PCDHGA9;PCDHGB1;PCDHGB2;PCDHGB3;PCDHGB4;PCDHGB5;PCDHGB6	CS2	down
