probe	class	dirct
CIT;MIR1178	CS1	up
MIR424;MIR503;MIR503HG	CS1	up
DLEU7;DLEU7-AS1	CS1	up
CHIT1	CS1	up
AC061961.2;KCNJ3	CS1	up
SCN2B	CS1	up
AC092667.2;AFF3	CS1	up
KCP	CS1	up
LMX1B	CS1	up
PCGF3;RP11-440L14.1	CS1	up
PGR	CS1	up
RP11-361L15.4	CS1	up
MXI1	CS1	up
EVA1B;RP11-268J15.5;SH3D21	CS1	up
GAL3ST3	CS1	up
RP11-94C24.13;RSAD1	CS1	up
GATA3;GATA3-AS1;RP11-379F12.3;RP11-379F12.4	CS1	up
PEAR1	CS1	up
AC005754.7;PCDHB3;PCDHB5	CS1	up
TMCO4	CS1	up
PPFIA3	CS1	up
GATA3;GATA3-AS1;RP11-379F12.4	CS1	up
DOK1;LOXL3	CS1	up
LINC01391	CS1	up
KCTD21;USP35	CS1	up
CHRNA4;RP11-261N11.8	CS1	up
DAXX	CS1	up
SYCN	CS1	up
RP11-231P20.2	CS1	up
CTD-2377D24.4	CS1	up
CNTFR;CNTFR-AS1	CS1	up
LAMB1	CS1	up
IFNL4P1	CS1	up
PCDHGA1;PCDHGA10;PCDHGA2;PCDHGA3;PCDHGA4;PCDHGA5;PCDHGA6;PCDHGA7;PCDHGA8;PCDHGA9;PCDHGB1;PCDHGB2;PCDHGB3;PCDHGB4;PCDHGB5;PCDHGB6;PCDHGB7	CS1	up
COX4I2	CS1	up
ANKRD44	CS1	up
CTD-3023L14.1;CTD-3023L14.2;CTD-3023L14.3	CS1	up
PHF12	CS1	up
CDHR4	CS1	up
HOXB13;MIR3185	CS1	up
PCDHGA1;PCDHGA2;PCDHGA3;PCDHGA4;PCDHGB1;PCDHGB2	CS1	up
LDLRAD2	CS1	up
CTD-2335A18.2;LINC00925	CS1	up
HNRNPA1P30	CS1	up
SSR3	CS1	up
TRPS1	CS1	up
HCN1	CS1	up
MRPS30;RP11-53O19.1	CS1	up
NXPH2	CS1	up
C5orf66;C5orf66-AS1	CS1	up
PBX2	CS1	up
ALOX5;RP11-67C2.2	CS1	up
MIR5691;SCUBE2	CS1	up
TCF20	CS1	up
MCHR1	CS1	up
