probe	class	dirct
CALCOCO2	CS1	down
SCDP1	CS1	down
HCG9	CS1	down
ATOX1;G3BP1;RP11-54C4.3	CS1	down
ARL5C;RP5-906A24.1	CS1	down
TMEM9B;TMEM9B-AS1	CS1	down
CCDC140;PAX3	CS1	down
AQPEP	CS1	down
PML	CS1	down
FOXK2;RP13-638C3.4	CS1	down
CPTP	CS1	down
RNF219-AS1;RP11-52L5.6	CS1	down
HOXA10-HOXA9;HOXA9	CS1	down
RP11-298J23.5;TFEB	CS1	down
PABPC1P4;TMEM5-AS1	CS1	down
MED20;Y_RNA	CS1	down
ARFRP1;RP4-583P15.15;ZGPAT	CS1	down
CCDC40;TBC1D16	CS1	down
RP4-536B24.2;SLC7A5	CS1	down
AC003986.6;TWIST1	CS1	down
OSBP	CS1	down
IFNGR1	CS1	down
CYP2A7P1	CS1	down
CSNK1D;RP13-516M14.8;SLC16A3	CS1	down
NDRG2	CS1	down
TRIM8	CS1	down
SIX3	CS1	down
ADRBK1	CS1	down
FAM3D;RP11-475O23.3	CS1	down
COL2A1;RP1-228P16.3	CS1	down
CCDC23;ERMAP	CS1	down
SAMD4B	CS1	down
NR2F1-AS1	CS1	down
RUVBL1;RUVBL1-AS1	CS1	down
DLEU1;RP11-34F20.7	CS1	down
CLYBL	CS1	down
HAR1A;HAR1B	CS1	down
MT1A;RP11-249C24.12	CS1	down
RP11-557H15.3	CS1	down
CTC-512J12.4;CTC-512J12.6;ZNF285	CS1	down
CTC-512J12.4;ZNF229	CS1	down
TXNRD1	CS1	down
CDKN2A;RP11-145E5.5	CS1	down
RP11-495P10.4	CS1	down
RPS12P26;SEMA4B	CS1	down
CTD-2600O9.2;KIFC3	CS1	down
RP11-21L23.4	CS1	down
SH3TC1	CS1	down
AL132709.1	CS1	down
NSL1	CS1	down
LINC01381	CS1	down
PRDM1	CS1	down
SALL2	CS1	down
BAHCC1;MIR4740	CS1	down
NKAPL	CS1	down
ARHGEF2;RP11-336K24.12	CS1	down
CCNJP1	CS1	down
LINC00554	CS1	down
LRRC3;LRRC3-AS1	CS1	down
MOB3A	CS1	down
FAM183DP	CS1	down
FLII	CS1	down
TULP1	CS1	down
ARGLU1	CS1	down
CRHR2	CS1	down
ESRRB	CS1	down
MROH6	CS1	down
DMRT1	CS1	down
BAIAP2-AS1	CS1	down
FOXC2;FOXC2-AS1	CS1	down
NBPF13P;RNVU1-8	CS1	down
CPA1	CS1	down
ARMC12	CS1	down
RP11-326I11.4	CS1	down
AC073257.2	CS1	down
NLRP14;ZNF214	CS1	down
FLJ45079	CS1	down
GREM1;RP11-758N13.1	CS1	down
ZNF667;ZNF667-AS1	CS1	down
RP5-1126H10.2	CS1	down
OCA2	CS1	down
MIR31HG	CS1	down
CTNNB1	CS1	down
AC104654.1	CS1	down
RP11-314N13.10;SDCBP2;SDCBP2-AS1	CS1	down
FLOT2;RP11-20B24.7	CS1	down
AC026271.5;TBC1D28	CS1	down
FLJ12825;RP11-834C11.5	CS1	down
BAIAP2L2;CTA-228A9.3	CS1	down
RP5-1096D14.3	CS1	down
RNU6-1223P;TCF3	CS1	down
HGSNAT	CS1	down
MIRLET7D;MIRLET7DHG;RP11-2B6.3	CS1	down
SOX2-OT	CS1	down
RPS19BP1	CS1	down
TNFRSF11A;Y_RNA	CS1	down
PLCG1-AS1	CS1	down
CTD-2517M22.14;PPP1R16A	CS1	down
PXK	CS1	down
AC091729.8;C7orf50	CS1	down
ARSF	CS2	down
