probe	class	dirct
ARSF	CS1	up
SLCO1B3	CS1	up
LILRB1	CS1	up
METTL15	CS1	up
TMEM243	CS1	up
BPIFA4P	CS1	up
MTFR1	CS1	up
C7orf71	CS1	up
PYCR1	CS1	up
CSN1S1	CS1	up
RP11-32B5.7	CS1	up
RPL26P31	CS1	up
AC010091.1	CS1	up
UBE2V2	CS1	up
FAM117A	CS1	up
RP3-525N10.2	CS1	up
EEFSEC;RUVBL1	CS1	up
TRIM55	CS1	up
RNFT1;RP11-178C3.1;RP11-178C3.2;TBC1D3P1-DHX40P1	CS1	up
AC004593.3;CHN2	CS1	up
RP11-244H3.4;ZMYM6	CS1	up
RP11-354A14.1	CS1	up
ALDH1L2;C12orf45	CS1	up
VSIG4	CS1	up
KRT18P56	CS1	up
STAU2;STAU2-AS1	CS1	up
C17orf58;RP11-855A2.5	CS1	up
PART1;PART1_2;PDE4D	CS1	up
SLFN5	CS1	up
RBL2	CS1	up
PIAS2	CS1	up
MIR646HG	CS1	up
A1CF	CS1	up
AC190387.1;SVOP;USP30	CS1	up
RP11-120M18.2;WIPI1	CS1	up
AC104389.28;HBE1;HBG2;OR51I1	CS1	up
RP11-359M6.1	CS1	up
OR5H6;RP11-325B23.2	CS1	up
LPHN3;LPHN3-AS1	CS1	up
RP11-509A17.3	CS1	up
CLVS1;RP11-787D18.1	CS1	up
DRAM1	CS1	up
MIB2;RP11-345P4.9	CS1	up
RP11-775C24.3	CS1	up
SNX9	CS1	up
RP3-395M20.9	CS1	up
CTD-2297D10.2	CS1	up
AC090181.1;TSPAN3	CS1	up
AC023669.1	CS1	up
TCAF1	CS1	up
SLC26A7	CS1	up
CTB-61M7.1;KIR3DL1	CS1	up
CTC-554D6.1	CS1	up
AC130469.2;ADAMTS10	CS1	up
CXorf65	CS1	up
CDH13;CTD-3253I12.1	CS1	up
RP11-676F20.1	CS1	up
SEMG2	CS1	up
SOX5	CS1	up
CYP11B1;GML	CS1	up
CNKSR3;IPCEF1	CS1	up
C9	CS1	up
CTD-2337A12.1;MIR583;RP11-254I22.1	CS1	up
CNOT11;TBC1D8	CS1	up
RNF139;RNF139-AS1	CS1	up
LINC01098;LINC01099	CS1	up
RP3-453C12.14;SDC4	CS1	up
CTB-109A12.1;CYFIP2	CS1	up
AC067945.4;STAT4	CS1	up
RP11-314A15.2	CS1	up
KPNA1;RP11-299J3.8	CS1	up
BAGE2	CS1	up
CDH26	CS1	up
IL7	CS1	up
ARHGAP28	CS1	up
MSNP1	CS1	up
RP11-203B9.4;ZNF451	CS1	up
RP11-332J15.3	CS1	up
ZNF507	CS1	up
PIK3C2G;RERGL	CS1	up
NDUFA1	CS1	up
CTD-2245F17.9;VN1R4	CS1	up
OR5A2	CS1	up
MIR223;RP6-159A1.4	CS1	up
LIPJ;Y_RNA	CS1	up
NLRP11	CS1	up
TRAV1-1	CS1	up
ZNF542P	CS1	up
PDE1C;SNX2P2	CS1	up
LINC00704;LINC00705	CS1	up
AC016999.2;ASB1	CS1	up
PDLIM3	CS1	up
ARFGAP1;NKAIN4	CS1	up
RNF43	CS1	up
NTHL1;TSC2	CS1	up
RP11-1007O24.3;RP11-1007O24.4	CS1	up
KRT18;KRT8	CS1	up
RNF32	CS1	up
RP5-1091N2.9	CS1	up
GYPA	CS1	up
CALCOCO2	CS2	up
SCDP1	CS2	up
HCG9	CS2	up
ATOX1;G3BP1;RP11-54C4.3	CS2	up
ARL5C;RP5-906A24.1	CS2	up
TMEM9B;TMEM9B-AS1	CS2	up
CCDC140;PAX3	CS2	up
AQPEP	CS2	up
PML	CS2	up
FOXK2;RP13-638C3.4	CS2	up
CPTP	CS2	up
RNF219-AS1;RP11-52L5.6	CS2	up
HOXA10-HOXA9;HOXA9	CS2	up
RP11-298J23.5;TFEB	CS2	up
PABPC1P4;TMEM5-AS1	CS2	up
MED20;Y_RNA	CS2	up
ARFRP1;RP4-583P15.15;ZGPAT	CS2	up
CCDC40;TBC1D16	CS2	up
RP4-536B24.2;SLC7A5	CS2	up
AC003986.6;TWIST1	CS2	up
OSBP	CS2	up
IFNGR1	CS2	up
CYP2A7P1	CS2	up
CSNK1D;RP13-516M14.8;SLC16A3	CS2	up
NDRG2	CS2	up
TRIM8	CS2	up
SIX3	CS2	up
ADRBK1	CS2	up
FAM3D;RP11-475O23.3	CS2	up
COL2A1;RP1-228P16.3	CS2	up
CCDC23;ERMAP	CS2	up
SAMD4B	CS2	up
NR2F1-AS1	CS2	up
RUVBL1;RUVBL1-AS1	CS2	up
DLEU1;RP11-34F20.7	CS2	up
CLYBL	CS2	up
HAR1A;HAR1B	CS2	up
MT1A;RP11-249C24.12	CS2	up
RP11-557H15.3	CS2	up
CTC-512J12.4;CTC-512J12.6;ZNF285	CS2	up
CTC-512J12.4;ZNF229	CS2	up
TXNRD1	CS2	up
CDKN2A;RP11-145E5.5	CS2	up
RP11-495P10.4	CS2	up
RPS12P26;SEMA4B	CS2	up
CTD-2600O9.2;KIFC3	CS2	up
RP11-21L23.4	CS2	up
SH3TC1	CS2	up
AL132709.1	CS2	up
NSL1	CS2	up
LINC01381	CS2	up
PRDM1	CS2	up
SALL2	CS2	up
BAHCC1;MIR4740	CS2	up
NKAPL	CS2	up
ARHGEF2;RP11-336K24.12	CS2	up
CCNJP1	CS2	up
LINC00554	CS2	up
LRRC3;LRRC3-AS1	CS2	up
MOB3A	CS2	up
FAM183DP	CS2	up
FLII	CS2	up
TULP1	CS2	up
ARGLU1	CS2	up
CRHR2	CS2	up
ESRRB	CS2	up
MROH6	CS2	up
DMRT1	CS2	up
BAIAP2-AS1	CS2	up
FOXC2;FOXC2-AS1	CS2	up
NBPF13P;RNVU1-8	CS2	up
CPA1	CS2	up
ARMC12	CS2	up
RP11-326I11.4	CS2	up
AC073257.2	CS2	up
