probe	class	dirct
CHRNA4;RP11-261N11.8	CS1	down
BOLL	CS1	down
PEAR1	CS1	down
DLEU7;DLEU7-AS1	CS1	down
HNRNPA1P30	CS1	down
RP4-738P15.1	CS1	down
GAL3ST3	CS1	down
TULP1	CS1	down
INSRR;NTRK1	CS1	down
FENDRR	CS1	down
RESP18	CS1	down
WT1-AS;WT1-AS_6;WT1-AS_7	CS1	down
LINC01391	CS1	down
KCP	CS1	down
AC009487.5;SLC4A10	CS1	down
COX4I2	CS1	down
LBX1-AS1	CS1	down
NBPF13P;RNVU1-8	CS1	down
PBX2	CS1	down
TMEM9B;TMEM9B-AS1	CS1	down
PAX5;RP11-297B17.3	CS1	down
CTD-2377D24.4	CS1	down
HIST3H2BA	CS1	down
RP11-455F5.3;YPEL3	CS1	down
CIT;MIR1178	CS1	down
SCN2B	CS1	down
AQPEP	CS1	down
LINC00554	CS1	down
ST8SIA3	CS1	down
GAL3ST2	CS1	down
SYCN	CS1	down
PHF12	CS1	down
AC106782.20;BCL7C;MIR762;MIR762HG	CS1	down
AC002472.11;SLC7A4	CS1	down
GSTM2;GSTM4	CS1	down
ONECUT2	CS1	down
CTC-260F20.3;NDUFA13;YJEFN3	CS1	down
HOXB13;MIR3185	CS1	down
DAXX	CS1	down
CTD-2555C10.3	CS1	down
PKLR	CS1	down
DIDO1;RP4-563E14.1	CS1	down
GUCA1A	CS1	down
RP3-412A9.16;SMTN	CS1	down
L1TD1	CS1	down
HOXC13	CS1	down
MSI1	CS1	down
SBNO2	CS1	down
HOTAIR;HOTAIR_3	CS1	down
GHSR	CS1	down
LMX1B	CS1	down
KCNQ1-AS1	CS1	down
HOTTIP;HOTTIP_3	CS1	down
SST	CS1	down
CECR1	CS1	down
PIK3R2	CS1	down
GCM2;RP11-637O19.2;RP11-637O19.3	CS1	down
STK32B	CS1	down
CLDN15;FIS1	CS1	down
AF186192.6	CS1	down
LCNL1	CS1	down
DNHD1;TIMM10B	CS1	down
IFNL4P1	CS1	down
CDC37;PDE4A	CS1	down
LDB1	CS1	down
LPAR1	CS1	down
GPR144	CS1	down
CTDSP1;MIR26B	CS1	down
CTD-2311M21.3;CYP11A1	CS1	down
GAL3ST3;SF3B2	CS1	down
AC108142.1;TENM3	CS1	down
RASGRP2	CS1	down
TMC2	CS1	down
NXPH2	CS1	down
MIR424;MIR503;MIR503HG	CS1	down
C5orf66;C5orf66-AS1	CS1	down
IGSF21;RP11-174G17.3	CS1	down
CNTFR;CNTFR-AS1	CS1	down
RP11-79P5.3	CS1	down
BTG2	CS1	down
TNFSF12;TNFSF12-TNFSF13	CS1	down
ITPRIPL1	CS1	down
HPCAL4	CS1	down
CTD-2619J13.19;ZNF132	CS1	down
CCDC157;SF3A1	CS1	down
RP11-474D1.3;RP11-474D1.4	CS1	down
AC108142.1;RP11-402C9.1;TENM3	CS1	down
SIX3	CS1	down
AP000892.6;TAGLN	CS1	down
MKNK1-AS1	CS1	down
EGR1	CS1	down
AC061961.2;KCNJ3	CS1	down
NUDT22;TRPT1	CS1	down
PABPC1P4;TMEM5-AS1	CS1	down
RP11-361L15.4	CS1	down
MROH6	CS1	down
PRKAR1B	CS1	down
FOXD3-AS1	CS1	down
DRD4	CS1	down
CTC-378H22.1;POU2F2	CS1	down
DNAJC5B	CS2	down
PIP5K1A	CS2	down
LUC7L;Z69890.1	CS2	down
PLA2G4C	CS2	down
CYP27C1	CS2	down
RP11-299M14.2	CS2	down
COPS5;CSPP1	CS2	down
OSGIN2;RNU6-925P	CS2	down
BCL10;RP11-131L23.1	CS2	down
ST8SIA6;ST8SIA6-AS1	CS2	down
CDNF	CS2	down
KRT18P56	CS2	down
ZNF517	CS2	down
CDYL	CS2	down
WSB1	CS2	down
ANKRD55	CS2	down
RP11-418J17.1;WARS2	CS2	down
LRRIQ4	CS2	down
RBM12B;RP11-10N23.5	CS2	down
FKBP7;PLEKHA3	CS2	down
PIGH	CS2	down
BCAR4	CS2	down
CTC-454I21.3;ZNF585B	CS2	down
AC007682.1;AC087073.1	CS2	down
ENDOG	CS2	down
FPGT-TNNI3K;TNNI3K	CS2	down
LINC00989	CS2	down
PRSS23	CS2	down
HIF1A-AS2;RP11-618G20.1	CS2	down
OCEL1	CS2	down
NUP43;PCMT1	CS2	down
CTB-66B24.1;RFX2	CS2	down
IGHE;RP11-731F5.1	CS2	down
PTOV1;PTOV1-AS1	CS2	down
ADAM10	CS2	down
AL022578.1;ZNF81	CS2	down
NPSR1-AS1	CS2	down
AC010145.4	CS2	down
NME1-NME2;NME2	CS2	down
RPUSD3;TTLL3	CS2	down
PROCA1	CS2	down
GNPNAT1	CS2	down
SEPHS2	CS2	down
AC073464.4;CNN2P8	CS2	down
AL031721.1;UNKL	CS2	down
CRISP3	CS2	down
IFRD1;LSMEM1	CS2	down
CCT5;CTD-2256P15.1;FAM173B	CS2	down
PHF14	CS2	down
SMPD1	CS2	down
