probe	class	dirct
DNAJC5B	CS1	up
PIP5K1A	CS1	up
LUC7L;Z69890.1	CS1	up
PLA2G4C	CS1	up
CYP27C1	CS1	up
RP11-299M14.2	CS1	up
COPS5;CSPP1	CS1	up
OSGIN2;RNU6-925P	CS1	up
BCL10;RP11-131L23.1	CS1	up
ST8SIA6;ST8SIA6-AS1	CS1	up
WSB1	CS1	up
CDNF	CS1	up
ZNF517	CS1	up
KRT18P56	CS1	up
CDYL	CS1	up
ANKRD55	CS1	up
PIGH	CS1	up
RP11-418J17.1;WARS2	CS1	up
ADAM10	CS1	up
CTC-454I21.3;ZNF585B	CS1	up
LRRIQ4	CS1	up
RBM12B;RP11-10N23.5	CS1	up
FKBP7;PLEKHA3	CS1	up
BCAR4	CS1	up
AC007682.1;AC087073.1	CS1	up
ENDOG	CS1	up
FPGT-TNNI3K;TNNI3K	CS1	up
LINC00989	CS1	up
PRSS23	CS1	up
HIF1A-AS2;RP11-618G20.1	CS1	up
OCEL1	CS1	up
NUP43;PCMT1	CS1	up
NME1-NME2;NME2	CS1	up
CTB-66B24.1;RFX2	CS1	up
IGHE;RP11-731F5.1	CS1	up
PTOV1;PTOV1-AS1	CS1	up
NPSR1-AS1	CS1	up
PROCA1	CS1	up
AC010145.4	CS1	up
AL022578.1;ZNF81	CS1	up
GNPNAT1	CS1	up
RPUSD3;TTLL3	CS1	up
RP11-390P2.4	CS1	up
SEPHS2	CS1	up
AC073464.4;CNN2P8	CS1	up
AL031721.1;UNKL	CS1	up
CRISP3	CS1	up
IFRD1;LSMEM1	CS1	up
CCT5;CTD-2256P15.1;FAM173B	CS1	up
PHF14	CS1	up
FBXO22	CS1	up
SMPD1	CS1	up
OXR1;RP11-649G15.2	CS1	up
RP11-15J22.8;ZCCHC8	CS1	up
STK31	CS1	up
RP11-511B23.2	CS1	up
RYR1	CS1	up
COQ3	CS1	up
SORT1	CS1	up
CNBD1	CS1	up
RP11-390N6.1;SYT1	CS1	up
CDYL2	CS1	up
SSX2IP	CS1	up
DIP2B	CS1	up
CTC-273B12.7;KCNJ14	CS1	up
MELK	CS1	up
RP11-306I1.2	CS1	up
NTAN1;PDXDC1	CS1	up
NLRP8	CS1	up
NKAIN3;UG0898H09	CS1	up
AC104534.3;ECH1	CS1	up
HMGN2P6	CS1	up
RP11-161H23.5;TUBA1C	CS1	up
SOX5	CS1	up
FPGT-TNNI3K;RP11-439H8.4;TNNI3K	CS1	up
RP11-428C19.4	CS1	up
GRIN3B	CS1	up
DNASE1	CS1	up
SUGT1P3;TPTE2P5	CS1	up
USP12	CS1	up
SEC23B	CS1	up
RP11-448A19.1	CS1	up
C2orf61;RP11-761B3.1	CS1	up
NLRP11;NLRP4	CS1	up
HAT1;SLC25A12	CS1	up
LINC00582;TSNAX-DISC1	CS1	up
ADK	CS1	up
ARL4A;CTD-2320J21.1	CS1	up
LPIN1	CS1	up
ZNF549;ZNF550	CS1	up
RP11-475O6.1	CS1	up
PEX19;RP11-574F21.3	CS1	up
TTC33	CS1	up
AC144449.1;MMADHC	CS1	up
TBC1D31	CS1	up
RP11-587H10.1	CS1	up
AIFM1	CS1	up
RP11-260O18.1	CS1	up
GORASP2	CS1	up
RP11-664D7.4	CS1	up
CHRNA4;RP11-261N11.8	CS2	up
BOLL	CS2	up
DLEU7;DLEU7-AS1	CS2	up
PEAR1	CS2	up
HNRNPA1P30	CS2	up
RP4-738P15.1	CS2	up
GAL3ST3	CS2	up
TULP1	CS2	up
INSRR;NTRK1	CS2	up
FENDRR	CS2	up
RESP18	CS2	up
