probe	class	dirct
PCGF3;RP11-440L14.1	CS1	down
LETM1	CS1	down
CTB-111H14.1	CS1	down
SSR3	CS1	down
TBC1D9	CS1	down
MRRF	CS1	down
POLR2B	CS1	down
SNX1	CS1	down
DICER1	CS1	down
CTC-436P18.1	CS1	down
C1orf21	CS1	down
KIAA0907;SNORA80E	CS1	down
CSAD;RP11-1136G11.8	CS1	down
TECR	CS1	down
TEX2	CS1	down
IDH3A	CS1	down
KTN1-AS1	CS1	down
KIAA2018	CS1	down
MXI1	CS1	down
MAP2K4	CS1	down
RIC8B	CS1	down
CLK4	CS1	down
CDK17	CS1	down
GATA3	CS1	down
FOXK2	CS1	down
AC012442.5;CHCHD5	CS1	down
TMEM206	CS1	down
NDC1	CS1	down
RP11-342M3.5;ZCCHC24	CS1	down
CAPN2	CS1	down
GLIPR1;RP11-585P4.5	CS1	down
RP11-894J14.5	CS1	down
SCUBE2	CS1	down
EXTL3	CS1	down
CPVL;CTB-113D17.1	CS1	down
ZNF775	CS1	down
PPFIA3	CS1	down
ZNF589	CS1	down
TBX19	CS1	down
TAF3	CS1	down
OTULIN	CS1	down
LINC00880	CS1	down
NDST1	CS1	down
LYSMD1;SCNM1	CS1	down
IGIP	CS1	down
LSM2	CS1	down
RARG	CS1	down
DDAH2	CS1	down
PRDM15	CS1	down
KCTD3	CS1	down
SRRM2-AS1	CS1	down
RERG	CS1	down
PPP4R1	CS1	down
FBXL17	CS1	down
PPM1J	CS1	down
C16orf62	CS1	down
CTD-2545H1.2;RTN4RL1	CS1	down
NFASC	CS1	down
POC5	CS1	down
RP11-759A24.3	CS1	down
CASC8	CS1	down
LOXL3	CS1	down
IPO7;SNORA23	CS1	down
NCOR2	CS1	down
ARID2	CS1	down
LINC01237	CS1	down
MED4	CS1	down
RP11-1260E13.2;RP11-1260E13.3;RPH3AL	CS1	down
MED27	CS1	down
CIB3	CS1	down
HHAT	CS1	down
CEP152	CS1	down
DTNBP1	CS1	down
GLIS2;PAM16;RP11-295D4.1	CS1	down
CCDC130	CS1	down
AC010646.3;NR2F6	CS1	down
PLGRKT	CS1	down
UBE2N	CS1	down
CTD-3023L14.1;CTD-3023L14.2;CTD-3023L14.3	CS1	down
E4F1	CS1	down
EIF1AX	CS1	down
SH3PXD2B	CS1	down
SH3YL1	CS1	down
TCP11L2	CS1	down
KCNK15;KCNK15-AS1;RP4-781B1.5	CS1	down
HDAC7	CS1	down
FRMPD1;RP11-613M10.9	CS1	down
RCAN2	CS1	down
CEP83	CS1	down
HMGN2P46;RP11-519G16.3;SLC30A4	CS1	down
FAM63A;PRUNE	CS1	down
SH2D4A	CS1	down
ST8SIA6	CS1	down
CTB-179K24.3;ZNF296	CS1	down
CTB-118N6.2	CS1	down
DNALI1	CS1	down
AGR3	CS1	down
DUSP16	CS1	down
HCG20	CS1	down
TAOK3	CS1	down
OSGIN2;RNU6-925P	CS2	down
ENDOG	CS2	down
ASF1A;MCM9	CS2	down
GORASP2	CS2	down
AXDND1	CS2	down
CTD-2509G16.5	CS2	down
NF2	CS2	down
MTERF3;PTDSS1	CS2	down
ENO1;ENO1-AS1;ENO1-IT1	CS2	down
RP11-1149O23.3;RP11-1149O23.4;TNFRSF10A	CS2	down
SAR1A	CS2	down
TBL1XR1	CS2	down
ZRANB2-AS2	CS2	down
COPS5;CSPP1	CS2	down
RP11-849F2.7;RPL26	CS2	down
ZNF184	CS2	down
PCYT1A;SLC51A	CS2	down
LINC00578	CS2	down
MLXIP	CS2	down
ATG7	CS2	down
RPN1	CS2	down
PARP1	CS2	down
CST9L	CS2	down
UCP2	CS2	down
WSB1	CS2	down
RP11-454P21.1	CS2	down
PIGB;PIGBOS1;RAB27A	CS2	down
RP4-604G5.1	CS2	down
THSD4	CS2	down
CDKN2A;CDKN2B-AS1;RP11-145E5.5	CS2	down
RAB32	CS2	down
STK10	CS2	down
ITPRIP	CS2	down
CENPN;CMC2	CS2	down
UBE2L3	CS2	down
LRP8	CS2	down
SLC45A4	CS2	down
NAGK	CS2	down
PTH2R	CS2	down
CST8;RP3-333B15.4;RP3-333B15.6	CS2	down
AL031721.1;UNKL	CS2	down
ENO1	CS2	down
RPUSD3;TTLL3	CS2	down
DEGS1	CS2	down
GPR158	CS2	down
AL021807.1	CS2	down
GBAS;MRPS17	CS2	down
AC093110.3;SPTBN1	CS2	down
MT1A;NUP93	CS2	down
SMYD5	CS2	down
WDR95P	CS2	down
RRM2	CS2	down
REEP4	CS2	down
MRPS14;Y_RNA	CS2	down
FLVCR1;FLVCR1-AS1	CS2	down
PIN4;RPS4X	CS2	down
KRTDAP	CS2	down
AKIRIN2	CS2	down
RP11-464C19.3	CS2	down
CEP55	CS2	down
MIR623;UBAC2	CS2	down
MATR3;SIL1;SNHG4;SNORA74A	CS2	down
TAF1D	CS2	down
NUP43;PCMT1	CS2	down
ERI1	CS2	down
MYH9	CS2	down
SLC7A5	CS2	down
EMC8;RP11-568J23.5	CS2	down
NPEPPS	CS2	down
PVT1;PVT1_3	CS2	down
G3BP1	CS2	down
RP11-54O7.1;RP11-54O7.16;RP11-54O7.2	CS2	down
FRMD6;FRMD6-AS2	CS2	down
LIPH	CS2	down
MCM5	CS2	down
QRSL1;RTN4IP1	CS2	down
ADHFE1;C8orf46	CS2	down
PSD3;SNORA62	CS2	down
PRPF3	CS2	down
FUOM	CS2	down
FAM188B;INMT-FAM188B	CS2	down
LIFR;LIFR-AS1	CS2	down
YY1P2	CS2	down
CHI3L1	CS2	down
PHYKPL	CS2	down
CUL9	CS2	down
A2ML1;A2ML1-AS1	CS2	down
DSG2	CS2	down
NR2F1;NR2F1-AS1	CS2	down
GLOD4;RNMTL1	CS2	down
FOXH1;PPP1R16A	CS2	down
CTD-2066L21.3	CS2	down
DCUN1D1	CS2	down
AP2B1;TAF15	CS2	down
SERPINA12	CS2	down
CFTR	CS2	down
PIP5K1A	CS2	down
RP11-332L8.1	CS2	down
ZNF599	CS2	down
SERINC5	CS2	down
