probe	class	dirct
OSGIN2;RNU6-925P	CS1	up
ENDOG	CS1	up
ASF1A;MCM9	CS1	up
GORASP2	CS1	up
AXDND1	CS1	up
CTD-2509G16.5	CS1	up
MTERF3;PTDSS1	CS1	up
ENO1;ENO1-AS1;ENO1-IT1	CS1	up
NF2	CS1	up
RP11-1149O23.3;RP11-1149O23.4;TNFRSF10A	CS1	up
SAR1A	CS1	up
TBL1XR1	CS1	up
COPS5;CSPP1	CS1	up
ZNF184	CS1	up
RP11-849F2.7;RPL26	CS1	up
ZRANB2-AS2	CS1	up
PCYT1A;SLC51A	CS1	up
LINC00578	CS1	up
MLXIP	CS1	up
ATG7	CS1	up
RPN1	CS1	up
PARP1	CS1	up
CST9L	CS1	up
UCP2	CS1	up
PIGB;PIGBOS1;RAB27A	CS1	up
THSD4	CS1	up
WSB1	CS1	up
RP4-604G5.1	CS1	up
CDKN2A;CDKN2B-AS1;RP11-145E5.5	CS1	up
RAB32	CS1	up
STK10	CS1	up
ITPRIP	CS1	up
CENPN;CMC2	CS1	up
SLC45A4	CS1	up
NAGK	CS1	up
PTH2R	CS1	up
UBE2L3	CS1	up
RP11-454P21.1	CS1	up
AL031721.1;UNKL	CS1	up
ENO1	CS1	up
LRP8	CS1	up
RPUSD3;TTLL3	CS1	up
GPR158	CS1	up
AL021807.1	CS1	up
DEGS1	CS1	up
CST8;RP3-333B15.4;RP3-333B15.6	CS1	up
SMYD5	CS1	up
MT1A;NUP93	CS1	up
GBAS;MRPS17	CS1	up
RRM2	CS1	up
AC093110.3;SPTBN1	CS1	up
FLVCR1;FLVCR1-AS1	CS1	up
WDR95P	CS1	up
AKIRIN2	CS1	up
REEP4	CS1	up
KRTDAP	CS1	up
PIN4;RPS4X	CS1	up
RP11-464C19.3	CS1	up
CEP55	CS1	up
MRPS14;Y_RNA	CS1	up
TAF1D	CS1	up
MATR3;SIL1;SNHG4;SNORA74A	CS1	up
MYH9	CS1	up
NUP43;PCMT1	CS1	up
ERI1	CS1	up
NPEPPS	CS1	up
MIR623;UBAC2	CS1	up
PVT1;PVT1_3	CS1	up
SLC7A5	CS1	up
G3BP1	CS1	up
RP11-54O7.1;RP11-54O7.16;RP11-54O7.2	CS1	up
FRMD6;FRMD6-AS2	CS1	up
EMC8;RP11-568J23.5	CS1	up
ADHFE1;C8orf46	CS1	up
FUOM	CS1	up
FAM188B;INMT-FAM188B	CS1	up
PSD3;SNORA62	CS1	up
CHI3L1	CS1	up
LIFR;LIFR-AS1	CS1	up
YY1P2	CS1	up
MCM5	CS1	up
PRPF3	CS1	up
PHYKPL	CS1	up
A2ML1;A2ML1-AS1	CS1	up
DSG2	CS1	up
CUL9	CS1	up
NR2F1;NR2F1-AS1	CS1	up
GLOD4;RNMTL1	CS1	up
QRSL1;RTN4IP1	CS1	up
CTD-2066L21.3	CS1	up
AP2B1;TAF15	CS1	up
CFTR	CS1	up
SERPINA12	CS1	up
PIP5K1A	CS1	up
DCUN1D1	CS1	up
ZNF599	CS1	up
WDR20	CS1	up
FOXH1;PPP1R16A	CS1	up
SERINC5	CS1	up
RP11-332L8.1	CS1	up
PCGF3;RP11-440L14.1	CS2	up
LETM1	CS2	up
CTB-111H14.1	CS2	up
SSR3	CS2	up
TBC1D9	CS2	up
MRRF	CS2	up
POLR2B	CS2	up
SNX1	CS2	up
DICER1	CS2	up
CTC-436P18.1	CS2	up
C1orf21	CS2	up
KIAA0907;SNORA80E	CS2	up
CSAD;RP11-1136G11.8	CS2	up
TECR	CS2	up
TEX2	CS2	up
IDH3A	CS2	up
KTN1-AS1	CS2	up
KIAA2018	CS2	up
MXI1	CS2	up
MAP2K4	CS2	up
RIC8B	CS2	up
CLK4	CS2	up
CDK17	CS2	up
GATA3	CS2	up
FOXK2	CS2	up
AC012442.5;CHCHD5	CS2	up
TMEM206	CS2	up
NDC1	CS2	up
RP11-342M3.5;ZCCHC24	CS2	up
CAPN2	CS2	up
GLIPR1;RP11-585P4.5	CS2	up
RP11-894J14.5	CS2	up
SCUBE2	CS2	up
EXTL3	CS2	up
