probe	class	dirct
PEAR1	CS1	up
DLEU7;DLEU7-AS1	CS1	up
CHRNA4;RP11-261N11.8	CS1	up
INSRR;NTRK1	CS1	up
TULP1	CS1	up
DIDO1;RP4-563E14.1	CS1	up
HNRNPA1P30	CS1	up
CTDSP1;MIR26B	CS1	up
PBX2	CS1	up
GAL3ST3	CS1	up
SCN2B	CS1	up
BOLL	CS1	up
RP4-738P15.1	CS1	up
RP11-455F5.3;YPEL3	CS1	up
KCP	CS1	up
LMX1B	CS1	up
BTG2	CS1	up
PHF12	CS1	up
RESP18	CS1	up
FENDRR	CS1	up
RP3-412A9.16;SMTN	CS1	up
CIT;MIR1178	CS1	up
LDB1	CS1	up
TMEM9B;TMEM9B-AS1	CS1	up
PIK3R2	CS1	up
LINC01391	CS1	up
LBX1-AS1	CS1	up
GSTM2;GSTM4	CS1	up
WT1-AS;WT1-AS_6;WT1-AS_7	CS1	up
SBNO2	CS1	up
HIST3H2BA	CS1	up
COX4I2	CS1	up
AC106782.20;BCL7C;MIR762;MIR762HG	CS1	up
DAXX	CS1	up
AES	CS1	up
CTD-2555C10.3	CS1	up
DNHD1;TIMM10B	CS1	up
MIR424;MIR503;MIR503HG	CS1	up
EGR1	CS1	up
PAX5;RP11-297B17.3	CS1	up
PKLR	CS1	up
SYCN	CS1	up
LCNL1	CS1	up
AC002472.11;SLC7A4	CS1	up
GUCA1A	CS1	up
IFNL4P1	CS1	up
NUDT22;TRPT1	CS1	up
CECR1	CS1	up
FKBP15	CS1	up
MSI1	CS1	up
STK32B	CS1	up
AC061961.2;KCNJ3	CS1	up
GHSR	CS1	up
GPR144	CS1	up
GAL3ST2	CS1	up
CTD-2377D24.4	CS1	up
ST8SIA3	CS1	up
SST	CS1	up
L1TD1	CS1	up
RASGRP2	CS1	up
NBPF13P;RNVU1-8	CS1	up
CTD-2311M21.3;CYP11A1	CS1	up
PPFIA3	CS1	up
TNFSF12;TNFSF12-TNFSF13	CS1	up
LINC00554	CS1	up
CNTFR;CNTFR-AS1	CS1	up
KLF16	CS1	up
AC079135.1;ASB18	CS1	up
C5orf66;C5orf66-AS1	CS1	up
CDC37;PDE4A	CS1	up
AC009487.5;SLC4A10	CS1	up
ALKBH5	CS1	up
PI4KB	CS1	up
RP11-361L15.4	CS1	up
DRD4	CS1	up
AC108142.1;TENM3	CS1	up
PRKAR1B	CS1	up
HOXC13	CS1	up
KCNQ1-AS1	CS1	up
ONECUT2	CS1	up
HOXB13;MIR3185	CS1	up
AQPEP	CS1	up
LPAR1	CS1	up
CCDC157;SF3A1	CS1	up
HOTAIR;HOTAIR_3	CS1	up
CTC-260F20.3;NDUFA13;YJEFN3	CS1	up
MROH6	CS1	up
AP000892.6;TAGLN	CS1	up
CHD4	CS1	up
SMTN	CS1	up
HOTTIP;HOTTIP_3	CS1	up
AHSA2	CS1	up
AC007041.2	CS1	up
CIRBP;CIRBP-AS1	CS1	up
PGR	CS1	up
IGSF21;RP11-174G17.3	CS1	up
