probe	class	dirct
hsa-mir-101-1	CS1	down
hsa-mir-101-2	CS1	down
hsa-let-7b	CS1	down
hsa-mir-30a	CS1	down
hsa-mir-135a-2	CS1	down
hsa-let-7a-3	CS1	down
hsa-let-7a-2	CS1	down
hsa-let-7a-1	CS1	down
hsa-mir-497	CS1	down
hsa-mir-190b	CS1	down
hsa-mir-5691	CS1	down
hsa-mir-29c	CS1	down
hsa-mir-664b	CS1	down
hsa-mir-135a-1	CS1	down
hsa-mir-664a	CS1	down
hsa-mir-6733	CS1	down
hsa-mir-337	CS1	down
hsa-mir-125a	CS1	down
hsa-mir-139	CS1	down
hsa-mir-99a	CS1	down
hsa-mir-195	CS1	down
hsa-mir-342	CS1	down
hsa-mir-34c	CS1	down
hsa-mir-1247	CS1	down
hsa-mir-205	CS1	down
hsa-mir-382	CS1	down
hsa-mir-125b-1	CS1	down
hsa-mir-127	CS1	down
hsa-mir-181c	CS1	down
hsa-let-7c	CS1	down
hsa-mir-125b-2	CS1	down
hsa-mir-1976	CS1	down
hsa-mir-1251	CS1	down
hsa-mir-433	CS1	down
hsa-mir-370	CS1	down
hsa-mir-4790	CS1	down
hsa-mir-379	CS1	down
hsa-mir-30d	CS1	down
hsa-mir-654	CS1	down
hsa-mir-410	CS1	down
hsa-mir-145	CS1	down
hsa-mir-34b	CS1	down
hsa-mir-1185-1	CS1	down
hsa-mir-3926-1	CS1	down
hsa-mir-10b	CS1	down
hsa-mir-100	CS1	down
hsa-mir-30c-2	CS1	down
hsa-mir-132	CS1	down
hsa-mir-26a-1	CS1	down
hsa-mir-26a-2	CS1	down
hsa-mir-6788	CS1	down
hsa-mir-154	CS1	down
hsa-mir-377	CS1	down
hsa-mir-548aw	CS1	down
hsa-mir-202	CS1	down
hsa-mir-4693	CS1	down
hsa-mir-496	CS1	down
hsa-mir-4711	CS1	down
hsa-mir-483	CS1	down
hsa-mir-5694	CS1	down
hsa-mir-218-1	CS1	down
hsa-mir-381	CS1	down
hsa-mir-214	CS1	down
hsa-mir-3166	CS1	down
hsa-mir-134	CS1	down
hsa-mir-218-2	CS1	down
hsa-mir-151b	CS1	down
hsa-mir-181d	CS1	down
hsa-mir-487b	CS1	down
hsa-mir-411	CS1	down
hsa-mir-133a-1	CS1	down
hsa-mir-362	CS2	down
hsa-mir-501	CS2	down
hsa-mir-500a	CS2	down
hsa-mir-18a	CS2	down
hsa-mir-421	CS2	down
hsa-mir-3682	CS2	down
hsa-mir-3934	CS2	down
hsa-mir-19a	CS2	down
hsa-mir-767	CS2	down
hsa-mir-502	CS2	down
hsa-mir-942	CS2	down
hsa-mir-105-1	CS2	down
hsa-mir-105-2	CS2	down
hsa-mir-4797	CS2	down
hsa-mir-1301	CS2	down
hsa-mir-135b	CS2	down
hsa-mir-5698	CS2	down
hsa-mir-17	CS2	down
hsa-mir-570	CS2	down
hsa-mir-130b	CS2	down
hsa-mir-3150b	CS2	down
hsa-mir-4746	CS2	down
hsa-mir-9-1	CS2	down
hsa-mir-9-3	CS2	down
hsa-mir-9-2	CS2	down
hsa-mir-301b	CS2	down
hsa-mir-340	CS2	down
hsa-mir-532	CS2	down
hsa-mir-3200	CS2	down
hsa-mir-4525	CS2	down
hsa-mir-6795	CS2	down
hsa-mir-6783	CS2	down
hsa-mir-4674	CS2	down
hsa-mir-7-3	CS2	down
hsa-mir-106b	CS2	down
hsa-mir-590	CS2	down
hsa-mir-7974	CS2	down
hsa-mir-20a	CS2	down
hsa-mir-7702	CS2	down
hsa-mir-579	CS2	down
hsa-mir-3662	CS2	down
hsa-mir-7112	CS2	down
hsa-mir-548j	CS2	down
hsa-mir-378a	CS2	down
hsa-mir-505	CS2	down
hsa-mir-1269a	CS2	down
hsa-mir-671	CS2	down
hsa-mir-500b	CS2	down
hsa-mir-548d-2	CS2	down
hsa-mir-660	CS2	down
hsa-mir-4652	CS2	down
hsa-mir-155	CS2	down
hsa-mir-576	CS2	down
hsa-mir-5699	CS2	down
hsa-mir-4677	CS2	down
hsa-mir-197	CS2	down
hsa-mir-454	CS2	down
hsa-mir-93	CS2	down
hsa-mir-582	CS2	down
hsa-mir-181b-1	CS2	down
hsa-mir-185	CS2	down
hsa-mir-301a	CS2	down
hsa-mir-877	CS2	down
hsa-mir-4786	CS2	down
hsa-mir-522	CS2	down
hsa-mir-519a-1	CS2	down
hsa-mir-573	CS2	down
hsa-mir-766	CS2	down
hsa-mir-516a-2	CS2	down
hsa-mir-3925	CS2	down
hsa-mir-219b	CS2	down
hsa-mir-1909	CS2	down
hsa-mir-577	CS2	down
hsa-mir-519a-2	CS2	down
hsa-mir-504	CS2	down
hsa-mir-549a	CS2	down
hsa-mir-210	CS2	down
hsa-mir-516a-1	CS2	down
hsa-mir-5581	CS2	down
hsa-mir-3677	CS2	down
hsa-mir-19b-1	CS2	down
hsa-mir-4664	CS2	down
hsa-mir-934	CS2	down
hsa-mir-19b-2	CS2	down
hsa-mir-181b-2	CS2	down
hsa-mir-3922	CS2	down
hsa-mir-3136	CS2	down
hsa-mir-503	CS2	down
hsa-mir-3918	CS2	down
hsa-mir-1283-2	CS2	down
hsa-mir-146b	CS2	down
hsa-mir-3618	CS2	down
hsa-mir-3614	CS2	down
hsa-mir-548s	CS2	down
hsa-mir-196a-1	CS2	down
hsa-mir-548au	CS2	down
hsa-mir-24-2	CS2	down
hsa-mir-3198-2	CS2	down
hsa-mir-4661	CS2	down
hsa-mir-616	CS2	down
