probe	class	dirct
hsa-mir-362	CS1	up
hsa-mir-18a	CS1	up
hsa-mir-501	CS1	up
hsa-mir-500a	CS1	up
hsa-mir-421	CS1	up
hsa-mir-3682	CS1	up
hsa-mir-3934	CS1	up
hsa-mir-502	CS1	up
hsa-mir-19a	CS1	up
hsa-mir-942	CS1	up
hsa-mir-767	CS1	up
hsa-mir-105-1	CS1	up
hsa-mir-1301	CS1	up
hsa-mir-4797	CS1	up
hsa-mir-105-2	CS1	up
hsa-mir-135b	CS1	up
hsa-mir-570	CS1	up
hsa-mir-5698	CS1	up
hsa-mir-17	CS1	up
hsa-mir-3150b	CS1	up
hsa-mir-130b	CS1	up
hsa-mir-4746	CS1	up
hsa-mir-9-1	CS1	up
hsa-mir-9-3	CS1	up
hsa-mir-9-2	CS1	up
hsa-mir-301b	CS1	up
hsa-mir-3200	CS1	up
hsa-mir-340	CS1	up
hsa-mir-6783	CS1	up
hsa-mir-532	CS1	up
hsa-mir-106b	CS1	up
hsa-mir-7-3	CS1	up
hsa-mir-4525	CS1	up
hsa-mir-590	CS1	up
hsa-mir-7702	CS1	up
hsa-mir-579	CS1	up
hsa-mir-20a	CS1	up
hsa-mir-4674	CS1	up
hsa-mir-7974	CS1	up
hsa-mir-548j	CS1	up
hsa-mir-505	CS1	up
hsa-mir-1269a	CS1	up
hsa-mir-3662	CS1	up
hsa-mir-378a	CS1	up
hsa-mir-7112	CS1	up
hsa-mir-671	CS1	up
hsa-mir-660	CS1	up
hsa-mir-155	CS1	up
hsa-mir-4652	CS1	up
hsa-mir-5699	CS1	up
hsa-mir-500b	CS1	up
hsa-mir-576	CS1	up
hsa-mir-197	CS1	up
hsa-mir-454	CS1	up
hsa-mir-93	CS1	up
hsa-mir-582	CS1	up
hsa-mir-4677	CS1	up
hsa-mir-548d-2	CS1	up
hsa-mir-877	CS1	up
hsa-mir-573	CS1	up
hsa-mir-4786	CS1	up
hsa-mir-181b-1	CS1	up
hsa-mir-766	CS1	up
hsa-mir-185	CS1	up
hsa-mir-301a	CS1	up
hsa-mir-6795	CS1	up
hsa-mir-219b	CS1	up
hsa-mir-504	CS1	up
hsa-mir-577	CS1	up
hsa-mir-3677	CS1	up
hsa-mir-5581	CS1	up
hsa-mir-210	CS1	up
hsa-mir-519a-1	CS1	up
hsa-mir-549a	CS1	up
hsa-mir-4664	CS1	up
hsa-mir-3922	CS1	up
hsa-mir-3136	CS1	up
hsa-mir-19b-1	CS1	up
hsa-mir-19b-2	CS1	up
hsa-mir-3614	CS1	up
hsa-mir-181b-2	CS1	up
hsa-mir-934	CS1	up
hsa-mir-146b	CS1	up
hsa-mir-516a-2	CS1	up
hsa-mir-503	CS1	up
hsa-mir-196a-1	CS1	up
hsa-mir-522	CS1	up
hsa-mir-4687	CS1	up
hsa-mir-548au	CS1	up
hsa-mir-616	CS1	up
hsa-mir-24-2	CS1	up
hsa-mir-4661	CS1	up
hsa-mir-519a-2	CS1	up
hsa-mir-24-1	CS1	up
hsa-mir-6797	CS1	up
hsa-mir-548s	CS1	up
hsa-mir-196a-2	CS1	up
hsa-mir-1909	CS1	up
hsa-mir-516a-1	CS1	up
hsa-mir-1276	CS1	up
hsa-mir-101-1	CS2	up
hsa-mir-101-2	CS2	up
hsa-let-7b	CS2	up
hsa-mir-30a	CS2	up
hsa-mir-135a-2	CS2	up
hsa-let-7a-3	CS2	up
hsa-let-7a-2	CS2	up
hsa-let-7a-1	CS2	up
hsa-mir-497	CS2	up
hsa-mir-190b	CS2	up
hsa-mir-5691	CS2	up
hsa-mir-29c	CS2	up
hsa-mir-664b	CS2	up
hsa-mir-664a	CS2	up
hsa-mir-135a-1	CS2	up
hsa-mir-6733	CS2	up
hsa-mir-139	CS2	up
hsa-mir-99a	CS2	up
hsa-mir-195	CS2	up
hsa-mir-337	CS2	up
hsa-mir-205	CS2	up
hsa-mir-125a	CS2	up
hsa-mir-342	CS2	up
hsa-mir-125b-1	CS2	up
hsa-mir-1247	CS2	up
hsa-mir-34c	CS2	up
hsa-mir-125b-2	CS2	up
hsa-mir-181c	CS2	up
hsa-let-7c	CS2	up
hsa-mir-1976	CS2	up
hsa-mir-382	CS2	up
hsa-mir-1251	CS2	up
hsa-mir-433	CS2	up
hsa-mir-127	CS2	up
hsa-mir-145	CS2	up
hsa-mir-30d	CS2	up
hsa-mir-3926-1	CS2	up
hsa-mir-132	CS2	up
hsa-mir-100	CS2	up
hsa-mir-379	CS2	up
hsa-mir-30c-2	CS2	up
hsa-mir-26a-1	CS2	up
hsa-mir-654	CS2	up
hsa-mir-370	CS2	up
hsa-mir-410	CS2	up
hsa-mir-34b	CS2	up
hsa-mir-10b	CS2	up
hsa-mir-26a-2	CS2	up
hsa-mir-1185-1	CS2	up
hsa-mir-4790	CS2	up
hsa-mir-377	CS2	up
hsa-mir-202	CS2	up
hsa-mir-548aw	CS2	up
hsa-mir-6788	CS2	up
hsa-mir-154	CS2	up
hsa-mir-5694	CS2	up
hsa-mir-496	CS2	up
hsa-mir-181d	CS2	up
hsa-mir-151b	CS2	up
hsa-mir-218-2	CS2	up
hsa-mir-381	CS2	up
hsa-mir-218-1	CS2	up
hsa-mir-944	CS2	up
hsa-mir-411	CS2	up
hsa-mir-487b	CS2	up
hsa-mir-483	CS2	up
hsa-mir-214	CS2	up
hsa-mir-133a-1	CS2	up
hsa-mir-133b	CS2	up
hsa-mir-4693	CS2	up
hsa-mir-4439	CS2	up
