probe	class	dirct
hsa-mir-4664	CS1	up
hsa-mir-188	CS1	up
hsa-mir-210	CS1	up
hsa-mir-301b	CS1	up
hsa-mir-105-1	CS1	up
hsa-mir-18a	CS1	up
hsa-mir-3200	CS1	up
hsa-mir-324	CS1	up
hsa-mir-590	CS1	up
hsa-mir-505	CS1	up
hsa-mir-877	CS1	up
hsa-mir-301a	CS1	up
hsa-mir-105-2	CS1	up
hsa-mir-1307	CS1	up
hsa-mir-130b	CS1	up
hsa-mir-197	CS1	up
hsa-mir-940	CS1	up
hsa-mir-17	CS1	up
hsa-mir-106b	CS1	up
hsa-mir-532	CS1	up
hsa-mir-33a	CS1	up
hsa-mir-4652	CS1	up
hsa-mir-4661	CS1	up
hsa-mir-767	CS1	up
hsa-mir-6728	CS1	up
hsa-mir-3677	CS1	up
hsa-mir-4766	CS1	up
hsa-mir-7112	CS1	up
hsa-mir-522	CS1	up
hsa-mir-9-3	CS1	up
hsa-mir-9-2	CS1	up
hsa-mir-9-1	CS1	up
hsa-mir-519a-2	CS1	up
hsa-mir-3137	CS1	up
hsa-mir-1276	CS1	up
hsa-mir-1301	CS1	up
hsa-mir-345	CS1	up
hsa-mir-219b	CS1	up
hsa-mir-3680-1	CS1	up
hsa-mir-1306	CS1	up
hsa-mir-362	CS1	up
hsa-mir-7974	CS1	up
hsa-mir-500b	CS1	up
hsa-mir-224	CS1	up
hsa-mir-570	CS1	up
hsa-mir-937	CS1	up
hsa-mir-671	CS1	up
hsa-mir-769	CS1	up
hsa-mir-502	CS1	up
hsa-mir-6783	CS1	up
hsa-mir-579	CS1	up
hsa-mir-3651	CS1	up
hsa-mir-6832	CS1	up
hsa-mir-501	CS1	up
hsa-mir-454	CS1	up
hsa-mir-636	CS1	up
hsa-mir-545	CS1	up
hsa-mir-519a-1	CS1	up
hsa-mir-1283-2	CS1	up
hsa-mir-516a-1	CS1	up
hsa-mir-4435-1	CS1	up
hsa-mir-1283-1	CS1	up
hsa-mir-1909	CS1	up
hsa-mir-766	CS1	up
hsa-mir-1226	CS1	up
hsa-mir-3150b	CS1	up
hsa-mir-516a-2	CS1	up
hsa-mir-93	CS1	up
hsa-mir-5699	CS1	up
hsa-mir-616	CS1	up
hsa-mir-7706	CS1	up
hsa-mir-4707	CS1	up
hsa-mir-573	CS1	up
hsa-mir-4658	CS1	up
hsa-mir-1910	CS1	up
hsa-mir-3662	CS1	up
hsa-mir-4728	CS1	up
hsa-mir-3176	CS1	up
hsa-mir-484	CS1	up
hsa-mir-1915	CS1	up
hsa-mir-6850	CS1	up
hsa-mir-33b	CS1	up
hsa-mir-1229	CS1	up
hsa-mir-527	CS1	up
hsa-mir-942	CS1	up
hsa-mir-1277	CS1	up
hsa-mir-548d-1	CS1	up
hsa-mir-135b	CS1	up
hsa-mir-15b	CS1	up
hsa-mir-20a	CS1	up
hsa-mir-18b	CS1	up
hsa-mir-548f-1	CS1	up
hsa-mir-7705	CS1	up
hsa-mir-4512	CS1	up
hsa-mir-1292	CS1	up
hsa-mir-421	CS1	up
hsa-mir-500a	CS1	up
hsa-mir-580	CS1	up
hsa-mir-92a-1	CS1	up
hsa-mir-5680	CS1	up
hsa-mir-139	CS2	up
hsa-mir-101-2	CS2	up
hsa-mir-101-1	CS2	up
hsa-mir-195	CS2	up
hsa-mir-30a	CS2	up
hsa-let-7b	CS2	up
hsa-let-7a-1	CS2	up
hsa-let-7a-2	CS2	up
hsa-let-7a-3	CS2	up
hsa-mir-29c	CS2	up
hsa-mir-1-1	CS2	up
hsa-mir-218-2	CS2	up
hsa-mir-204	CS2	up
hsa-mir-218-1	CS2	up
hsa-mir-34c	CS2	up
hsa-mir-29a	CS2	up
hsa-mir-26a-1	CS2	up
hsa-mir-26a-2	CS2	up
hsa-mir-190b	CS2	up
hsa-mir-1-2	CS2	up
hsa-mir-10b	CS2	up
hsa-mir-5683	CS2	up
hsa-let-7c	CS2	up
hsa-mir-30c-2	CS2	up
hsa-mir-190a	CS2	up
hsa-mir-944	CS2	up
hsa-mir-5691	CS2	up
hsa-mir-100	CS2	up
hsa-mir-342	CS2	up
hsa-mir-5694	CS2	up
hsa-mir-337	CS2	up
hsa-mir-135a-2	CS2	up
hsa-mir-10a	CS2	up
hsa-mir-26b	CS2	up
hsa-mir-379	CS2	up
hsa-mir-99a	CS2	up
hsa-mir-202	CS2	up
hsa-mir-4790	CS2	up
hsa-mir-625	CS2	up
hsa-mir-184	CS2	up
hsa-mir-381	CS2	up
hsa-mir-497	CS2	up
hsa-mir-182	CS2	up
hsa-mir-205	CS2	up
hsa-mir-135a-1	CS2	up
hsa-mir-34b	CS2	up
hsa-mir-410	CS2	up
hsa-mir-143	CS2	up
hsa-mir-30c-1	CS2	up
hsa-mir-5586	CS2	up
hsa-mir-664a	CS2	up
hsa-mir-758	CS2	up
hsa-mir-377	CS2	up
hsa-mir-144	CS2	up
hsa-mir-145	CS2	up
hsa-mir-542	CS2	up
hsa-mir-127	CS2	up
hsa-mir-496	CS2	up
hsa-mir-409	CS2	up
hsa-mir-6733	CS2	up
hsa-mir-483	CS2	up
hsa-mir-382	CS2	up
hsa-mir-1262	CS2	up
hsa-mir-1245a	CS2	up
hsa-mir-30e	CS2	up
hsa-mir-194-1	CS2	up
hsa-mir-3130-2	CS2	up
hsa-mir-450b	CS2	up
hsa-mir-1247	CS2	up
