probe	class	dirct
hsa-mir-18a	CS1	down
hsa-mir-934	CS1	down
hsa-mir-505	CS1	down
hsa-mir-224	CS1	down
hsa-mir-188	CS1	down
hsa-mir-301b	CS1	down
hsa-mir-197	CS1	down
hsa-mir-19a	CS1	down
hsa-mir-942	CS1	down
hsa-mir-590	CS1	down
hsa-mir-186	CS1	down
hsa-mir-130b	CS1	down
hsa-mir-17	CS1	down
hsa-mir-452	CS1	down
hsa-mir-502	CS1	down
hsa-mir-877	CS1	down
hsa-mir-501	CS1	down
hsa-mir-135b	CS1	down
hsa-mir-421	CS1	down
hsa-mir-7112	CS1	down
hsa-mir-522	CS1	down
hsa-mir-33a	CS1	down
hsa-mir-210	CS1	down
hsa-mir-500b	CS1	down
hsa-mir-155	CS1	down
hsa-mir-9-3	CS1	down
hsa-mir-105-1	CS1	down
hsa-mir-500a	CS1	down
hsa-mir-106b	CS1	down
hsa-mir-519a-2	CS1	down
hsa-mir-9-1	CS1	down
hsa-mir-9-2	CS1	down
hsa-mir-577	CS1	down
hsa-mir-1301	CS1	down
hsa-mir-519a-1	CS1	down
hsa-mir-579	CS1	down
hsa-mir-6728	CS1	down
hsa-mir-146b	CS1	down
hsa-mir-516a-1	CS1	down
hsa-mir-4766	CS1	down
hsa-mir-532	CS1	down
hsa-mir-4797	CS1	down
hsa-mir-105-2	CS1	down
hsa-mir-24-2	CS1	down
hsa-mir-24-1	CS1	down
hsa-mir-378a	CS1	down
hsa-mir-516a-2	CS1	down
hsa-mir-3682	CS1	down
hsa-mir-548s	CS1	down
hsa-mir-766	CS1	down
hsa-mir-19b-1	CS1	down
hsa-mir-767	CS1	down
hsa-mir-3662	CS1	down
hsa-mir-4661	CS1	down
hsa-mir-576	CS1	down
hsa-mir-19b-2	CS1	down
hsa-mir-1307	CS1	down
hsa-mir-588	CS1	down
hsa-mir-545	CS1	down
hsa-mir-551a	CS1	down
hsa-mir-5092	CS1	down
hsa-mir-4677	CS1	down
hsa-mir-570	CS1	down
hsa-mir-20a	CS1	down
hsa-mir-503	CS1	down
hsa-mir-362	CS1	down
hsa-mir-1306	CS1	down
hsa-mir-3200	CS1	down
hsa-mir-548f-1	CS1	down
hsa-mir-142	CS1	down
hsa-mir-3136	CS1	down
hsa-mir-1304	CS1	down
hsa-mir-940	CS1	down
hsa-mir-3944	CS1	down
hsa-mir-4787	CS1	down
hsa-mir-18b	CS1	down
hsa-mir-548d-2	CS1	down
hsa-mir-92a-2	CS1	down
hsa-mir-92a-1	CS1	down
hsa-mir-7702	CS1	down
hsa-mir-548ao	CS1	down
hsa-mir-3137	CS1	down
hsa-mir-3691	CS1	down
hsa-mir-5571	CS1	down
hsa-mir-2355	CS1	down
hsa-mir-3677	CS1	down
hsa-mir-548b	CS1	down
hsa-mir-455	CS1	down
hsa-mir-548d-1	CS1	down
hsa-mir-3161	CS1	down
hsa-mir-4658	CS1	down
hsa-mir-345	CS1	down
hsa-mir-559	CS1	down
hsa-mir-1269a	CS1	down
hsa-mir-7158	CS1	down
hsa-mir-5002	CS1	down
hsa-mir-520e	CS1	down
hsa-mir-3150b	CS1	down
hsa-mir-518a-1	CS1	down
hsa-mir-4782	CS1	down
hsa-mir-190b	CS2	down
hsa-let-7a-3	CS2	down
hsa-let-7a-1	CS2	down
hsa-let-7a-2	CS2	down
hsa-mir-29c	CS2	down
hsa-mir-5691	CS2	down
hsa-mir-5694	CS2	down
hsa-mir-101-2	CS2	down
hsa-mir-101-1	CS2	down
hsa-mir-125a	CS2	down
hsa-let-7b	CS2	down
hsa-mir-30a	CS2	down
hsa-mir-34c	CS2	down
hsa-mir-342	CS2	down
hsa-mir-664a	CS2	down
hsa-mir-139	CS2	down
hsa-mir-10b	CS2	down
hsa-mir-10a	CS2	down
hsa-mir-195	CS2	down
hsa-mir-375	CS2	down
hsa-let-7e	CS2	down
hsa-mir-135a-2	CS2	down
hsa-mir-26a-1	CS2	down
hsa-mir-26a-2	CS2	down
hsa-mir-497	CS2	down
hsa-mir-30c-2	CS2	down
hsa-mir-135a-1	CS2	down
hsa-mir-149	CS2	down
hsa-mir-26b	CS2	down
hsa-mir-182	CS2	down
hsa-mir-337	CS2	down
hsa-mir-34b	CS2	down
hsa-mir-153-1	CS2	down
hsa-mir-664b	CS2	down
hsa-mir-202	CS2	down
hsa-mir-1-1	CS2	down
hsa-mir-29b-2	CS2	down
hsa-mir-1-2	CS2	down
hsa-let-7f-1	CS2	down
hsa-mir-100	CS2	down
hsa-let-7f-2	CS2	down
