probe	class	dirct
hsa-mir-190b	CS1	up
hsa-mir-375	CS1	up
hsa-mir-29c	CS1	up
hsa-mir-10b	CS1	up
hsa-mir-5694	CS1	up
hsa-mir-342	CS1	up
hsa-mir-10a	CS1	up
hsa-let-7a-3	CS1	up
hsa-let-7a-1	CS1	up
hsa-let-7a-2	CS1	up
hsa-mir-664a	CS1	up
hsa-mir-125a	CS1	up
hsa-let-7b	CS1	up
hsa-mir-5691	CS1	up
hsa-mir-149	CS1	up
hsa-mir-101-2	CS1	up
hsa-mir-101-1	CS1	up
hsa-mir-337	CS1	up
hsa-mir-625	CS1	up
hsa-mir-30a	CS1	up
hsa-mir-139	CS1	up
hsa-mir-184	CS1	up
hsa-mir-195	CS1	up
hsa-mir-34c	CS1	up
hsa-mir-365a	CS1	up
hsa-mir-365b	CS1	up
hsa-mir-758	CS1	up
hsa-mir-487b	CS1	up
hsa-mir-409	CS1	up
hsa-let-7e	CS1	up
hsa-mir-653	CS1	up
hsa-mir-3678	CS1	up
hsa-mir-127	CS1	up
hsa-mir-382	CS1	up
hsa-mir-26a-2	CS1	up
hsa-mir-26a-1	CS1	up
hsa-mir-431	CS1	up
hsa-mir-26b	CS1	up
hsa-mir-182	CS1	up
hsa-mir-449a	CS1	up
hsa-mir-887	CS1	up
hsa-mir-493	CS1	up
hsa-mir-199a-1	CS1	up
hsa-mir-379	CS1	up
hsa-mir-432	CS1	up
hsa-mir-370	CS1	up
hsa-mir-654	CS1	up
hsa-mir-135a-2	CS1	up
hsa-mir-664b	CS1	up
hsa-mir-3926-2	CS1	up
hsa-mir-134	CS1	up
hsa-mir-218-2	CS1	up
hsa-mir-193a	CS1	up
hsa-mir-410	CS1	up
hsa-mir-199a-2	CS1	up
hsa-mir-202	CS1	up
hsa-mir-145	CS1	up
hsa-mir-191	CS1	up
hsa-mir-3913-1	CS1	up
hsa-mir-433	CS1	up
hsa-mir-618	CS1	up
hsa-mir-218-1	CS1	up
hsa-mir-135a-1	CS1	up
hsa-mir-2114	CS1	up
hsa-mir-193b	CS1	up
hsa-mir-499a	CS1	up
hsa-mir-449b	CS1	up
hsa-mir-411	CS1	up
hsa-mir-153-1	CS1	up
hsa-mir-3190	CS1	up
hsa-mir-4790	CS1	up
hsa-mir-34b	CS1	up
hsa-mir-539	CS1	up
hsa-mir-153-2	CS1	up
hsa-mir-497	CS1	up
hsa-mir-4756	CS1	up
hsa-mir-1-1	CS1	up
hsa-mir-3926-1	CS1	up
hsa-mir-655	CS1	up
hsa-mir-30c-2	CS1	up
hsa-mir-199b	CS1	up
hsa-mir-1266	CS1	up
hsa-mir-5684	CS1	up
hsa-mir-214	CS1	up
hsa-mir-369	CS1	up
hsa-mir-1251	CS1	up
hsa-mir-3156-2	CS1	up
hsa-mir-100	CS1	up
hsa-mir-3156-1	CS1	up
hsa-mir-483	CS1	up
hsa-mir-29b-2	CS1	up
hsa-mir-154	CS1	up
hsa-mir-1-2	CS1	up
hsa-mir-103a-1	CS1	up
hsa-mir-642a	CS1	up
hsa-mir-103a-2	CS1	up
hsa-mir-935	CS1	up
hsa-mir-152	CS1	up
hsa-mir-496	CS1	up
hsa-mir-4675	CS1	up
hsa-mir-934	CS2	up
hsa-mir-18a	CS2	up
hsa-mir-577	CS2	up
hsa-mir-505	CS2	up
hsa-mir-135b	CS2	up
hsa-mir-17	CS2	up
hsa-mir-224	CS2	up
hsa-mir-452	CS2	up
hsa-mir-519a-1	CS2	up
hsa-mir-19a	CS2	up
hsa-mir-516a-1	CS2	up
hsa-mir-6728	CS2	up
hsa-mir-188	CS2	up
hsa-mir-301b	CS2	up
hsa-mir-942	CS2	up
hsa-mir-9-1	CS2	up
hsa-mir-522	CS2	up
hsa-mir-9-3	CS2	up
hsa-mir-130b	CS2	up
hsa-mir-9-2	CS2	up
hsa-mir-519a-2	CS2	up
hsa-mir-106b	CS2	up
hsa-mir-455	CS2	up
hsa-mir-877	CS2	up
hsa-mir-197	CS2	up
hsa-mir-516a-2	CS2	up
hsa-mir-20a	CS2	up
hsa-mir-138-2	CS2	up
hsa-mir-378a	CS2	up
hsa-mir-105-1	CS2	up
hsa-mir-584	CS2	up
hsa-mir-502	CS2	up
hsa-mir-7112	CS2	up
hsa-mir-105-2	CS2	up
hsa-mir-590	CS2	up
hsa-mir-500b	CS2	up
hsa-mir-767	CS2	up
hsa-mir-19b-1	CS2	up
hsa-mir-92a-1	CS2	up
hsa-mir-548s	CS2	up
hsa-mir-92a-2	CS2	up
hsa-mir-186	CS2	up
hsa-mir-532	CS2	up
hsa-mir-500a	CS2	up
hsa-mir-24-2	CS2	up
hsa-mir-6499	CS2	up
hsa-mir-24-1	CS2	up
hsa-mir-501	CS2	up
hsa-mir-19b-2	CS2	up
hsa-mir-5002	CS2	up
hsa-mir-548ao	CS2	up
hsa-mir-138-1	CS2	up
hsa-mir-576	CS2	up
hsa-mir-155	CS2	up
hsa-mir-3682	CS2	up
hsa-mir-222	CS2	up
hsa-mir-4766	CS2	up
hsa-mir-579	CS2	up
hsa-mir-1304	CS2	up
hsa-mir-4780	CS2	up
hsa-mir-4665	CS2	up
hsa-mir-93	CS2	up
hsa-mir-548f-1	CS2	up
hsa-mir-548b	CS2	up
hsa-mir-362	CS2	up
hsa-mir-518e	CS2	up
hsa-mir-3680-1	CS2	up
hsa-mir-1301	CS2	up
hsa-mir-1307	CS2	up
hsa-mir-6783	CS2	up
hsa-mir-3200	CS2	up
hsa-mir-210	CS2	up
hsa-mir-551a	CS2	up
hsa-mir-766	CS2	up
hsa-mir-6720	CS2	up
hsa-mir-4677	CS2	up
hsa-mir-520b	CS2	up
hsa-mir-4787	CS2	up
hsa-mir-146b	CS2	up
hsa-mir-548d-1	CS2	up
hsa-mir-378c	CS2	up
hsa-mir-937	CS2	up
hsa-mir-421	CS2	up
hsa-mir-324	CS2	up
hsa-mir-660	CS2	up
hsa-mir-221	CS2	up
hsa-mir-5699	CS2	up
hsa-mir-146a	CS2	up
hsa-mir-1306	CS2	up
hsa-mir-1276	CS2	up
hsa-mir-5092	CS2	up
hsa-mir-7702	CS2	up
hsa-mir-3934	CS2	up
hsa-mir-3145	CS2	up
hsa-mir-1283-1	CS2	up
hsa-mir-5571	CS2	up
hsa-mir-570	CS2	up
hsa-mir-4658	CS2	up
hsa-mir-33a	CS2	up
hsa-mir-7854	CS2	up
