probe	class	dirct
hsa-mir-139	CS1	down
hsa-mir-101-2	CS1	down
hsa-mir-195	CS1	down
hsa-mir-101-1	CS1	down
hsa-mir-30a	CS1	down
hsa-let-7a-1	CS1	down
hsa-let-7a-2	CS1	down
hsa-let-7a-3	CS1	down
hsa-mir-204	CS1	down
hsa-let-7b	CS1	down
hsa-mir-218-2	CS1	down
hsa-mir-1-1	CS1	down
hsa-let-7c	CS1	down
hsa-mir-29c	CS1	down
hsa-mir-218-1	CS1	down
hsa-mir-29a	CS1	down
hsa-mir-26a-1	CS1	down
hsa-mir-5683	CS1	down
hsa-mir-99a	CS1	down
hsa-mir-190a	CS1	down
hsa-mir-26a-2	CS1	down
hsa-mir-1-2	CS1	down
hsa-mir-944	CS1	down
hsa-mir-34c	CS1	down
hsa-mir-30c-2	CS1	down
hsa-mir-497	CS1	down
hsa-mir-100	CS1	down
hsa-mir-190b	CS1	down
hsa-mir-5691	CS1	down
hsa-mir-10b	CS1	down
hsa-mir-4790	CS1	down
hsa-mir-202	CS1	down
hsa-mir-135a-2	CS1	down
hsa-mir-144	CS1	down
hsa-mir-342	CS1	down
hsa-mir-381	CS1	down
hsa-mir-379	CS1	down
hsa-mir-5586	CS1	down
hsa-mir-205	CS1	down
hsa-mir-6733	CS1	down
hsa-mir-337	CS1	down
hsa-mir-410	CS1	down
hsa-mir-5694	CS1	down
hsa-mir-26b	CS1	down
hsa-mir-184	CS1	down
hsa-mir-125b-2	CS1	down
hsa-mir-5089	CS1	down
hsa-mir-125b-1	CS1	down
hsa-mir-30c-1	CS1	down
hsa-mir-194-1	CS1	down
hsa-mir-10a	CS1	down
hsa-mir-143	CS1	down
hsa-mir-4491	CS1	down
hsa-mir-625	CS1	down
hsa-mir-30e	CS1	down
hsa-mir-135a-1	CS1	down
hsa-mir-542	CS1	down
hsa-mir-6510	CS1	down
hsa-mir-496	CS1	down
hsa-mir-145	CS1	down
hsa-mir-1247	CS1	down
hsa-let-7f-1	CS1	down
hsa-mir-377	CS1	down
hsa-mir-3912	CS1	down
hsa-mir-1262	CS1	down
hsa-mir-210	CS2	down
hsa-mir-4664	CS2	down
hsa-mir-188	CS2	down
hsa-mir-105-1	CS2	down
hsa-mir-3200	CS2	down
hsa-mir-301b	CS2	down
hsa-mir-940	CS2	down
hsa-mir-590	CS2	down
hsa-mir-324	CS2	down
hsa-mir-105-2	CS2	down
hsa-mir-301a	CS2	down
hsa-mir-3677	CS2	down
hsa-mir-18a	CS2	down
hsa-mir-505	CS2	down
hsa-mir-877	CS2	down
hsa-mir-33a	CS2	down
hsa-mir-106b	CS2	down
hsa-mir-1307	CS2	down
hsa-mir-767	CS2	down
hsa-mir-130b	CS2	down
hsa-mir-3137	CS2	down
hsa-mir-197	CS2	down
hsa-mir-4661	CS2	down
hsa-mir-4652	CS2	down
hsa-mir-1301	CS2	down
hsa-mir-7974	CS2	down
hsa-mir-769	CS2	down
hsa-mir-345	CS2	down
hsa-mir-532	CS2	down
hsa-mir-7112	CS2	down
hsa-mir-1306	CS2	down
hsa-mir-3651	CS2	down
hsa-mir-4766	CS2	down
hsa-mir-17	CS2	down
hsa-mir-1276	CS2	down
hsa-mir-6728	CS2	down
hsa-mir-522	CS2	down
hsa-mir-454	CS2	down
hsa-mir-519a-2	CS2	down
hsa-mir-545	CS2	down
hsa-mir-3680-1	CS2	down
hsa-mir-4728	CS2	down
hsa-mir-671	CS2	down
hsa-mir-573	CS2	down
hsa-mir-3150b	CS2	down
hsa-mir-570	CS2	down
hsa-mir-4707	CS2	down
hsa-mir-3662	CS2	down
hsa-mir-937	CS2	down
hsa-mir-9-3	CS2	down
hsa-mir-9-2	CS2	down
hsa-mir-766	CS2	down
hsa-mir-9-1	CS2	down
hsa-mir-362	CS2	down
hsa-mir-1909	CS2	down
hsa-mir-6832	CS2	down
hsa-mir-1283-2	CS2	down
hsa-mir-33b	CS2	down
hsa-mir-579	CS2	down
hsa-mir-501	CS2	down
hsa-mir-616	CS2	down
hsa-mir-219b	CS2	down
hsa-mir-1908	CS2	down
hsa-mir-224	CS2	down
hsa-mir-3176	CS2	down
hsa-mir-1229	CS2	down
hsa-mir-615	CS2	down
hsa-mir-2355	CS2	down
hsa-mir-502	CS2	down
hsa-mir-636	CS2	down
hsa-mir-500b	CS2	down
hsa-mir-1283-1	CS2	down
hsa-mir-6783	CS2	down
hsa-mir-1227	CS2	down
hsa-mir-484	CS2	down
hsa-mir-15b	CS2	down
hsa-mir-1910	CS2	down
hsa-mir-516a-1	CS2	down
hsa-mir-193b	CS2	down
hsa-mir-527	CS2	down
hsa-mir-509-2	CS2	down
hsa-mir-6773	CS2	down
hsa-mir-5680	CS2	down
hsa-mir-4793	CS2	down
hsa-mir-519a-1	CS2	down
hsa-mir-7706	CS2	down
hsa-mir-93	CS2	down
hsa-mir-7705	CS2	down
hsa-mir-1277	CS2	down
hsa-mir-516a-2	CS2	down
hsa-mir-2277	CS2	down
hsa-mir-1226	CS2	down
hsa-mir-4512	CS2	down
hsa-mir-3610	CS2	down
hsa-mir-3619	CS2	down
hsa-mir-1292	CS2	down
hsa-mir-18b	CS2	down
hsa-mir-4435-1	CS2	down
hsa-mir-939	CS2	down
hsa-mir-1236	CS2	down
