probe	class	dirct
hsa-mir-577	CS1	down
hsa-mir-934	CS1	down
hsa-mir-18a	CS1	down
hsa-mir-135b	CS1	down
hsa-mir-17	CS1	down
hsa-mir-505	CS1	down
hsa-mir-519a-1	CS1	down
hsa-mir-516a-1	CS1	down
hsa-mir-224	CS1	down
hsa-mir-522	CS1	down
hsa-mir-19a	CS1	down
hsa-mir-452	CS1	down
hsa-mir-516a-2	CS1	down
hsa-mir-584	CS1	down
hsa-mir-6499	CS1	down
hsa-mir-20a	CS1	down
hsa-mir-519a-2	CS1	down
hsa-mir-455	CS1	down
hsa-mir-19b-1	CS1	down
hsa-mir-6728	CS1	down
hsa-mir-9-1	CS1	down
hsa-mir-138-2	CS1	down
hsa-mir-9-3	CS1	down
hsa-mir-9-2	CS1	down
hsa-mir-548ao	CS1	down
hsa-mir-106b	CS1	down
hsa-mir-92a-1	CS1	down
hsa-mir-130b	CS1	down
hsa-mir-92a-2	CS1	down
hsa-mir-4780	CS1	down
hsa-mir-188	CS1	down
hsa-mir-19b-2	CS1	down
hsa-mir-7112	CS1	down
hsa-mir-590	CS1	down
hsa-mir-877	CS1	down
hsa-mir-500b	CS1	down
hsa-mir-138-1	CS1	down
hsa-mir-197	CS1	down
hsa-mir-502	CS1	down
hsa-mir-942	CS1	down
hsa-mir-301b	CS1	down
hsa-mir-105-1	CS1	down
hsa-mir-548f-1	CS1	down
hsa-mir-24-2	CS1	down
hsa-mir-105-2	CS1	down
hsa-mir-186	CS1	down
hsa-mir-24-1	CS1	down
hsa-mir-548s	CS1	down
hsa-mir-767	CS1	down
hsa-mir-5002	CS1	down
hsa-mir-532	CS1	down
hsa-mir-500a	CS1	down
hsa-mir-1283-1	CS1	down
hsa-mir-551a	CS1	down
hsa-mir-1915	CS1	down
hsa-mir-378a	CS1	down
hsa-mir-588	CS1	down
hsa-mir-222	CS1	down
hsa-mir-1304	CS1	down
hsa-mir-501	CS1	down
hsa-mir-1283-2	CS1	down
hsa-mir-518e	CS1	down
hsa-mir-548d-1	CS1	down
hsa-mir-576	CS1	down
hsa-mir-4665	CS1	down
hsa-mir-3186	CS1	down
hsa-mir-93	CS1	down
hsa-mir-6720	CS1	down
hsa-mir-4431	CS1	down
hsa-mir-6832	CS1	down
hsa-mir-4766	CS1	down
hsa-mir-579	CS1	down
hsa-mir-3682	CS1	down
hsa-mir-548b	CS1	down
hsa-mir-362	CS1	down
hsa-mir-4787	CS1	down
