probe	class	dirct
PELI1	CS1	down
PUS10	CS1	down
TMEM17	CS1	down
VPS54	CS1	down
REL	CS1	down
PEX13	CS1	down
EHBP1	CS1	down
BCL11A	CS1	down
PAPOLG	CS1	down
OTX1	CS1	down
COMMD1	CS1	down
LGALSL	CS1	down
KIAA1841	CS1	down
CCT4	CS1	down
MDH1	CS1	down
C2orf74	CS1	down
SLC1A4	CS1	down
B3GNT2	CS1	down
UGP2	CS1	down
FAM161A	CS1	down
XPO1	CS1	down
TIPARP	CS1	down
VEPH1	CS1	down
AFTPH	CS1	down
SHOX2	CS1	down
CCNL1	CS1	down
USP34	CS1	down
MLF1	CS1	down
SERTAD2	CS1	down
CEP68	CS1	down
RAB1A	CS1	down
LEKR1	CS1	down
PTX3	CS1	down
AHSA2	CS1	down
P2RY1	CS1	down
ACTR2	CS1	down
DHX36	CS1	down
KCNAB1	CS1	down
GMPS	CS1	down
SLC33A1	CS1	down
LXN	CS1	down
RSRC1	CS1	down
RAP2B	CS1	down
MBNL1	CS1	down
TM4SF1	CS1	down
GFM1	CS1	down
AADACL2	CS1	down
SSR3	CS1	down
MME	CS1	down
IFT80	CS1	down
IGSF10	CS1	down
MED12L	CS1	down
TEX38	CS1	down
GPR149	CS1	down
ARHGEF26	CS1	down
LURAP1	CS1	down
PLCH1	CS1	down
PQLC2L	CS1	down
EFCAB14	CS1	down
COMMD2	CS1	down
SMC4	CS1	down
WWTR1	CS1	down
TM4SF4	CS1	down
C3orf33	CS1	down
CYP4B1	CS1	down
FAAH	CS1	down
ATPAF1	CS1	down
SUCNR1	CS1	down
ENSG00000240045	CS1	down
ENSG00000248710	CS1	down
RNF13	CS1	down
ENSG00000250719	CS1	down
DMBX1	CS1	down
ANKUB1	CS1	down
RP11-166N6.1	CS1	down
TNFSF10	CS1	down
P2RY12	CS1	down
MOB3C	CS1	down
SPRED2	CS1	down
RAD54L	CS1	down
FANCL	CS1	down
P2RY14	CS1	down
SCHIP1	CS1	down
ENSG00000180044	CS1	down
PFN2	CS1	down
RARRES1	CS1	down
TM4SF18	CS1	down
GPR87	CS1	down
UQCRH	CS1	down
MFSD1	CS1	down
ECT2	CS1	down
NCEH1	CS1	down
LRRC41	CS1	down
GHSR	CS1	down
KIF2C	CS1	down
IL12A	CS1	down
TRIM59	CS1	down
GPR171	CS1	down
PLSCR5	CS1	down
TSC22D2	CS1	down
TMEM161B	CS2	down
LYSMD3	CS2	down
COX7C	CS2	down
POLR3G	CS2	down
MBLAC2	CS2	down
CCNH	CS2	down
FAM172A	CS2	down
CETN3	CS2	down
SLC30A5	CS2	down
RASA1	CS2	down
NR2F1	CS2	down
KIAA0825	CS2	down
CCNB1	CS2	down
CENPH	CS2	down
MRPS36	CS2	down
POU5F2	CS2	down
SSBP2	CS2	down
MEF2C	CS2	down
CCDC125	CS2	down
TAF9	CS2	down
CDK7	CS2	down
EDIL3	CS2	down
TMEM167A	CS2	down
ARRDC3	CS2	down
ANKRD32	CS2	down
HAPLN1	CS2	down
GPR98	CS2	down
RAD17	CS2	down
RPS23	CS2	down
ATP6AP1L	CS2	down
CKMT2	CS2	down
VCAN	CS2	down
ZCCHC9	CS2	down
S100Z	CS2	down
MARVELD2	CS2	down
SPZ1	CS2	down
TMEM174	CS2	down
OTP	CS2	down
CRHBP	CS2	down
MTX3	CS2	down
HOMER1	CS2	down
PCSK1	CS2	down
BDP1	CS2	down
THBS4	CS2	down
MSH3	CS2	down
ZFYVE16	CS2	down
JMY	CS2	down
XRCC4	CS2	down
SCAMP1	CS2	down
ELL2	CS2	down
AGGF1	CS2	down
GCNT4	CS2	down
FAM169A	CS2	down
FAM81B	CS2	down
CD180	CS2	down
CHD1	CS2	down
SLC25A46	CS2	down
RIOK2	CS2	down
PDE8B	CS2	down
MCCC2	CS2	down
RASGRF2	CS2	down
UTP15	CS2	down
BTF3	CS2	down
ANKRA2	CS2	down
FOXD1	CS2	down
PTCD2	CS2	down
NSA2	CS2	down
HMGCR	CS2	down
DMGDH	CS2	down
DHFR	CS2	down
MAP1B	CS2	down
CARTPT	CS2	down
MRPS27	CS2	down
ZBED3	CS2	down
TTC37	CS2	down
CMYA5	CS2	down
AP3B1	CS2	down
GFM2	CS2	down
RGMB	CS2	down
ZNF366	CS2	down
SREK1IP1	CS2	down
MCTP1	CS2	down
NREP	CS2	down
LIX1	CS2	down
LNPEP	CS2	down
TMEM171	CS2	down
TSLP	CS2	down
F2R	CS2	down
GLRX	CS2	down
SREK1	CS2	down
FCHO2	CS2	down
ERBB2IP	CS2	down
BHMT	CS2	down
ANKRD31	CS2	down
MAST4	CS2	down
FAM159B	CS2	down
F2RL1	CS2	down
BHMT2	CS2	down
FAM151B	CS2	down
SERINC5	CS2	down
