probe	class	dirct
TMEM161B	CS1	up
CCNH	CS1	up
RASA1	CS1	up
SLC30A5	CS1	up
LYSMD3	CS1	up
POLR3G	CS1	up
FAM172A	CS1	up
MBLAC2	CS1	up
CCNB1	CS1	up
CENPH	CS1	up
MRPS36	CS1	up
CETN3	CS1	up
CCDC125	CS1	up
TAF9	CS1	up
CDK7	CS1	up
NR2F1	CS1	up
KIAA0825	CS1	up
POU5F2	CS1	up
RAD17	CS1	up
MEF2C	CS1	up
COX7C	CS1	up
MARVELD2	CS1	up
ANKRD32	CS1	up
ARRDC3	CS1	up
GPR98	CS1	up
EDIL3	CS1	up
TMEM167A	CS1	up
BDP1	CS1	up
SSBP2	CS1	up
HAPLN1	CS1	up
SRP19	CS1	up
TMEM174	CS1	up
ATP6AP1L	CS1	up
RPS23	CS1	up
MCCC2	CS1	up
VCAN	CS1	up
CKMT2	CS1	up
CARTPT	CS1	up
SLC25A46	CS1	up
CD180	CS1	up
SPZ1	CS1	up
ZCCHC9	CS1	up
KCNN2	CS1	up
FAM81B	CS1	up
S100Z	CS1	up
ENSG00000272869	CS1	up
UTP15	CS1	up
BTF3	CS1	up
ANKRA2	CS1	up
FOXD1	CS1	up
NSA2	CS1	up
MTX3	CS1	up
PTCD2	CS1	up
TTC37	CS1	up
CRHBP	CS1	up
HOMER1	CS1	up
ENSG00000258864	CS1	up
XRCC4	CS1	up
NREP	CS1	up
ZFYVE16	CS1	up
TSLP	CS1	up
MSH3	CS1	up
FAM169A	CS1	up
THBS4	CS1	up
MAP1B	CS1	up
MRPS27	CS1	up
SREK1IP1	CS1	up
GFM2	CS1	up
JMY	CS1	up
GLRX	CS1	up
ZNF366	CS1	up
MCTP1	CS1	up
TMEM171	CS1	up
AGGF1	CS1	up
EFNA5	CS1	up
GCNT4	CS1	up
FCHO2	CS1	up
FAM159B	CS1	up
OTP	CS1	up
RASGRF2	CS1	up
DHFR	CS1	up
RHOBTB3	CS1	up
ARSK	CS1	up
STARD4	CS1	up
HMGCR	CS1	up
ZBED3	CS1	up
PCSK1	CS1	up
CMYA5	CS1	up
APC	CS1	up
PDE8B	CS1	up
SCAMP1	CS1	up
LRRC70	CS1	up
DCP2	CS1	up
ENC1	CS1	up
F2R	CS1	up
ZRSR1	CS1	up
CCDC112	CS1	up
DMGDH	CS1	up
ERBB2IP	CS1	up
REEP5	CS1	up
PELI1	CS2	up
TMEM17	CS2	up
PUS10	CS2	up
EHBP1	CS2	up
PEX13	CS2	up
REL	CS2	up
VPS54	CS2	up
BCL11A	CS2	up
PAPOLG	CS2	up
OTX1	CS2	up
LGALSL	CS2	up
MDH1	CS2	up
KIAA1841	CS2	up
COMMD1	CS2	up
C2orf74	CS2	up
SLC1A4	CS2	up
XPO1	CS2	up
UGP2	CS2	up
CCT4	CS2	up
AFTPH	CS2	up
USP34	CS2	up
B3GNT2	CS2	up
FAM161A	CS2	up
CEP68	CS2	up
SERTAD2	CS2	up
AHSA2	CS2	up
RAB1A	CS2	up
LURAP1	CS2	up
TIPARP	CS2	up
ACTR2	CS2	up
TEX38	CS2	up
SHOX2	CS2	up
EFCAB14	CS2	up
MLF1	CS2	up
ENSG00000250719	CS2	up
FAAH	CS2	up
CYP4B1	CS2	up
ATPAF1	CS2	up
VEPH1	CS2	up
DMRTA2	CS2	up
DMBX1	CS2	up
RAD54L	CS2	up
MOB3C	CS2	up
UQCRH	CS2	up
CCNL1	CS2	up
P2RY1	CS2	up
LRRC41	CS2	up
RP4-533D7.6	CS2	up
CALML3	CS2	up
ELAVL4	CS2	up
PTX3	CS2	up
CDKN2C	CS2	up
GDI2	CS2	up
FBXO18	CS2	up
LEKR1	CS2	up
PDZK1IP1	CS2	up
GATA3	CS2	up
TUBAL3	CS2	up
DHX36	CS2	up
LXN	CS2	up
FAF1	CS2	up
C1orf185	CS2	up
CALML5	CS2	up
IL15RA	CS2	up
RSRC1	CS2	up
KIF2C	CS2	up
KCNAB1	CS2	up
RAP2B	CS2	up
FAM208B	CS2	up
UCN3	CS2	up
CYP4A22	CS2	up
RPS8	CS2	up
CYP4X1	CS2	up
CYP4A11	CS2	up
NET1	CS2	up
AKR1C4	CS2	up
MAST2	CS2	up
RNF11	CS2	up
FANCL	CS2	up
MBNL1	CS2	up
TAF3	CS2	up
GFM1	CS2	up
SPRED2	CS2	up
RBM17	CS2	up
SLC5A9	CS2	up
MKNK1	CS2	up
ASB13	CS2	up
WDR92	CS2	up
ANTXR1	CS2	up
PIK3R3	CS2	up
MEIS1	CS2	up
SSR3	CS2	up
ECHDC3	CS2	up
ZSWIM5	CS2	up
ETAA1	CS2	up
AADACL2	CS2	up
MME	CS2	up
IL2RA	CS2	up
HECTD3	CS2	up
UROD	CS2	up
