level	1	2	p	test	sig
n		   79	   74			NA
Subtype (%)	CS1	   79 (100.0) 	    0 (  0.0) 	<0.001		**
	CS2	    0 (  0.0) 	   74 (100.0) 			NA
LN.status.at.diagnosis (%)	Negative	   46 ( 58.2) 	   28 ( 37.8) 	 0.018		**
	Positive	   33 ( 41.8) 	   46 ( 62.2) 			NA
ER.status (%)	Negative	   37 ( 46.8) 	   14 ( 18.9) 	<0.001		**
	Positive	   42 ( 53.2) 	   60 ( 81.1) 			NA
HER2.status (%)	Negative	   46 ( 58.2) 	   48 ( 64.9) 	 0.499		
	Positive	   33 ( 41.8) 	   26 ( 35.1) 			NA
Grade.pre.NAT (%)	Grade 2	   12 ( 15.2) 	   47 ( 63.5) 	<0.001	exact	**
	Grade 3	   67 ( 84.8) 	   27 ( 36.5) 			NA
pCR.RD (%)	pCR	   31 ( 39.2) 	   10 ( 13.5) 	 0.001		**
	Residual Disease	   48 ( 60.8) 	   64 ( 86.5) 			NA
Age 		49.68 ± 11.69	50.73 ± 9.89	 0.550		
T.stage (%)	T1	    4 (  5.1) 	    8 ( 10.8) 	 0.272	exact	
	T2	   52 ( 65.8) 	   40 ( 54.1) 			NA
	T3	   18 ( 22.8) 	   23 ( 31.1) 			NA
	T4	    5 (  6.3) 	    3 (  4.1) 			NA
PAM50 (%)	Basal-like	   34 ( 43.0) 	    4 (  5.4) 	<0.001	exact	**
	HER2+	   24 ( 30.4) 	   11 ( 14.9) 			NA
	Luminal B	   20 ( 25.3) 	   28 ( 37.8) 			NA
	Luminal A	    0 (  0.0) 	   22 ( 29.7) 			NA
	Normal-like	    0 (  0.0) 	    9 ( 12.2) 			NA
	Unknown	    1 (  1.3) 	    0 (  0.0) 			NA
iC10 (%)	iC1	    5 (  6.3) 	    4 (  5.4) 	<0.001	exact	**
	iC2	    6 (  7.6) 	    5 (  6.8) 			NA
	iC3	    1 (  1.3) 	    6 (  8.1) 			NA
	iC4	    3 (  3.8) 	   10 ( 13.5) 			NA
	iC5	   24 ( 30.4) 	   13 ( 17.6) 			NA
	iC6	    4 (  5.1) 	    8 ( 10.8) 			NA
	iC7	    0 (  0.0) 	    8 ( 10.8) 			NA
	iC8	    0 (  0.0) 	   12 ( 16.2) 			NA
	iC9	   12 ( 15.2) 	    6 (  8.1) 			NA
	iC10	   24 ( 30.4) 	    2 (  2.7) 			NA
NAT.regimen (%)	EC-T	    1 (  1.3) 	    1 (  1.4) 	 0.729	exact	
	EC-T + Trastuzumab	    0 (  0.0) 	    1 (  1.4) 			NA
	EC + Trastuzumab	    1 (  1.3) 	    0 (  0.0) 			NA
	FEC-T	    3 (  3.8) 	    2 (  2.7) 			NA
	FEC-T + Trastuzumab	   26 ( 32.9) 	   20 ( 27.0) 			NA
	FEC-T + Trastuzumab + Pertuzumab	    2 (  2.5) 	    2 (  2.7) 			NA
	P-Carboplatin	    0 (  0.0) 	    1 (  1.4) 			NA
	P-EC	    3 (  3.8) 	    1 (  1.4) 			NA
	P-FEC	    4 (  5.1) 	    1 (  1.4) 			NA
	P + Trastuzumab	    0 (  0.0) 	    1 (  1.4) 			NA
	T	    1 (  1.3) 	    0 (  0.0) 			NA
	T-Carboplatin	    0 (  0.0) 	    2 (  2.7) 			NA
	T-EC	    3 (  3.8) 	    5 (  6.8) 			NA
	T-FEC	   29 ( 36.7) 	   32 ( 43.2) 			NA
	T-FEC + Trastuzumab	    0 (  0.0) 	    1 (  1.4) 			NA
	T-FEC + Trastuzumab + Pertuzumab	    2 (  2.5) 	    0 (  0.0) 			NA
	T + Pertuzumab + Trastuzumab	    1 (  1.3) 	    0 (  0.0) 			NA
	TC	    1 (  1.3) 	    2 (  2.7) 			NA
	TC + Trastuzumab	    2 (  2.5) 	    2 (  2.7) 			NA
Chemo.cycles 		 5.94 ± 0.77	 5.84 ± 0.60	 0.376		
aHER2.cycles 		 2.82 ± 1.03	 2.67 ± 0.78	 0.502		
RCB.score 		 1.18 ± 1.19	 2.26 ± 1.30	<0.001		**
STAT1.gsva 		 0.13 ± 0.50	-0.14 ± 0.46	 0.001		**
GGI.gsva 		 0.34 ± 0.26	-0.39 ± 0.33	<0.001		**
ESC.gsva 		 0.20 ± 0.25	-0.29 ± 0.26	<0.001		**
TMB 		 2.69 ± 1.68	 1.51 ± 1.62	<0.001		**
HRD.sum 		33.85 ± 16.62	18.35 ± 10.04	<0.001		**
