probe	class	dirct
hsa-mir-934	ANF1	down
hsa-mir-18a	ANF1	down
hsa-mir-577	ANF1	down
hsa-mir-135b	ANF1	down
hsa-mir-17	ANF1	down
hsa-mir-505	ANF1	down
hsa-mir-224	ANF1	down
hsa-mir-519a-1	ANF1	down
hsa-mir-452	ANF1	down
hsa-mir-19a	ANF1	down
hsa-mir-516a-1	ANF1	down
hsa-mir-9-1	ANF1	down
hsa-mir-9-3	ANF1	down
hsa-mir-9-2	ANF1	down
hsa-mir-522	ANF1	down
hsa-mir-20a	ANF1	down
hsa-mir-455	ANF1	down
hsa-mir-519a-2	ANF1	down
hsa-mir-516a-2	ANF1	down
hsa-mir-188	ANF1	down
hsa-mir-19b-1	ANF1	down
hsa-mir-584	ANF1	down
hsa-mir-92a-1	ANF1	down
hsa-mir-6728	ANF1	down
hsa-mir-106b	ANF1	down
hsa-mir-7112	ANF1	down
hsa-mir-92a-2	ANF1	down
hsa-mir-197	ANF1	down
hsa-mir-19b-2	ANF1	down
hsa-mir-877	ANF1	down
hsa-mir-500b	ANF1	down
hsa-mir-138-2	ANF1	down
hsa-mir-130b	ANF1	down
hsa-mir-6499	ANF1	down
hsa-mir-590	ANF1	down
hsa-mir-532	ANF1	down
hsa-mir-502	ANF1	down
hsa-mir-301b	ANF1	down
hsa-mir-942	ANF1	down
hsa-mir-500a	ANF1	down
hsa-mir-186	ANF1	down
hsa-mir-105-1	ANF1	down
hsa-mir-548ao	ANF1	down
hsa-mir-378a	ANF1	down
hsa-mir-105-2	ANF1	down
hsa-mir-767	ANF1	down
hsa-mir-5002	ANF1	down
hsa-mir-548s	ANF1	down
hsa-mir-24-2	ANF1	down
hsa-mir-24-1	ANF1	down
hsa-mir-4780	ANF1	down
hsa-mir-576	ANF1	down
hsa-mir-93	ANF1	down
hsa-mir-579	ANF1	down
hsa-mir-3682	ANF1	down
hsa-mir-4766	ANF1	down
hsa-mir-138-1	ANF1	down
hsa-mir-501	ANF1	down
hsa-mir-362	ANF1	down
hsa-mir-222	ANF1	down
hsa-mir-4665	ANF1	down
hsa-mir-1304	ANF1	down
hsa-mir-548d-1	ANF1	down
hsa-mir-548f-1	ANF1	down
hsa-mir-518e	ANF1	down
hsa-mir-548b	ANF1	down
hsa-mir-6783	ANF1	down
hsa-mir-551a	ANF1	down
hsa-mir-6720	ANF1	down
hsa-mir-4787	ANF1	down
hsa-mir-660	ANF1	down
hsa-mir-4677	ANF1	down
hsa-mir-210	ANF1	down
hsa-mir-1283-1	ANF1	down
hsa-mir-6832	ANF1	down
hsa-mir-3680-1	ANF1	down
hsa-mir-1301	ANF1	down
hsa-mir-520b	ANF1	down
hsa-mir-1307	ANF1	down
hsa-mir-324	ANF1	down
hsa-mir-548d-2	ANF1	down
hsa-mir-885	ANF1	down
hsa-mir-3200	ANF1	down
hsa-mir-1276	ANF1	down
hsa-mir-1283-2	ANF1	down
hsa-mir-155	ANF1	down
hsa-mir-146b	ANF1	down
hsa-mir-5699	ANF1	down
hsa-mir-570	ANF1	down
hsa-mir-937	ANF1	down
hsa-mir-527	ANF1	down
hsa-mir-221	ANF1	down
hsa-mir-588	ANF1	down
hsa-mir-1915	ANF1	down
