probe	class	dirct
hsa-mir-190b	ANF1	up
hsa-mir-29c	ANF1	up
hsa-mir-375	ANF1	up
hsa-mir-10b	ANF1	up
hsa-mir-5694	ANF1	up
hsa-mir-10a	ANF1	up
hsa-mir-342	ANF1	up
hsa-let-7a-3	ANF1	up
hsa-let-7a-1	ANF1	up
hsa-let-7a-2	ANF1	up
hsa-mir-101-2	ANF1	up
hsa-mir-101-1	ANF1	up
hsa-mir-625	ANF1	up
hsa-mir-664a	ANF1	up
hsa-mir-149	ANF1	up
hsa-let-7b	ANF1	up
hsa-mir-5691	ANF1	up
hsa-mir-337	ANF1	up
hsa-mir-139	ANF1	up
hsa-mir-26a-2	ANF1	up
hsa-mir-26a-1	ANF1	up
hsa-mir-758	ANF1	up
hsa-mir-125a	ANF1	up
hsa-mir-184	ANF1	up
hsa-mir-127	ANF1	up
hsa-mir-195	ANF1	up
hsa-mir-409	ANF1	up
hsa-mir-30a	ANF1	up
hsa-mir-365a	ANF1	up
hsa-mir-34c	ANF1	up
hsa-mir-365b	ANF1	up
hsa-mir-653	ANF1	up
hsa-mir-449a	ANF1	up
hsa-mir-3678	ANF1	up
hsa-mir-487b	ANF1	up
hsa-mir-382	ANF1	up
hsa-mir-26b	ANF1	up
hsa-mir-431	ANF1	up
hsa-mir-379	ANF1	up
hsa-mir-887	ANF1	up
hsa-mir-654	ANF1	up
hsa-mir-370	ANF1	up
hsa-mir-4446	ANF1	up
hsa-mir-134	ANF1	up
hsa-mir-493	ANF1	up
hsa-mir-432	ANF1	up
hsa-mir-199a-1	ANF1	up
hsa-mir-664b	ANF1	up
hsa-mir-182	ANF1	up
hsa-mir-218-2	ANF1	up
hsa-mir-410	ANF1	up
hsa-mir-1266	ANF1	up
hsa-let-7e	ANF1	up
hsa-mir-135a-2	ANF1	up
hsa-mir-191	ANF1	up
hsa-mir-202	ANF1	up
hsa-mir-193b	ANF1	up
hsa-mir-193a	ANF1	up
hsa-mir-449b	ANF1	up
hsa-mir-199a-2	ANF1	up
hsa-mir-3926-2	ANF1	up
hsa-mir-218-1	ANF1	up
hsa-mir-2114	ANF1	up
hsa-mir-411	ANF1	up
hsa-mir-433	ANF1	up
hsa-mir-655	ANF1	up
hsa-mir-145	ANF1	up
hsa-mir-3913-1	ANF1	up
hsa-mir-642a	ANF1	up
hsa-mir-3926-1	ANF1	up
hsa-mir-135a-1	ANF1	up
hsa-mir-618	ANF1	up
hsa-mir-3190	ANF1	up
hsa-mir-29b-2	ANF1	up
hsa-mir-4756	ANF1	up
hsa-mir-1247	ANF1	up
hsa-mir-199b	ANF1	up
hsa-mir-4790	ANF1	up
hsa-mir-499a	ANF1	up
hsa-mir-153-1	ANF1	up
hsa-mir-153-2	ANF1	up
hsa-mir-34b	ANF1	up
hsa-mir-539	ANF1	up
hsa-mir-1251	ANF1	up
hsa-mir-381	ANF1	up
hsa-mir-369	ANF1	up
hsa-mir-889	ANF1	up
hsa-mir-214	ANF1	up
hsa-mir-496	ANF1	up
hsa-mir-5684	ANF1	up
hsa-mir-154	ANF1	up
hsa-mir-497	ANF1	up
hsa-mir-152	ANF1	up
hsa-mir-449c	ANF1	up
hsa-mir-103a-1	ANF1	up
hsa-mir-495	ANF1	up
hsa-mir-103a-2	ANF1	up
hsa-mir-4501	ANF1	up
hsa-mir-22	ANF1	up
hsa-mir-100	ANF1	up
hsa-mir-934	ANF2	up
hsa-mir-18a	ANF2	up
hsa-mir-577	ANF2	up
hsa-mir-135b	ANF2	up
hsa-mir-17	ANF2	up
hsa-mir-505	ANF2	up
hsa-mir-224	ANF2	up
hsa-mir-519a-1	ANF2	up
hsa-mir-452	ANF2	up
hsa-mir-19a	ANF2	up
hsa-mir-516a-1	ANF2	up
hsa-mir-9-1	ANF2	up
hsa-mir-9-3	ANF2	up
hsa-mir-9-2	ANF2	up
hsa-mir-522	ANF2	up
hsa-mir-20a	ANF2	up
hsa-mir-455	ANF2	up
hsa-mir-519a-2	ANF2	up
hsa-mir-516a-2	ANF2	up
hsa-mir-188	ANF2	up
hsa-mir-19b-1	ANF2	up
hsa-mir-584	ANF2	up
hsa-mir-92a-1	ANF2	up
hsa-mir-6728	ANF2	up
hsa-mir-106b	ANF2	up
hsa-mir-7112	ANF2	up
hsa-mir-92a-2	ANF2	up
hsa-mir-197	ANF2	up
hsa-mir-19b-2	ANF2	up
hsa-mir-877	ANF2	up
hsa-mir-500b	ANF2	up
hsa-mir-138-2	ANF2	up
hsa-mir-130b	ANF2	up
hsa-mir-6499	ANF2	up
hsa-mir-590	ANF2	up
hsa-mir-532	ANF2	up
hsa-mir-502	ANF2	up
hsa-mir-301b	ANF2	up
hsa-mir-942	ANF2	up
hsa-mir-500a	ANF2	up
hsa-mir-186	ANF2	up
hsa-mir-105-1	ANF2	up
hsa-mir-548ao	ANF2	up
hsa-mir-378a	ANF2	up
hsa-mir-105-2	ANF2	up
hsa-mir-767	ANF2	up
hsa-mir-5002	ANF2	up
hsa-mir-548s	ANF2	up
hsa-mir-24-2	ANF2	up
hsa-mir-24-1	ANF2	up
hsa-mir-4780	ANF2	up
hsa-mir-576	ANF2	up
hsa-mir-93	ANF2	up
hsa-mir-579	ANF2	up
hsa-mir-3682	ANF2	up
hsa-mir-4766	ANF2	up
hsa-mir-138-1	ANF2	up
hsa-mir-501	ANF2	up
hsa-mir-362	ANF2	up
hsa-mir-222	ANF2	up
