probe	class	dirct
ORC6	CS1	down
TICRR	CS1	down
CCNE1	CS1	down
PRR11	CS1	down
CENPA	CS1	down
FANCA	CS1	down
MYBL2	CS1	down
AC144652.1	CS1	down
SGO1	CS1	down
MCM10	CS1	down
CDCA8	CS1	down
UBE2C	CS1	down
SKA1	CS1	down
HJURP	CS1	down
AURKA	CS1	down
CDCA5	CS1	down
BIRC5	CS1	down
DSCC1	CS1	down
CDC25A	CS1	down
NDC80	CS1	down
GTSE1	CS1	down
GAS2L3	CS1	down
AURKB	CS1	down
AC020661.1	CS1	down
IGF2BP3	CS1	down
FOXM1	CS1	down
CCNA2	CS1	down
POLQ	CS1	down
KIF2C	CS1	down
CDC45	CS1	down
E2F2	CS1	down
E2F1	CS1	down
MAD2L1	CS1	down
CDCA3	CS1	down
CEBPG	CS1	down
LPIN1	CS1	down
LRP8	CS1	down
RAD54L	CS1	down
TPX2	CS1	down
ARHGAP11A	CS1	down
CCNB2	CS1	down
PTDSS1	CS1	down
CEP55	CS1	down
ORC1	CS1	down
AC091057.1	CS1	down
SHCBP1	CS1	down
KIF18B	CS1	down
CENPN	CS1	down
C16orf87	CS1	down
DDN	CS1	down
PRDX4	CS1	down
KCMF1	CS1	down
FAM136A	CS1	down
DEPDC1	CS1	down
CDC20	CS1	down
TRIP13	CS1	down
CTPS1	CS1	down
KNSTRN	CS1	down
TTK	CS1	down
LAPTM4B	CS1	down
GTPBP4	CS1	down
POU5F1	CS1	down
PIMREG	CS1	down
PSAT1	CS1	down
AC092718.4	CS1	down
PDSS1	CS1	down
BUB1	CS1	down
AL161772.1	CS1	down
DIAPH3	CS1	down
NCAPG	CS1	down
RAD51	CS1	down
MELK	CS1	down
AL023803.2	CS1	down
TROAP	CS1	down
POP1	CS1	down
DONSON	CS1	down
STMN1	CS1	down
TMEM65	CS1	down
HASPIN	CS1	down
PVR	CS1	down
KIFC1	CS1	down
CMC2	CS1	down
RRAGD	CS1	down
CDC25B	CS1	down
ATP1B3	CS1	down
SKA3	CS1	down
PIF1	CS1	down
CIP2A	CS1	down
NEIL3	CS1	down
CCDC150	CS1	down
MKI67	CS1	down
NCAPH	CS1	down
CDC123	CS1	down
CENPO	CS1	down
XK	CS1	down
MTFR2	CS1	down
CLSPN	CS1	down
AMD1	CS1	down
A2ML1	CS1	down
NIP7	CS1	down
CFAP57	CS2	down
ABAT	CS2	down
NAT1	CS2	down
AC013726.1	CS2	down
UBXN10	CS2	down
SPEF1	CS2	down
RAB6C-AS1	CS2	down
BBOF1	CS2	down
CFAP94	CS2	down
Y_RNA	CS2	down
TMEM161BP1	CS2	down
EFCAB12	CS2	down
SCUBE2	CS2	down
AC055854.1	CS2	down
SPATA6L	CS2	down
SPEF2	CS2	down
LINC00940	CS2	down
CFAP99	CS2	down
ZMYND10	CS2	down
KDM4B	CS2	down
ANKRD42	CS2	down
VN1R53P	CS2	down
RN7SL314P	CS2	down
FAM161B	CS2	down
DRC3	CS2	down
DNAAF1	CS2	down
AL157387.1	CS2	down
C9orf116	CS2	down
LINC00504	CS2	down
FMO5	CS2	down
TMEM63C	CS2	down
MAP3K1	CS2	down
PIH1D2	CS2	down
RAB6C	CS2	down
C16orf71	CS2	down
NEK5	CS2	down
KRT8P41	CS2	down
DCDC1	CS2	down
TMC5	CS2	down
LINC00993	CS2	down
DEGS2	CS2	down
SAMD15	CS2	down
IL6ST	CS2	down
FANK1	CS2	down
CCDC160	CS2	down
SEC14L2	CS2	down
PLAC9P1	CS2	down
CYP4Z2P	CS2	down
LRRC6	CS2	down
MLPH	CS2	down
PGR	CS2	down
CR936218.2	CS2	down
ST8SIA6	CS2	down
CFAP69	CS2	down
KIAA0040	CS2	down
KCNJ11	CS2	down
LINC02568	CS2	down
RUNDC1	CS2	down
RSPH1	CS2	down
ZNF823	CS2	down
NOSTRIN	CS2	down
GP2	CS2	down
REEP6	CS2	down
FOXA1	CS2	down
ADAMTS15	CS2	down
FGD3	CS2	down
CISH	CS2	down
VSIG10L2	CS2	down
FDXACB1	CS2	down
ANKRA2	CS2	down
C5AR2	CS2	down
AC127521.1	CS2	down
GLUL	CS2	down
C4A	CS2	down
RNU6-342P	CS2	down
ABCC8	CS2	down
CYP21A2	CS2	down
CYP21A1P	CS2	down
TTC6	CS2	down
AL591845.1	CS2	down
ANKRD30A	CS2	down
DNAAF3	CS2	down
NEK10	CS2	down
DNAH7	CS2	down
NRAV	CS2	down
KIF13B	CS2	down
VWA2	CS2	down
SLC44A4	CS2	down
ARHGEF38	CS2	down
AL133387.1	CS2	down
CELSR1	CS2	down
AP002840.2	CS2	down
F7	CS2	down
FAM214A	CS2	down
AC008771.1	CS2	down
CYP4F23P	CS2	down
C4B	CS2	down
CCDC125	CS2	down
AR	CS2	down
TTC12	CS2	down
