probe	class	dirct
hsa-mir-190b	CIMLR1	up
hsa-mir-184	CIMLR1	up
hsa-mir-664a	CIMLR1	up
hsa-let-7b	CIMLR1	up
hsa-mir-10b	CIMLR1	up
hsa-mir-342	CIMLR1	up
hsa-mir-10a	CIMLR1	up
hsa-let-7a-1	CIMLR1	up
hsa-let-7a-2	CIMLR1	up
hsa-let-7a-3	CIMLR1	up
hsa-mir-1245a	CIMLR1	up
hsa-mir-205	CIMLR1	up
hsa-mir-5691	CIMLR1	up
hsa-mir-30a	CIMLR1	up
hsa-mir-182	CIMLR1	up
hsa-mir-195	CIMLR1	up
hsa-mir-145	CIMLR1	up
hsa-mir-382	CIMLR1	up
hsa-mir-34c	CIMLR1	up
hsa-mir-30c-2	CIMLR1	up
hsa-mir-133a-1	CIMLR1	up
hsa-mir-5694	CIMLR1	up
hsa-mir-365a	CIMLR1	up
hsa-mir-125a	CIMLR1	up
hsa-mir-365b	CIMLR1	up
hsa-mir-125b-1	CIMLR1	up
hsa-mir-204	CIMLR1	up
hsa-mir-337	CIMLR1	up
hsa-mir-1-1	CIMLR1	up
hsa-mir-125b-2	CIMLR1	up
hsa-mir-199a-1	CIMLR1	up
hsa-mir-139	CIMLR1	up
hsa-mir-3156-1	CIMLR1	up
hsa-mir-4759	CIMLR1	up
hsa-mir-30c-1	CIMLR1	up
hsa-mir-218-1	CIMLR1	up
hsa-mir-181d	CIMLR1	up
hsa-mir-5685	CIMLR1	up
hsa-mir-101-2	CIMLR1	up
hsa-mir-202	CIMLR1	up
hsa-mir-409	CIMLR1	up
hsa-mir-656	CIMLR1	up
hsa-mir-101-1	CIMLR1	up
hsa-mir-4536-1	CIMLR1	up
hsa-mir-3926-1	CIMLR1	up
hsa-mir-1245b	CIMLR1	up
hsa-mir-944	CIMLR1	up
hsa-mir-379	CIMLR1	up
hsa-mir-18a	CIMLR2	up
hsa-mir-106b	CIMLR2	up
hsa-mir-130b	CIMLR2	up
hsa-mir-17	CIMLR2	up
hsa-mir-934	CIMLR2	up
hsa-mir-548b	CIMLR2	up
hsa-mir-877	CIMLR2	up
hsa-mir-188	CIMLR2	up
hsa-mir-3200	CIMLR2	up
hsa-mir-942	CIMLR2	up
hsa-mir-135b	CIMLR2	up
hsa-mir-197	CIMLR2	up
hsa-mir-1306	CIMLR2	up
hsa-mir-940	CIMLR2	up
hsa-mir-3618	CIMLR2	up
hsa-mir-9-2	CIMLR2	up
hsa-mir-9-1	CIMLR2	up
hsa-mir-9-3	CIMLR2	up
hsa-mir-548d-2	CIMLR2	up
hsa-mir-577	CIMLR2	up
hsa-mir-24-2	CIMLR2	up
hsa-mir-505	CIMLR2	up
hsa-mir-24-1	CIMLR2	up
hsa-mir-301a	CIMLR2	up
hsa-mir-590	CIMLR2	up
hsa-mir-105-1	CIMLR2	up
hsa-mir-512-2	CIMLR2	up
hsa-mir-19a	CIMLR2	up
hsa-mir-105-2	CIMLR2	up
hsa-mir-937	CIMLR2	up
hsa-mir-7-3	CIMLR2	up
hsa-mir-519a-1	CIMLR2	up
hsa-mir-4665	CIMLR2	up
hsa-mir-7112	CIMLR2	up
hsa-mir-519a-2	CIMLR2	up
hsa-mir-522	CIMLR2	up
hsa-mir-576	CIMLR2	up
hsa-mir-33a	CIMLR2	up
hsa-mir-518e	CIMLR2	up
hsa-mir-6728	CIMLR2	up
hsa-mir-301b	CIMLR2	up
hsa-mir-550a-2	CIMLR2	up
hsa-mir-210	CIMLR2	up
hsa-mir-767	CIMLR2	up
hsa-mir-1301	CIMLR2	up
hsa-mir-186	CIMLR2	up
hsa-mir-421	CIMLR2	up
hsa-mir-588	CIMLR2	up
hsa-mir-517b	CIMLR2	up
hsa-mir-517a	CIMLR2	up
hsa-mir-512-1	CIMLR2	up
hsa-mir-92a-2	CIMLR2	up
hsa-mir-3928	CIMLR2	up
hsa-mir-5092	CIMLR2	up
hsa-mir-517c	CIMLR2	up
hsa-mir-1307	CIMLR2	up
hsa-mir-222	CIMLR2	up
hsa-mir-502	CIMLR2	up
hsa-mir-92a-1	CIMLR2	up
hsa-mir-3682	CIMLR2	up
hsa-mir-516a-1	CIMLR2	up
