probe	class	dirct
hsa-mir-17	KLIC1	down
hsa-mir-577	KLIC1	down
hsa-mir-20a	KLIC1	down
hsa-mir-19b-1	KLIC1	down
hsa-mir-92a-1	KLIC1	down
hsa-mir-92a-2	KLIC1	down
hsa-mir-4780	KLIC1	down
hsa-mir-19b-2	KLIC1	down
hsa-mir-19a	KLIC1	down
hsa-mir-18a	KLIC1	down
hsa-mir-9-1	KLIC1	down
hsa-mir-9-3	KLIC1	down
hsa-mir-9-2	KLIC1	down
hsa-mir-106b	KLIC1	down
hsa-mir-744	KLIC1	down
hsa-mir-455	KLIC1	down
hsa-mir-135b	KLIC1	down
hsa-mir-181a-2	KLIC1	down
hsa-mir-181d	KLIC1	down
hsa-mir-3115	KLIC1	down
hsa-mir-130b	KLIC1	down
hsa-mir-1306	KLIC1	down
hsa-mir-590	KLIC1	down
hsa-mir-3928	KLIC1	down
hsa-mir-532	KLIC1	down
hsa-mir-6499	KLIC1	down
hsa-mir-93	KLIC1	down
hsa-mir-4677	KLIC1	down
hsa-mir-548ao	KLIC1	down
hsa-mir-181c	KLIC1	down
hsa-mir-559	KLIC1	down
hsa-mir-324	KLIC1	down
hsa-mir-548d-1	KLIC1	down
hsa-mir-934	KLIC1	down
hsa-let-7d	KLIC1	down
hsa-mir-188	KLIC1	down
hsa-mir-579	KLIC1	down
hsa-mir-3664	KLIC1	down
hsa-mir-4794	KLIC1	down
hsa-mir-551a	KLIC1	down
hsa-mir-181b-2	KLIC1	down
hsa-mir-181b-1	KLIC1	down
hsa-mir-671	KLIC1	down
hsa-mir-197	KLIC1	down
hsa-mir-1343	KLIC1	down
hsa-mir-1256	KLIC1	down
hsa-mir-1307	KLIC1	down
hsa-mir-301b	KLIC1	down
hsa-mir-5588	KLIC1	down
hsa-mir-6763	KLIC1	down
hsa-mir-6758	KLIC1	down
hsa-mir-502	KLIC1	down
hsa-mir-3200	KLIC1	down
hsa-mir-7706	KLIC1	down
hsa-mir-3192	KLIC1	down
hsa-mir-548s	KLIC1	down
hsa-mir-138-2	KLIC1	down
hsa-mir-3140	KLIC1	down
hsa-mir-5090	KLIC1	down
hsa-mir-345	KLIC1	down
hsa-mir-876	KLIC1	down
hsa-mir-4746	KLIC1	down
hsa-mir-7112	KLIC1	down
hsa-mir-378a	KLIC1	down
hsa-mir-1292	KLIC1	down
hsa-mir-505	KLIC1	down
hsa-mir-3691	KLIC1	down
hsa-mir-186	KLIC1	down
hsa-mir-3145	KLIC1	down
hsa-mir-6834	KLIC1	down
hsa-mir-1296	KLIC1	down
hsa-mir-7854	KLIC1	down
hsa-mir-129-1	KLIC1	down
hsa-mir-219a-1	KLIC1	down
hsa-mir-25	KLIC1	down
hsa-mir-4473	KLIC1	down
hsa-mir-6832	KLIC1	down
hsa-mir-6738	KLIC1	down
hsa-mir-1301	KLIC1	down
hsa-mir-6793	KLIC1	down
hsa-mir-3944	KLIC1	down
hsa-mir-129-2	KLIC1	down
hsa-mir-548ag-2	KLIC1	down
hsa-mir-4684	KLIC1	down
hsa-mir-873	KLIC1	down
hsa-mir-5002	KLIC1	down
hsa-mir-1911	KLIC1	down
hsa-mir-2682	KLIC1	down
hsa-mir-200b	KLIC1	down
hsa-mir-3139	KLIC1	down
hsa-mir-4433a	KLIC1	down
hsa-mir-4431	KLIC1	down
hsa-mir-124-2	KLIC1	down
hsa-mir-802	KLIC1	down
hsa-mir-4798	KLIC1	down
hsa-mir-124-1	KLIC1	down
hsa-mir-3186	KLIC1	down
hsa-mir-6830	KLIC1	down
hsa-mir-6753	KLIC1	down
hsa-mir-548ag-1	KLIC1	down
hsa-mir-10b	KLIC2	down
hsa-mir-495	KLIC2	down
hsa-mir-381	KLIC2	down
hsa-mir-379	KLIC2	down
hsa-mir-29c	KLIC2	down
hsa-mir-127	KLIC2	down
hsa-mir-369	KLIC2	down
hsa-mir-1247	KLIC2	down
hsa-mir-889	KLIC2	down
hsa-mir-655	KLIC2	down
hsa-mir-150	KLIC2	down
hsa-mir-382	KLIC2	down
hsa-mir-1245a	KLIC2	down
hsa-mir-487b	KLIC2	down
hsa-mir-370	KLIC2	down
hsa-mir-337	KLIC2	down
hsa-mir-411	KLIC2	down
hsa-mir-22	KLIC2	down
hsa-mir-654	KLIC2	down
hsa-mir-758	KLIC2	down
hsa-mir-409	KLIC2	down
hsa-mir-134	KLIC2	down
hsa-mir-377	KLIC2	down
hsa-mir-376c	KLIC2	down
hsa-mir-154	KLIC2	down
hsa-mir-214	KLIC2	down
hsa-mir-139	KLIC2	down
hsa-mir-431	KLIC2	down
hsa-mir-199a-1	KLIC2	down
hsa-mir-485	KLIC2	down
hsa-mir-10a	KLIC2	down
hsa-mir-199a-2	KLIC2	down
hsa-mir-190b	KLIC2	down
hsa-mir-493	KLIC2	down
hsa-mir-410	KLIC2	down
hsa-mir-1258	KLIC2	down
hsa-mir-199b	KLIC2	down
hsa-mir-342	KLIC2	down
hsa-mir-299	KLIC2	down
hsa-mir-376b	KLIC2	down
hsa-mir-21	KLIC2	down
hsa-mir-3926-2	KLIC2	down
hsa-mir-223	KLIC2	down
hsa-mir-1-1	KLIC2	down
hsa-mir-539	KLIC2	down
hsa-mir-625	KLIC2	down
hsa-mir-656	KLIC2	down
hsa-mir-145	KLIC2	down
hsa-mir-432	KLIC2	down
hsa-mir-543	KLIC2	down
hsa-mir-496	KLIC2	down
hsa-mir-708	KLIC2	down
hsa-mir-542	KLIC2	down
hsa-mir-1-2	KLIC2	down
hsa-mir-34a	KLIC2	down
hsa-mir-202	KLIC2	down
hsa-mir-136	KLIC2	down
hsa-mir-412	KLIC2	down
hsa-mir-100	KLIC2	down
hsa-mir-5694	KLIC2	down
hsa-mir-29a	KLIC2	down
hsa-mir-184	KLIC2	down
hsa-mir-665	KLIC2	down
hsa-mir-142	KLIC2	down
hsa-mir-433	KLIC2	down
hsa-mir-376a-1	KLIC2	down
hsa-mir-365a	KLIC2	down
hsa-mir-494	KLIC2	down
hsa-mir-365b	KLIC2	down
hsa-mir-143	KLIC2	down
hsa-mir-29b-2	KLIC2	down
hsa-mir-450a-2	KLIC2	down
hsa-mir-425	KLIC2	down
hsa-mir-424	KLIC2	down
hsa-mir-4772	KLIC2	down
hsa-mir-1228	KLIC2	down
hsa-mir-133a-2	KLIC2	down
hsa-mir-26b	KLIC2	down
hsa-mir-195	KLIC2	down
hsa-mir-4709	KLIC2	down
hsa-mir-218-1	KLIC2	down
hsa-mir-152	KLIC2	down
hsa-mir-6503	KLIC2	down
hsa-mir-3129	KLIC2	down
hsa-mir-146b	KLIC2	down
hsa-mir-29b-1	KLIC2	down
hsa-mir-193b	KLIC2	down
hsa-mir-653	KLIC2	down
hsa-mir-6837	KLIC2	down
hsa-mir-6502	KLIC2	down
hsa-mir-218-2	KLIC2	down
hsa-mir-511	KLIC2	down
hsa-mir-6762	KLIC2	down
hsa-mir-4777	KLIC2	down
hsa-mir-323a	KLIC2	down
hsa-mir-3926-1	KLIC2	down
hsa-mir-3690-1	KLIC2	down
hsa-mir-5193	KLIC2	down
hsa-mir-133b	KLIC2	down
