probe	class	dirct
hsa-mir-10b	KLIC1	up
hsa-mir-495	KLIC1	up
hsa-mir-381	KLIC1	up
hsa-mir-379	KLIC1	up
hsa-mir-29c	KLIC1	up
hsa-mir-127	KLIC1	up
hsa-mir-369	KLIC1	up
hsa-mir-1247	KLIC1	up
hsa-mir-889	KLIC1	up
hsa-mir-655	KLIC1	up
hsa-mir-150	KLIC1	up
hsa-mir-382	KLIC1	up
hsa-mir-1245a	KLIC1	up
hsa-mir-487b	KLIC1	up
hsa-mir-370	KLIC1	up
hsa-mir-337	KLIC1	up
hsa-mir-411	KLIC1	up
hsa-mir-22	KLIC1	up
hsa-mir-654	KLIC1	up
hsa-mir-758	KLIC1	up
hsa-mir-409	KLIC1	up
hsa-mir-134	KLIC1	up
hsa-mir-377	KLIC1	up
hsa-mir-376c	KLIC1	up
hsa-mir-154	KLIC1	up
hsa-mir-214	KLIC1	up
hsa-mir-139	KLIC1	up
hsa-mir-431	KLIC1	up
hsa-mir-199a-1	KLIC1	up
hsa-mir-485	KLIC1	up
hsa-mir-10a	KLIC1	up
hsa-mir-199a-2	KLIC1	up
hsa-mir-190b	KLIC1	up
hsa-mir-493	KLIC1	up
hsa-mir-410	KLIC1	up
hsa-mir-1258	KLIC1	up
hsa-mir-199b	KLIC1	up
hsa-mir-342	KLIC1	up
hsa-mir-299	KLIC1	up
hsa-mir-376b	KLIC1	up
hsa-mir-21	KLIC1	up
hsa-mir-3926-2	KLIC1	up
hsa-mir-223	KLIC1	up
hsa-mir-1-1	KLIC1	up
hsa-mir-539	KLIC1	up
hsa-mir-625	KLIC1	up
hsa-mir-656	KLIC1	up
hsa-mir-145	KLIC1	up
hsa-mir-432	KLIC1	up
hsa-mir-543	KLIC1	up
hsa-mir-496	KLIC1	up
hsa-mir-708	KLIC1	up
hsa-mir-542	KLIC1	up
hsa-mir-1-2	KLIC1	up
hsa-mir-34a	KLIC1	up
hsa-mir-202	KLIC1	up
hsa-mir-136	KLIC1	up
hsa-mir-412	KLIC1	up
hsa-mir-100	KLIC1	up
hsa-mir-5694	KLIC1	up
hsa-mir-29a	KLIC1	up
hsa-mir-184	KLIC1	up
hsa-mir-665	KLIC1	up
hsa-mir-142	KLIC1	up
hsa-mir-433	KLIC1	up
hsa-mir-376a-1	KLIC1	up
hsa-mir-365a	KLIC1	up
hsa-mir-494	KLIC1	up
hsa-mir-365b	KLIC1	up
hsa-mir-143	KLIC1	up
hsa-mir-29b-2	KLIC1	up
hsa-mir-450a-2	KLIC1	up
hsa-mir-425	KLIC1	up
hsa-mir-424	KLIC1	up
hsa-mir-4772	KLIC1	up
hsa-mir-1228	KLIC1	up
hsa-mir-133a-2	KLIC1	up
hsa-mir-26b	KLIC1	up
hsa-mir-195	KLIC1	up
hsa-mir-4709	KLIC1	up
hsa-mir-218-1	KLIC1	up
hsa-mir-152	KLIC1	up
hsa-mir-6503	KLIC1	up
hsa-mir-3129	KLIC1	up
hsa-mir-146b	KLIC1	up
hsa-mir-29b-1	KLIC1	up
hsa-mir-193b	KLIC1	up
hsa-mir-653	KLIC1	up
hsa-mir-6837	KLIC1	up
hsa-mir-6502	KLIC1	up
hsa-mir-218-2	KLIC1	up
hsa-mir-511	KLIC1	up
hsa-mir-6762	KLIC1	up
hsa-mir-4777	KLIC1	up
hsa-mir-323a	KLIC1	up
hsa-mir-3926-1	KLIC1	up
hsa-mir-3690-1	KLIC1	up
hsa-mir-5193	KLIC1	up
hsa-mir-133b	KLIC1	up
hsa-mir-17	KLIC2	up
hsa-mir-577	KLIC2	up
hsa-mir-20a	KLIC2	up
hsa-mir-19b-1	KLIC2	up
hsa-mir-92a-1	KLIC2	up
hsa-mir-92a-2	KLIC2	up
hsa-mir-4780	KLIC2	up
hsa-mir-19b-2	KLIC2	up
hsa-mir-19a	KLIC2	up
hsa-mir-18a	KLIC2	up
