probe	class	dirct
hsa-mir-425	LRAcluster1	down
hsa-mir-4668	LRAcluster1	down
hsa-mir-3607	LRAcluster1	down
hsa-mir-183	LRAcluster1	down
hsa-mir-4714	LRAcluster1	down
hsa-mir-423	LRAcluster1	down
hsa-mir-3127	LRAcluster1	down
hsa-mir-96	LRAcluster1	down
hsa-mir-22	LRAcluster1	down
hsa-mir-30c-1	LRAcluster1	down
hsa-mir-30c-2	LRAcluster1	down
hsa-mir-4724	LRAcluster1	down
hsa-mir-548aw	LRAcluster1	down
hsa-mir-331	LRAcluster1	down
hsa-mir-33b	LRAcluster1	down
hsa-mir-484	LRAcluster1	down
hsa-mir-34a	LRAcluster1	down
hsa-mir-200a	LRAcluster1	down
hsa-mir-4526	LRAcluster1	down
hsa-mir-141	LRAcluster1	down
hsa-mir-18a	LRAcluster2	down
hsa-mir-505	LRAcluster2	down
hsa-mir-17	LRAcluster2	down
hsa-mir-188	LRAcluster2	down
hsa-mir-106b	LRAcluster2	down
hsa-mir-301b	LRAcluster2	down
hsa-mir-877	LRAcluster2	down
hsa-mir-590	LRAcluster2	down
hsa-mir-130b	LRAcluster2	down
hsa-mir-105-1	LRAcluster2	down
hsa-mir-9-3	LRAcluster2	down
hsa-mir-9-1	LRAcluster2	down
hsa-mir-9-2	LRAcluster2	down
hsa-mir-942	LRAcluster2	down
hsa-mir-197	LRAcluster2	down
hsa-mir-532	LRAcluster2	down
hsa-mir-224	LRAcluster2	down
hsa-mir-502	LRAcluster2	down
hsa-mir-3200	LRAcluster2	down
hsa-mir-105-2	LRAcluster2	down
hsa-mir-4664	LRAcluster2	down
hsa-mir-6728	LRAcluster2	down
hsa-mir-92a-2	LRAcluster2	down
hsa-mir-92a-1	LRAcluster2	down
hsa-mir-500b	LRAcluster2	down
hsa-mir-767	LRAcluster2	down
hsa-mir-33a	LRAcluster2	down
hsa-mir-522	LRAcluster2	down
hsa-mir-20a	LRAcluster2	down
hsa-mir-519a-2	LRAcluster2	down
hsa-mir-7112	LRAcluster2	down
hsa-mir-1307	LRAcluster2	down
hsa-mir-19a	LRAcluster2	down
hsa-mir-210	LRAcluster2	down
hsa-mir-24-1	LRAcluster2	down
hsa-mir-24-2	LRAcluster2	down
hsa-mir-455	LRAcluster2	down
hsa-mir-324	LRAcluster2	down
hsa-mir-362	LRAcluster2	down
hsa-mir-501	LRAcluster2	down
hsa-mir-516a-2	LRAcluster2	down
hsa-mir-570	LRAcluster2	down
hsa-mir-766	LRAcluster2	down
hsa-mir-4766	LRAcluster2	down
hsa-mir-579	LRAcluster2	down
hsa-mir-4787	LRAcluster2	down
hsa-mir-1306	LRAcluster2	down
hsa-mir-500a	LRAcluster2	down
hsa-mir-940	LRAcluster2	down
hsa-mir-4661	LRAcluster2	down
hsa-mir-3682	LRAcluster2	down
hsa-mir-19b-1	LRAcluster2	down
hsa-mir-1301	LRAcluster2	down
hsa-mir-6832	LRAcluster2	down
hsa-mir-301a	LRAcluster2	down
hsa-mir-421	LRAcluster2	down
hsa-mir-3680-1	LRAcluster2	down
hsa-mir-1276	LRAcluster2	down
hsa-mir-155	LRAcluster2	down
hsa-mir-19b-2	LRAcluster2	down
hsa-mir-937	LRAcluster2	down
hsa-mir-548f-1	LRAcluster2	down
hsa-mir-3677	LRAcluster2	down
hsa-mir-6783	LRAcluster2	down
hsa-mir-671	LRAcluster2	down
hsa-mir-5002	LRAcluster2	down
hsa-mir-7974	LRAcluster2	down
hsa-mir-222	LRAcluster2	down
hsa-mir-548d-1	LRAcluster2	down
hsa-mir-545	LRAcluster2	down
hsa-mir-5571	LRAcluster2	down
hsa-mir-5699	LRAcluster2	down
hsa-mir-548b	LRAcluster2	down
hsa-mir-18b	LRAcluster2	down
hsa-mir-93	LRAcluster2	down
hsa-mir-4677	LRAcluster2	down
hsa-mir-1304	LRAcluster2	down
hsa-mir-4658	LRAcluster2	down
hsa-mir-660	LRAcluster2	down
hsa-mir-1915	LRAcluster2	down
hsa-mir-129-1	LRAcluster2	down
hsa-mir-636	LRAcluster2	down
hsa-mir-345	LRAcluster2	down
hsa-mir-5092	LRAcluster2	down
hsa-mir-3614	LRAcluster2	down
hsa-mir-146b	LRAcluster2	down
hsa-mir-221	LRAcluster2	down
hsa-mir-580	LRAcluster2	down
hsa-mir-518e	LRAcluster2	down
hsa-mir-6814	LRAcluster2	down
hsa-mir-576	LRAcluster2	down
hsa-mir-588	LRAcluster2	down
hsa-mir-6720	LRAcluster2	down
hsa-mir-3137	LRAcluster2	down
hsa-mir-3136	LRAcluster2	down
hsa-mir-527	LRAcluster2	down
hsa-mir-1283-2	LRAcluster2	down
hsa-mir-3680-2	LRAcluster2	down
hsa-mir-1255a	LRAcluster2	down
hsa-mir-15b	LRAcluster2	down
hsa-mir-101-2	LRAcluster3	down
hsa-mir-101-1	LRAcluster3	down
hsa-mir-184	LRAcluster3	down
hsa-mir-26a-2	LRAcluster3	down
hsa-mir-26a-1	LRAcluster3	down
hsa-mir-379	LRAcluster3	down
hsa-mir-758	LRAcluster3	down
hsa-mir-382	LRAcluster3	down
hsa-mir-26b	LRAcluster3	down
hsa-mir-34c	LRAcluster3	down
hsa-mir-654	LRAcluster3	down
hsa-mir-127	LRAcluster3	down
hsa-mir-135a-2	LRAcluster3	down
hsa-mir-431	LRAcluster3	down
hsa-mir-335	LRAcluster3	down
hsa-mir-487b	LRAcluster3	down
hsa-mir-493	LRAcluster3	down
hsa-mir-3913-1	LRAcluster3	down
hsa-mir-370	LRAcluster3	down
hsa-mir-194-1	LRAcluster3	down
hsa-mir-410	LRAcluster3	down
hsa-mir-135a-1	LRAcluster3	down
hsa-mir-3926-2	LRAcluster3	down
hsa-mir-499a	LRAcluster3	down
hsa-mir-153-2	LRAcluster3	down
hsa-mir-1-2	LRAcluster3	down
hsa-mir-664b	LRAcluster3	down
hsa-mir-412	LRAcluster3	down
