probe	class	dirct
hsa-mir-511	LRAcluster1	up
hsa-mir-378d-2	LRAcluster1	up
hsa-mir-517b	LRAcluster1	up
hsa-mir-517a	LRAcluster1	up
hsa-mir-4491	LRAcluster1	up
hsa-mir-5588	LRAcluster1	up
hsa-mir-5586	LRAcluster1	up
hsa-mir-5090	LRAcluster1	up
hsa-mir-3911	LRAcluster1	up
hsa-mir-150	LRAcluster1	up
hsa-mir-6509	LRAcluster1	up
hsa-mir-598	LRAcluster1	up
hsa-mir-4804	LRAcluster1	up
hsa-mir-140	LRAcluster1	up
hsa-mir-378d-1	LRAcluster1	up
hsa-mir-517c	LRAcluster1	up
hsa-mir-561	LRAcluster1	up
hsa-mir-320c-1	LRAcluster1	up
hsa-mir-340	LRAcluster1	up
hsa-mir-378f	LRAcluster1	up
hsa-mir-6132	LRAcluster1	up
hsa-mir-4482	LRAcluster1	up
hsa-mir-6755	LRAcluster1	up
hsa-mir-383	LRAcluster1	up
hsa-mir-128-2	LRAcluster1	up
hsa-mir-32	LRAcluster1	up
hsa-mir-4781	LRAcluster1	up
hsa-mir-548ar	LRAcluster1	up
hsa-mir-4740	LRAcluster1	up
hsa-mir-520c	LRAcluster1	up
hsa-mir-6718	LRAcluster1	up
hsa-mir-7976	LRAcluster1	up
hsa-mir-132	LRAcluster1	up
hsa-mir-128-1	LRAcluster1	up
hsa-mir-4794	LRAcluster1	up
hsa-mir-3164	LRAcluster1	up
hsa-mir-6753	LRAcluster1	up
hsa-mir-523	LRAcluster1	up
hsa-mir-6865	LRAcluster1	up
hsa-mir-3159	LRAcluster1	up
hsa-mir-4778	LRAcluster1	up
hsa-mir-519e	LRAcluster1	up
hsa-mir-4504	LRAcluster1	up
hsa-mir-4464	LRAcluster1	up
hsa-mir-2113	LRAcluster1	up
hsa-mir-6835	LRAcluster1	up
hsa-mir-4761	LRAcluster1	up
hsa-mir-4539	LRAcluster1	up
hsa-mir-6876	LRAcluster1	up
hsa-mir-4322	LRAcluster1	up
hsa-mir-510	LRAcluster1	up
hsa-mir-548ac	LRAcluster1	up
hsa-mir-4295	LRAcluster1	up
