probe	class	dirct
hsa-mir-146b	MDICC1	down
hsa-mir-1304	MDICC1	down
hsa-mir-5690	MDICC1	down
hsa-mir-452	MDICC1	down
hsa-mir-5002	MDICC1	down
hsa-mir-934	MDICC1	down
hsa-mir-660	MDICC1	down
hsa-mir-500a	MDICC1	down
hsa-mir-4999	MDICC1	down
hsa-mir-224	MDICC1	down
hsa-mir-3682	MDICC1	down
hsa-mir-374a	MDICC1	down
hsa-mir-6854	MDICC1	down
hsa-mir-155	MDICC1	down
hsa-mir-4482	MDICC1	down
hsa-mir-137	MDICC1	down
hsa-mir-18a	MDICC1	down
hsa-mir-500b	MDICC1	down
hsa-mir-4777	MDICC1	down
hsa-mir-146a	MDICC1	down
hsa-mir-4434	MDICC1	down
hsa-mir-221	MDICC1	down
hsa-mir-6715b	MDICC1	down
hsa-mir-521-2	MDICC1	down
hsa-mir-889	MDICC1	down
hsa-mir-217	MDICC1	down
hsa-mir-223	MDICC1	down
hsa-mir-20a	MDICC1	down
hsa-mir-1295a	MDICC1	down
hsa-mir-4632	MDICC1	down
hsa-mir-140	MDICC1	down
hsa-mir-588	MDICC1	down
hsa-mir-4744	MDICC1	down
hsa-mir-6505	MDICC1	down
hsa-mir-892a	MDICC1	down
hsa-mir-1283-1	MDICC1	down
hsa-mir-4420	MDICC1	down
hsa-mir-4688	MDICC1	down
hsa-mir-3657	MDICC1	down
hsa-mir-3142	MDICC1	down
hsa-mir-510	MDICC1	down
hsa-mir-448	MDICC1	down
hsa-mir-2113	MDICC1	down
hsa-mir-3171	MDICC1	down
hsa-mir-3201	MDICC1	down
hsa-mir-548aj-1	MDICC1	down
hsa-mir-548am	MDICC1	down
hsa-mir-7856	MDICC1	down
hsa-mir-8076	MDICC1	down
hsa-mir-6088	MDICC1	down
hsa-mir-4506	MDICC1	down
hsa-mir-892c	MDICC1	down
hsa-mir-190b	MDICC2	down
hsa-mir-149	MDICC2	down
hsa-mir-328	MDICC2	down
hsa-mir-125a	MDICC2	down
hsa-mir-5694	MDICC2	down
hsa-mir-1266	MDICC2	down
hsa-mir-331	MDICC2	down
hsa-mir-342	MDICC2	down
hsa-mir-3607	MDICC2	down
hsa-mir-99b	MDICC2	down
hsa-mir-30b	MDICC2	down
hsa-mir-628	MDICC2	down
hsa-mir-148b	MDICC2	down
