probe	class	dirct
hsa-mir-190b	MDICC1	up
hsa-mir-149	MDICC1	up
hsa-mir-328	MDICC1	up
hsa-mir-125a	MDICC1	up
hsa-mir-5694	MDICC1	up
hsa-mir-1266	MDICC1	up
hsa-mir-331	MDICC1	up
hsa-mir-342	MDICC1	up
hsa-mir-3607	MDICC1	up
hsa-mir-99b	MDICC1	up
hsa-mir-30b	MDICC1	up
hsa-mir-628	MDICC1	up
hsa-mir-148b	MDICC1	up
hsa-mir-146b	MDICC2	up
hsa-mir-1304	MDICC2	up
hsa-mir-5690	MDICC2	up
hsa-mir-452	MDICC2	up
hsa-mir-5002	MDICC2	up
hsa-mir-934	MDICC2	up
hsa-mir-660	MDICC2	up
hsa-mir-500a	MDICC2	up
hsa-mir-4999	MDICC2	up
hsa-mir-224	MDICC2	up
hsa-mir-3682	MDICC2	up
hsa-mir-374a	MDICC2	up
hsa-mir-6854	MDICC2	up
hsa-mir-155	MDICC2	up
hsa-mir-4482	MDICC2	up
hsa-mir-137	MDICC2	up
hsa-mir-18a	MDICC2	up
hsa-mir-500b	MDICC2	up
hsa-mir-4777	MDICC2	up
hsa-mir-146a	MDICC2	up
hsa-mir-4434	MDICC2	up
hsa-mir-221	MDICC2	up
hsa-mir-6715b	MDICC2	up
hsa-mir-521-2	MDICC2	up
hsa-mir-889	MDICC2	up
hsa-mir-217	MDICC2	up
hsa-mir-223	MDICC2	up
hsa-mir-20a	MDICC2	up
hsa-mir-1295a	MDICC2	up
hsa-mir-4632	MDICC2	up
hsa-mir-140	MDICC2	up
hsa-mir-588	MDICC2	up
hsa-mir-4744	MDICC2	up
hsa-mir-6505	MDICC2	up
hsa-mir-892a	MDICC2	up
hsa-mir-1283-1	MDICC2	up
hsa-mir-4420	MDICC2	up
hsa-mir-4688	MDICC2	up
hsa-mir-3657	MDICC2	up
hsa-mir-3142	MDICC2	up
hsa-mir-510	MDICC2	up
hsa-mir-448	MDICC2	up
hsa-mir-2113	MDICC2	up
hsa-mir-3171	MDICC2	up
hsa-mir-3201	MDICC2	up
hsa-mir-548aj-1	MDICC2	up
hsa-mir-548am	MDICC2	up
hsa-mir-7856	MDICC2	up
hsa-mir-8076	MDICC2	up
hsa-mir-6088	MDICC2	up
hsa-mir-4506	MDICC2	up
hsa-mir-892c	MDICC2	up
