probe	class	dirct
hsa-mir-210	MFA1	down
hsa-mir-301a	MFA1	down
hsa-mir-3200	MFA1	down
hsa-mir-130b	MFA1	down
hsa-mir-324	MFA1	down
hsa-mir-301b	MFA1	down
hsa-mir-1301	MFA1	down
hsa-mir-1306	MFA1	down
hsa-mir-1307	MFA1	down
hsa-mir-454	MFA1	down
hsa-mir-345	MFA1	down
hsa-mir-590	MFA1	down
hsa-mir-33a	MFA1	down
hsa-mir-197	MFA1	down
hsa-mir-616	MFA1	down
hsa-mir-877	MFA1	down
hsa-mir-188	MFA1	down
hsa-mir-937	MFA1	down
hsa-mir-1226	MFA1	down
hsa-mir-4664	MFA1	down
hsa-mir-940	MFA1	down
hsa-mir-33b	MFA1	down
hsa-mir-505	MFA1	down
hsa-mir-4766	MFA1	down
hsa-mir-671	MFA1	down
hsa-mir-1229	MFA1	down
hsa-mir-484	MFA1	down
hsa-mir-186	MFA1	down
hsa-mir-3928	MFA1	down
hsa-mir-576	MFA1	down
hsa-mir-1277	MFA1	down
hsa-let-7d	MFA1	down
hsa-mir-636	MFA1	down
hsa-mir-3074	MFA1	down
hsa-mir-7706	MFA1	down
hsa-mir-328	MFA1	down
hsa-mir-4638	MFA1	down
hsa-mir-3677	MFA1	down
hsa-mir-19a	MFA1	down
hsa-mir-769	MFA1	down
hsa-mir-148b	MFA1	down
hsa-mir-744	MFA1	down
hsa-mir-106b	MFA1	down
hsa-mir-2277	MFA1	down
hsa-mir-7112	MFA1	down
hsa-mir-455	MFA1	down
hsa-mir-3664	MFA1	down
hsa-mir-331	MFA1	down
hsa-mir-3619	MFA1	down
hsa-mir-6783	MFA1	down
hsa-mir-550a-1	MFA1	down
hsa-mir-3940	MFA1	down
hsa-mir-579	MFA1	down
hsa-mir-939	MFA1	down
hsa-mir-423	MFA1	down
hsa-mir-339	MFA1	down
hsa-mir-16-2	MFA1	down
hsa-mir-4677	MFA1	down
hsa-mir-16-1	MFA1	down
hsa-mir-942	MFA1	down
hsa-mir-4742	MFA1	down
hsa-mir-15b	MFA1	down
hsa-mir-4665	MFA1	down
hsa-mir-4640	MFA1	down
hsa-mir-93	MFA1	down
hsa-mir-501	MFA1	down
hsa-mir-4787	MFA1	down
hsa-mir-1254-2	MFA1	down
hsa-mir-19b-1	MFA1	down
hsa-mir-1343	MFA1	down
hsa-mir-3605	MFA1	down
hsa-mir-1910	MFA1	down
hsa-mir-550a-2	MFA1	down
hsa-mir-760	MFA1	down
hsa-mir-4674	MFA1	down
hsa-mir-545	MFA1	down
hsa-mir-4745	MFA1	down
hsa-mir-6844	MFA1	down
hsa-mir-1224	MFA1	down
