probe	class	dirct
hsa-let-7c	MFA1	up
hsa-mir-99a	MFA1	up
hsa-mir-100	MFA1	up
hsa-mir-379	MFA1	up
hsa-mir-381	MFA1	up
hsa-mir-10b	MFA1	up
hsa-mir-139	MFA1	up
hsa-mir-218-1	MFA1	up
hsa-mir-218-2	MFA1	up
hsa-mir-758	MFA1	up
hsa-mir-195	MFA1	up
hsa-mir-410	MFA1	up
hsa-mir-125b-2	MFA1	up
hsa-mir-411	MFA1	up
hsa-mir-125b-1	MFA1	up
hsa-mir-432	MFA1	up
hsa-mir-204	MFA1	up
hsa-mir-1258	MFA1	up
hsa-mir-127	MFA1	up
hsa-mir-542	MFA1	up
hsa-mir-377	MFA1	up
hsa-mir-889	MFA1	up
hsa-mir-26a-1	MFA1	up
hsa-mir-26a-2	MFA1	up
hsa-mir-101-2	MFA1	up
hsa-mir-382	MFA1	up
hsa-mir-101-1	MFA1	up
hsa-mir-143	MFA1	up
hsa-let-7a-2	MFA1	up
hsa-mir-496	MFA1	up
hsa-let-7a-1	MFA1	up
hsa-let-7a-3	MFA1	up
hsa-mir-487b	MFA1	up
hsa-mir-337	MFA1	up
hsa-mir-3926-2	MFA1	up
hsa-mir-299	MFA1	up
hsa-mir-34c	MFA1	up
hsa-mir-10a	MFA1	up
hsa-mir-655	MFA1	up
hsa-mir-140	MFA1	up
hsa-mir-369	MFA1	up
hsa-mir-1247	MFA1	up
hsa-mir-202	MFA1	up
hsa-mir-656	MFA1	up
hsa-mir-29a	MFA1	up
hsa-mir-654	MFA1	up
hsa-mir-431	MFA1	up
hsa-mir-1245a	MFA1	up
hsa-mir-370	MFA1	up
hsa-mir-214	MFA1	up
hsa-mir-3926-1	MFA1	up
hsa-mir-944	MFA1	up
hsa-mir-495	MFA1	up
hsa-mir-5683	MFA1	up
hsa-mir-30a	MFA1	up
hsa-let-7f-1	MFA1	up
hsa-mir-199a-1	MFA1	up
hsa-let-7f-2	MFA1	up
hsa-mir-1-1	MFA1	up
hsa-mir-409	MFA1	up
hsa-mir-380	MFA1	up
hsa-mir-541	MFA1	up
hsa-mir-29c	MFA1	up
hsa-mir-1-2	MFA1	up
hsa-mir-154	MFA1	up
hsa-let-7b	MFA1	up
hsa-mir-376c	MFA1	up
hsa-mir-199a-2	MFA1	up
hsa-mir-485	MFA1	up
hsa-mir-543	MFA1	up
hsa-mir-1262	MFA1	up
hsa-mir-184	MFA1	up
hsa-mir-450b	MFA1	up
hsa-mir-493	MFA1	up
hsa-mir-134	MFA1	up
hsa-mir-4491	MFA1	up
hsa-mir-494	MFA1	up
hsa-mir-483	MFA1	up
hsa-mir-21	MFA1	up
hsa-mir-1185-1	MFA1	up
hsa-mir-5586	MFA1	up
hsa-mir-488	MFA1	up
hsa-mir-150	MFA1	up
hsa-mir-199b	MFA1	up
hsa-mir-145	MFA1	up
hsa-mir-374a	MFA1	up
hsa-mir-217	MFA1	up
hsa-mir-22	MFA1	up
hsa-mir-433	MFA1	up
hsa-mir-4709	MFA1	up
hsa-mir-487a	MFA1	up
hsa-mir-376a-1	MFA1	up
hsa-mir-152	MFA1	up
hsa-mir-329-2	MFA1	up
hsa-mir-6507	MFA1	up
hsa-mir-625	MFA1	up
hsa-mir-144	MFA1	up
hsa-mir-412	MFA1	up
hsa-mir-205	MFA1	up
hsa-mir-329-1	MFA1	up
hsa-mir-33b	MFA2	up
hsa-mir-4724	MFA2	up
hsa-mir-193b	MFA2	up
hsa-mir-191	MFA2	up
hsa-mir-99b	MFA2	up
hsa-mir-148b	MFA2	up
hsa-mir-331	MFA2	up
hsa-mir-149	MFA2	up
hsa-mir-887	MFA2	up
hsa-mir-328	MFA2	up
hsa-mir-339	MFA2	up
hsa-mir-423	MFA2	up
hsa-mir-125a	MFA2	up
hsa-mir-484	MFA2	up
hsa-mir-4668	MFA2	up
hsa-mir-5694	MFA2	up
hsa-mir-365a	MFA2	up
hsa-mir-365b	MFA2	up
hsa-mir-4756	MFA2	up
hsa-mir-760	MFA2	up
hsa-mir-3607	MFA2	up
hsa-mir-3678	MFA2	up
hsa-mir-769	MFA2	up
hsa-mir-375	MFA2	up
hsa-mir-1251	MFA2	up
hsa-mir-4714	MFA2	up
hsa-mir-4638	MFA2	up
hsa-mir-425	MFA2	up
hsa-mir-30b	MFA2	up
hsa-mir-3677	MFA2	up
hsa-mir-342	MFA2	up
hsa-mir-592	MFA2	up
hsa-mir-4758	MFA2	up
hsa-mir-29b-2	MFA2	up
hsa-mir-4742	MFA2	up
hsa-mir-7-1	MFA2	up
hsa-mir-628	MFA2	up
hsa-mir-642a	MFA2	up
hsa-mir-615	MFA2	up
hsa-mir-141	MFA2	up
hsa-mir-1266	MFA2	up
