probe	class	dirct
hsa-mir-18a	MOFA1	down
hsa-mir-505	MOFA1	down
hsa-mir-188	MOFA1	down
hsa-mir-17	MOFA1	down
hsa-mir-106b	MOFA1	down
hsa-mir-301b	MOFA1	down
hsa-mir-130b	MOFA1	down
hsa-mir-590	MOFA1	down
hsa-mir-197	MOFA1	down
hsa-mir-877	MOFA1	down
hsa-mir-210	MOFA1	down
hsa-mir-3200	MOFA1	down
hsa-mir-4664	MOFA1	down
hsa-mir-9-3	MOFA1	down
hsa-mir-9-1	MOFA1	down
hsa-mir-9-2	MOFA1	down
hsa-mir-1307	MOFA1	down
hsa-mir-324	MOFA1	down
hsa-mir-7112	MOFA1	down
hsa-mir-33a	MOFA1	down
hsa-mir-532	MOFA1	down
hsa-mir-105-1	MOFA1	down
hsa-mir-6728	MOFA1	down
hsa-mir-92a-1	MOFA1	down
hsa-mir-92a-2	MOFA1	down
hsa-mir-942	MOFA1	down
hsa-mir-301a	MOFA1	down
hsa-mir-455	MOFA1	down
hsa-mir-519a-2	MOFA1	down
hsa-mir-579	MOFA1	down
hsa-mir-940	MOFA1	down
hsa-mir-522	MOFA1	down
hsa-mir-4766	MOFA1	down
hsa-mir-20a	MOFA1	down
hsa-mir-570	MOFA1	down
hsa-mir-1306	MOFA1	down
hsa-mir-224	MOFA1	down
hsa-mir-1301	MOFA1	down
hsa-mir-671	MOFA1	down
hsa-mir-105-2	MOFA1	down
hsa-mir-19a	MOFA1	down
hsa-mir-502	MOFA1	down
hsa-mir-548d-1	MOFA1	down
hsa-mir-6832	MOFA1	down
hsa-mir-345	MOFA1	down
hsa-mir-93	MOFA1	down
hsa-mir-4661	MOFA1	down
hsa-mir-3677	MOFA1	down
hsa-mir-500b	MOFA1	down
hsa-mir-7974	MOFA1	down
hsa-mir-516a-2	MOFA1	down
hsa-mir-24-1	MOFA1	down
hsa-mir-501	MOFA1	down
hsa-mir-24-2	MOFA1	down
hsa-mir-767	MOFA1	down
hsa-mir-6783	MOFA1	down
hsa-mir-937	MOFA1	down
hsa-mir-1276	MOFA1	down
hsa-mir-1226	MOFA1	down
hsa-mir-3682	MOFA1	down
hsa-mir-362	MOFA1	down
hsa-mir-769	MOFA1	down
hsa-mir-4787	MOFA1	down
hsa-mir-500a	MOFA1	down
hsa-mir-545	MOFA1	down
hsa-mir-1915	MOFA1	down
hsa-mir-548f-1	MOFA1	down
hsa-mir-616	MOFA1	down
hsa-mir-636	MOFA1	down
hsa-mir-18b	MOFA1	down
hsa-mir-4677	MOFA1	down
hsa-mir-3651	MOFA1	down
hsa-mir-219b	MOFA1	down
hsa-mir-5699	MOFA1	down
hsa-mir-766	MOFA1	down
hsa-mir-548b	MOFA1	down
hsa-mir-3680-1	MOFA1	down
hsa-mir-421	MOFA1	down
hsa-mir-15b	MOFA1	down
hsa-mir-3137	MOFA1	down
hsa-mir-5002	MOFA1	down
hsa-mir-3664	MOFA1	down
hsa-mir-939	MOFA1	down
hsa-mir-576	MOFA1	down
hsa-mir-5092	MOFA1	down
hsa-mir-4652	MOFA1	down
hsa-mir-3136	MOFA1	down
hsa-mir-6814	MOFA1	down
hsa-mir-1277	MOFA1	down
hsa-mir-4665	MOFA1	down
hsa-mir-3680-2	MOFA1	down
hsa-mir-454	MOFA1	down
hsa-mir-527	MOFA1	down
hsa-mir-3662	MOFA1	down
hsa-mir-6798	MOFA1	down
hsa-mir-1296	MOFA1	down
hsa-mir-518e	MOFA1	down
hsa-mir-7706	MOFA1	down
hsa-mir-1292	MOFA1	down
hsa-mir-5582	MOFA1	down
hsa-mir-190b	MOFA2	down
hsa-mir-10b	MOFA2	down
hsa-mir-29c	MOFA2	down
hsa-mir-10a	MOFA2	down
hsa-mir-375	MOFA2	down
hsa-mir-5694	MOFA2	down
hsa-mir-342	MOFA2	down
hsa-mir-625	MOFA2	down
hsa-mir-664a	MOFA2	down
hsa-mir-149	MOFA2	down
hsa-let-7a-1	MOFA2	down
hsa-let-7a-3	MOFA2	down
hsa-let-7a-2	MOFA2	down
hsa-mir-5691	MOFA2	down
hsa-mir-101-2	MOFA2	down
hsa-mir-101-1	MOFA2	down
hsa-mir-365a	MOFA2	down
hsa-mir-365b	MOFA2	down
hsa-mir-26a-2	MOFA2	down
hsa-mir-26a-1	MOFA2	down
hsa-mir-337	MOFA2	down
hsa-mir-127	MOFA2	down
hsa-mir-449a	MOFA2	down
hsa-mir-487b	MOFA2	down
hsa-mir-758	MOFA2	down
hsa-mir-409	MOFA2	down
hsa-mir-4446	MOFA2	down
hsa-mir-184	MOFA2	down
hsa-mir-382	MOFA2	down
hsa-mir-653	MOFA2	down
hsa-mir-379	MOFA2	down
hsa-mir-26b	MOFA2	down
hsa-mir-431	MOFA2	down
hsa-let-7b	MOFA2	down
hsa-mir-887	MOFA2	down
hsa-mir-654	MOFA2	down
hsa-mir-3678	MOFA2	down
hsa-mir-125a	MOFA2	down
hsa-mir-134	MOFA2	down
hsa-mir-493	MOFA2	down
hsa-mir-370	MOFA2	down
hsa-mir-199a-1	MOFA2	down
hsa-mir-218-2	MOFA2	down
hsa-mir-410	MOFA2	down
hsa-mir-193a	MOFA2	down
hsa-let-7e	MOFA2	down
hsa-mir-432	MOFA2	down
hsa-mir-193b	MOFA2	down
hsa-mir-655	MOFA2	down
hsa-mir-433	MOFA2	down
hsa-mir-218-1	MOFA2	down
hsa-mir-199a-2	MOFA2	down
hsa-mir-889	MOFA2	down
hsa-mir-369	MOFA2	down
hsa-mir-449b	MOFA2	down
hsa-mir-202	MOFA2	down
hsa-mir-34c	MOFA2	down
hsa-mir-1247	MOFA2	down
hsa-mir-642a	MOFA2	down
hsa-mir-618	MOFA2	down
hsa-mir-381	MOFA2	down
hsa-mir-191	MOFA2	down
hsa-mir-411	MOFA2	down
hsa-mir-21	MOFA2	down
hsa-mir-135a-2	MOFA2	down
hsa-mir-199b	MOFA2	down
hsa-mir-495	MOFA2	down
hsa-mir-2115	MOFA2	down
hsa-mir-29b-2	MOFA2	down
hsa-mir-3190	MOFA2	down
hsa-mir-4756	MOFA2	down
hsa-mir-539	MOFA2	down
hsa-mir-152	MOFA2	down
hsa-mir-3926-2	MOFA2	down
hsa-mir-299	MOFA2	down
hsa-mir-496	MOFA2	down
hsa-mir-1266	MOFA2	down
hsa-mir-145	MOFA2	down
hsa-mir-154	MOFA2	down
hsa-mir-4501	MOFA2	down
hsa-mir-664b	MOFA2	down
hsa-mir-214	MOFA2	down
hsa-mir-182	MOFA2	down
hsa-mir-22	MOFA2	down
hsa-mir-153-2	MOFA2	down
hsa-mir-34a	MOFA2	down
hsa-mir-4790	MOFA2	down
hsa-mir-449c	MOFA2	down
hsa-mir-153-1	MOFA2	down
hsa-mir-1258	MOFA2	down
hsa-mir-1-2	MOFA2	down
hsa-mir-377	MOFA2	down
hsa-mir-935	MOFA2	down
hsa-mir-103a-1	MOFA2	down
hsa-mir-103a-2	MOFA2	down
hsa-mir-135a-1	MOFA2	down
hsa-mir-1245a	MOFA2	down
hsa-mir-3913-1	MOFA2	down
hsa-mir-100	MOFA2	down
hsa-mir-335	MOFA2	down
hsa-mir-204	MOFA3	down
hsa-mir-6510	MOFA3	down
hsa-let-7c	MOFA3	down
hsa-mir-223	MOFA3	down
hsa-mir-29a	MOFA3	down
hsa-mir-190a	MOFA3	down
hsa-mir-30c-2	MOFA3	down
hsa-mir-3622a	MOFA3	down
hsa-mir-205	MOFA3	down
hsa-mir-30e	MOFA3	down
hsa-mir-6717	MOFA3	down
hsa-mir-598	MOFA3	down
hsa-mir-5588	MOFA3	down
hsa-let-7i	MOFA3	down
hsa-mir-217	MOFA3	down
hsa-mir-378c	MOFA3	down
hsa-mir-181d	MOFA3	down
