probe	class	dirct
hsa-mir-139	MOFA1	up
hsa-mir-101-2	MOFA1	up
hsa-mir-101-1	MOFA1	up
hsa-mir-195	MOFA1	up
hsa-mir-29c	MOFA1	up
hsa-mir-10b	MOFA1	up
hsa-let-7a-2	MOFA1	up
hsa-let-7a-1	MOFA1	up
hsa-let-7a-3	MOFA1	up
hsa-mir-30a	MOFA1	up
hsa-mir-218-2	MOFA1	up
hsa-let-7b	MOFA1	up
hsa-mir-218-1	MOFA1	up
hsa-mir-10a	MOFA1	up
hsa-mir-1-1	MOFA1	up
hsa-mir-342	MOFA1	up
hsa-mir-5694	MOFA1	up
hsa-mir-26a-1	MOFA1	up
hsa-mir-34c	MOFA1	up
hsa-mir-337	MOFA1	up
hsa-mir-26a-2	MOFA1	up
hsa-mir-5691	MOFA1	up
hsa-mir-1-2	MOFA1	up
hsa-mir-204	MOFA1	up
hsa-mir-625	MOFA1	up
hsa-mir-202	MOFA1	up
hsa-mir-100	MOFA1	up
hsa-mir-664a	MOFA1	up
hsa-mir-26b	MOFA1	up
hsa-mir-145	MOFA1	up
hsa-let-7c	MOFA1	up
hsa-mir-29a	MOFA1	up
hsa-mir-379	MOFA1	up
hsa-mir-497	MOFA1	up
hsa-mir-30c-2	MOFA1	up
hsa-mir-99a	MOFA1	up
hsa-mir-382	MOFA1	up
hsa-mir-410	MOFA1	up
hsa-mir-5683	MOFA1	up
hsa-mir-184	MOFA1	up
hsa-mir-432	MOFA1	up
hsa-mir-135a-2	MOFA1	up
hsa-mir-381	MOFA1	up
hsa-mir-409	MOFA1	up
hsa-mir-758	MOFA1	up
hsa-mir-487b	MOFA1	up
hsa-mir-944	MOFA1	up
hsa-mir-190a	MOFA1	up
hsa-mir-127	MOFA1	up
hsa-mir-1258	MOFA1	up
hsa-mir-542	MOFA1	up
hsa-mir-1247	MOFA1	up
hsa-mir-4790	MOFA1	up
hsa-mir-377	MOFA1	up
hsa-mir-496	MOFA1	up
hsa-mir-143	MOFA1	up
hsa-mir-431	MOFA1	up
hsa-mir-199a-1	MOFA1	up
hsa-mir-125b-1	MOFA1	up
hsa-mir-125b-2	MOFA1	up
hsa-mir-1245a	MOFA1	up
hsa-mir-495	MOFA1	up
hsa-mir-889	MOFA1	up
hsa-mir-34b	MOFA1	up
hsa-mir-135a-1	MOFA1	up
hsa-mir-411	MOFA1	up
hsa-mir-653	MOFA1	up
hsa-mir-655	MOFA1	up
hsa-mir-29b-2	MOFA1	up
hsa-mir-182	MOFA1	up
hsa-mir-30c-1	MOFA1	up
hsa-mir-369	MOFA1	up
hsa-mir-494	MOFA1	up
hsa-mir-654	MOFA1	up
hsa-mir-199a-2	MOFA1	up
hsa-mir-3926-2	MOFA1	up
hsa-mir-3912	MOFA1	up
hsa-mir-299	MOFA1	up
hsa-mir-154	MOFA1	up
hsa-mir-4709	MOFA1	up
hsa-let-7f-1	MOFA1	up
hsa-mir-153-2	MOFA1	up
hsa-let-7f-2	MOFA1	up
hsa-mir-370	MOFA1	up
hsa-mir-483	MOFA1	up
hsa-mir-205	MOFA1	up
hsa-mir-144	MOFA1	up
hsa-mir-134	MOFA1	up
hsa-mir-618	MOFA1	up
hsa-mir-450b	MOFA1	up
hsa-mir-1262	MOFA1	up
hsa-mir-656	MOFA1	up
hsa-mir-376a-1	MOFA1	up
hsa-mir-6733	MOFA1	up
hsa-mir-199b	MOFA1	up
hsa-mir-153-1	MOFA1	up
hsa-mir-5586	MOFA1	up
hsa-mir-1185-1	MOFA1	up
hsa-mir-214	MOFA1	up
hsa-mir-433	MOFA1	up
hsa-mir-934	MOFA2	up
hsa-mir-577	MOFA2	up
hsa-mir-18a	MOFA2	up
hsa-mir-135b	MOFA2	up
hsa-mir-17	MOFA2	up
hsa-mir-505	MOFA2	up
hsa-mir-519a-1	MOFA2	up
hsa-mir-455	MOFA2	up
hsa-mir-19a	MOFA2	up
hsa-mir-20a	MOFA2	up
hsa-mir-516a-1	MOFA2	up
hsa-mir-6499	MOFA2	up
hsa-mir-19b-1	MOFA2	up
hsa-mir-584	MOFA2	up
hsa-mir-92a-1	MOFA2	up
hsa-mir-522	MOFA2	up
hsa-mir-92a-2	MOFA2	up
hsa-mir-519a-2	MOFA2	up
hsa-mir-516a-2	MOFA2	up
hsa-mir-224	MOFA2	up
hsa-mir-19b-2	MOFA2	up
hsa-mir-7112	MOFA2	up
hsa-mir-188	MOFA2	up
hsa-mir-106b	MOFA2	up
hsa-mir-197	MOFA2	up
hsa-mir-138-2	MOFA2	up
hsa-mir-9-1	MOFA2	up
hsa-mir-452	MOFA2	up
hsa-mir-9-3	MOFA2	up
hsa-mir-9-2	MOFA2	up
hsa-mir-130b	MOFA2	up
hsa-mir-4780	MOFA2	up
hsa-mir-590	MOFA2	up
hsa-mir-548ao	MOFA2	up
hsa-mir-877	MOFA2	up
hsa-mir-6728	MOFA2	up
hsa-mir-301b	MOFA2	up
hsa-mir-138-1	MOFA2	up
hsa-mir-532	MOFA2	up
hsa-mir-186	MOFA2	up
hsa-mir-5002	MOFA2	up
hsa-mir-500a	MOFA2	up
hsa-mir-942	MOFA2	up
hsa-mir-500b	MOFA2	up
hsa-mir-4665	MOFA2	up
hsa-mir-502	MOFA2	up
hsa-mir-24-2	MOFA2	up
hsa-mir-24-1	MOFA2	up
hsa-mir-548d-1	MOFA2	up
hsa-mir-6720	MOFA2	up
hsa-mir-579	MOFA2	up
hsa-mir-3682	MOFA2	up
hsa-mir-93	MOFA2	up
hsa-mir-576	MOFA2	up
hsa-mir-548s	MOFA2	up
hsa-mir-548b	MOFA2	up
hsa-mir-518e	MOFA2	up
hsa-mir-1304	MOFA2	up
hsa-mir-378a	MOFA2	up
hsa-mir-548f-1	MOFA2	up
hsa-mir-1283-1	MOFA2	up
hsa-mir-222	MOFA2	up
hsa-mir-4766	MOFA2	up
hsa-mir-501	MOFA2	up
hsa-mir-105-1	MOFA2	up
hsa-mir-551a	MOFA2	up
hsa-mir-4787	MOFA2	up
hsa-mir-6783	MOFA2	up
hsa-mir-6832	MOFA2	up
hsa-mir-105-2	MOFA2	up
hsa-mir-767	MOFA2	up
hsa-mir-324	MOFA2	up
hsa-mir-1468	MOFA2	up
hsa-let-7d	MOFA2	up
hsa-mir-5699	MOFA2	up
hsa-mir-1915	MOFA2	up
hsa-mir-570	MOFA2	up
hsa-mir-362	MOFA2	up
hsa-mir-4677	MOFA2	up
hsa-mir-588	MOFA2	up
hsa-mir-1283-2	MOFA2	up
hsa-mir-885	MOFA2	up
hsa-mir-1307	MOFA2	up
hsa-mir-6820	MOFA2	up
hsa-mir-6814	MOFA2	up
hsa-mir-1301	MOFA2	up
hsa-mir-527	MOFA2	up
hsa-mir-520b	MOFA2	up
hsa-mir-4431	MOFA2	up
hsa-mir-6744	MOFA2	up
hsa-mir-3145	MOFA2	up
hsa-mir-1306	MOFA2	up
hsa-mir-660	MOFA2	up
hsa-mir-548d-2	MOFA2	up
hsa-mir-559	MOFA2	up
hsa-mir-7156	MOFA2	up
hsa-mir-3622a	MOFA2	up
hsa-mir-873	MOFA2	up
hsa-mir-4999	MOFA2	up
hsa-mir-6807	MOFA2	up
hsa-mir-193b	MOFA3	up
hsa-mir-3677	MOFA3	up
hsa-mir-4446	MOFA3	up
hsa-mir-615	MOFA3	up
hsa-mir-940	MOFA3	up
hsa-mir-33b	MOFA3	up
hsa-mir-4728	MOFA3	up
hsa-mir-4756	MOFA3	up
hsa-mir-4501	MOFA3	up
hsa-mir-196a-1	MOFA3	up
hsa-mir-196a-2	MOFA3	up
hsa-mir-149	MOFA3	up
hsa-mir-425	MOFA3	up
hsa-mir-887	MOFA3	up
hsa-mir-365a	MOFA3	up
hsa-mir-365b	MOFA3	up
hsa-mir-3150b	MOFA3	up
hsa-mir-99b	MOFA3	up
hsa-mir-193a	MOFA3	up
hsa-mir-4652	MOFA3	up
hsa-mir-107	MOFA3	up
hsa-mir-4724	MOFA3	up
hsa-mir-7705	MOFA3	up
hsa-mir-3191	MOFA3	up
hsa-mir-5684	MOFA3	up
hsa-mir-935	MOFA3	up
hsa-mir-151a	MOFA3	up
hsa-mir-449a	MOFA3	up
hsa-mir-4707	MOFA3	up
hsa-mir-339	MOFA3	up
hsa-mir-454	MOFA3	up
hsa-mir-4793	MOFA3	up
