probe	class	dirct
hsa-mir-190b	MONET1	down
hsa-mir-5694	MONET1	down
hsa-mir-375	MONET1	down
hsa-mir-10a	MONET1	down
hsa-mir-342	MONET1	down
hsa-mir-125a	MONET1	down
hsa-let-7a-3	MONET1	down
hsa-let-7a-1	MONET1	down
hsa-mir-29c	MONET1	down
hsa-let-7b	MONET1	down
hsa-mir-10b	MONET1	down
hsa-mir-5691	MONET1	down
hsa-mir-664a	MONET1	down
hsa-mir-337	MONET1	down
hsa-mir-365a	MONET1	down
hsa-mir-365b	MONET1	down
hsa-let-7e	MONET1	down
hsa-mir-182	MONET1	down
hsa-mir-139	MONET1	down
hsa-mir-34c	MONET1	down
hsa-mir-30c-2	MONET1	down
hsa-mir-449a	MONET1	down
hsa-mir-184	MONET1	down
hsa-mir-625	MONET1	down
hsa-mir-653	MONET1	down
hsa-mir-26b	MONET1	down
hsa-mir-191	MONET1	down
hsa-mir-409	MONET1	down
hsa-mir-3678	MONET1	down
hsa-mir-30c-1	MONET1	down
hsa-mir-135a-2	MONET1	down
hsa-mir-431	MONET1	down
hsa-mir-449b	MONET1	down
hsa-mir-193a	MONET1	down
hsa-mir-493	MONET1	down
hsa-mir-3190	MONET1	down
hsa-mir-145	MONET1	down
hsa-mir-1266	MONET1	down
hsa-mir-654	MONET1	down
hsa-mir-135a-1	MONET1	down
hsa-mir-199a-1	MONET1	down
hsa-mir-487b	MONET1	down
hsa-mir-539	MONET1	down
hsa-mir-664b	MONET1	down
hsa-mir-193b	MONET1	down
hsa-mir-134	MONET1	down
hsa-mir-202	MONET1	down
hsa-mir-433	MONET1	down
hsa-mir-483	MONET1	down
hsa-mir-642a	MONET1	down
hsa-mir-370	MONET1	down
hsa-mir-497	MONET1	down
hsa-mir-34b	MONET1	down
hsa-mir-92b	MONET1	down
hsa-mir-153-2	MONET1	down
hsa-mir-618	MONET1	down
hsa-mir-199a-2	MONET1	down
hsa-mir-4790	MONET1	down
hsa-mir-30d	MONET1	down
hsa-mir-152	MONET1	down
hsa-mir-5684	MONET1	down
hsa-mir-29b-2	MONET1	down
hsa-mir-1251	MONET1	down
hsa-mir-4668	MONET1	down
hsa-mir-3156-2	MONET1	down
hsa-mir-103a-1	MONET1	down
hsa-mir-153-1	MONET1	down
hsa-mir-103a-2	MONET1	down
hsa-mir-4675	MONET1	down
hsa-mir-3913-1	MONET1	down
hsa-mir-449c	MONET1	down
hsa-mir-3156-1	MONET1	down
hsa-mir-499a	MONET1	down
hsa-mir-2114	MONET1	down
hsa-mir-3156-3	MONET1	down
hsa-mir-4714	MONET1	down
hsa-mir-199b	MONET1	down
hsa-mir-3607	MONET1	down
hsa-mir-3178	MONET1	down
hsa-mir-338	MONET1	down
hsa-mir-3065	MONET1	down
hsa-mir-3912	MONET1	down
hsa-mir-200b	MONET1	down
hsa-mir-6788	MONET1	down
hsa-mir-96	MONET1	down
hsa-mir-4680	MONET1	down
hsa-mir-335	MONET1	down
hsa-mir-34a	MONET1	down
hsa-mir-200a	MONET1	down
hsa-mir-22	MONET1	down
hsa-mir-874	MONET1	down
hsa-mir-376a-1	MONET1	down
hsa-mir-3913-2	MONET1	down
hsa-mir-133a-1	MONET1	down
hsa-mir-487a	MONET1	down
hsa-mir-6811	MONET1	down
hsa-mir-21	MONET1	down
hsa-mir-194-1	MONET1	down
hsa-mir-629	MONET1	down
hsa-mir-6716	MONET1	down
hsa-mir-3200	MONET2	down
hsa-mir-301b	MONET2	down
hsa-mir-18a	MONET2	down
hsa-mir-937	MONET2	down
hsa-mir-130b	MONET2	down
hsa-mir-1301	MONET2	down
hsa-mir-3677	MONET2	down
hsa-mir-301a	MONET2	down
hsa-mir-877	MONET2	down
hsa-mir-940	MONET2	down
hsa-mir-4664	MONET2	down
hsa-mir-1307	MONET2	down
hsa-mir-505	MONET2	down
hsa-mir-197	MONET2	down
hsa-mir-1306	MONET2	down
hsa-mir-106b	MONET2	down
hsa-mir-188	MONET2	down
