probe	class	dirct
hsa-mir-18a	MONET1	up
hsa-mir-934	MONET1	up
hsa-mir-577	MONET1	up
hsa-mir-505	MONET1	up
hsa-mir-135b	MONET1	up
hsa-mir-452	MONET1	up
hsa-mir-17	MONET1	up
hsa-mir-224	MONET1	up
hsa-mir-155	MONET1	up
hsa-mir-942	MONET1	up
hsa-mir-19a	MONET1	up
hsa-mir-590	MONET1	up
hsa-mir-106b	MONET1	up
hsa-mir-378a	MONET1	up
hsa-mir-502	MONET1	up
hsa-mir-519a-1	MONET1	up
hsa-mir-105-1	MONET1	up
hsa-mir-105-2	MONET1	up
hsa-mir-188	MONET1	up
hsa-mir-767	MONET1	up
hsa-mir-138-2	MONET1	up
hsa-mir-9-1	MONET1	up
hsa-mir-20a	MONET1	up
hsa-mir-9-3	MONET1	up
hsa-mir-9-2	MONET1	up
hsa-mir-197	MONET1	up
hsa-mir-6728	MONET1	up
hsa-mir-516a-1	MONET1	up
hsa-mir-146a	MONET1	up
hsa-mir-548s	MONET1	up
hsa-mir-19b-1	MONET1	up
hsa-mir-519a-2	MONET1	up
hsa-mir-92a-1	MONET1	up
hsa-mir-500b	MONET1	up
hsa-mir-532	MONET1	up
hsa-mir-92a-2	MONET1	up
hsa-mir-500a	MONET1	up
hsa-mir-501	MONET1	up
hsa-mir-3682	MONET1	up
hsa-mir-516a-2	MONET1	up
hsa-mir-522	MONET1	up
hsa-mir-138-1	MONET1	up
hsa-mir-7702	MONET1	up
hsa-mir-186	MONET1	up
hsa-mir-19b-2	MONET1	up
hsa-mir-24-2	MONET1	up
hsa-mir-146b	MONET1	up
hsa-mir-24-1	MONET1	up
hsa-mir-222	MONET1	up
hsa-mir-579	MONET1	up
hsa-mir-584	MONET1	up
hsa-mir-5571	MONET1	up
hsa-mir-221	MONET1	up
hsa-mir-766	MONET1	up
hsa-mir-7112	MONET1	up
hsa-mir-1304	MONET1	up
hsa-mir-455	MONET1	up
hsa-mir-3680-1	MONET1	up
hsa-mir-548b	MONET1	up
hsa-mir-421	MONET1	up
hsa-mir-5002	MONET1	up
hsa-mir-362	MONET1	up
hsa-mir-6499	MONET1	up
hsa-mir-660	MONET1	up
hsa-mir-576	MONET1	up
hsa-mir-3934	MONET1	up
hsa-mir-378c	MONET1	up
hsa-mir-4772	MONET1	up
hsa-mir-548ao	MONET1	up
hsa-mir-551a	MONET1	up
hsa-mir-142	MONET1	up
hsa-mir-4787	MONET1	up
hsa-mir-548f-1	MONET1	up
hsa-mir-6783	MONET1	up
hsa-mir-4999	MONET1	up
hsa-mir-548d-2	MONET1	up
hsa-mir-5092	MONET1	up
hsa-mir-3922	MONET1	up
hsa-mir-4786	MONET1	up
hsa-mir-6720	MONET1	up
hsa-mir-548d-1	MONET1	up
hsa-mir-4677	MONET1	up
hsa-mir-93	MONET1	up
hsa-mir-518e	MONET1	up
hsa-mir-223	MONET1	up
hsa-mir-1468	MONET1	up
hsa-mir-520b	MONET1	up
hsa-mir-4780	MONET1	up
hsa-mir-3691	MONET1	up
hsa-mir-545	MONET1	up
hsa-mir-6731	MONET1	up
hsa-mir-1276	MONET1	up
hsa-mir-570	MONET1	up
hsa-mir-5699	MONET1	up
hsa-mir-3622a	MONET1	up
hsa-mir-3145	MONET1	up
hsa-mir-885	MONET1	up
hsa-mir-511	MONET1	up
hsa-mir-588	MONET1	up
hsa-mir-4665	MONET1	up
hsa-let-7a-2	MONET2	up
hsa-let-7a-1	MONET2	up
hsa-let-7a-3	MONET2	up
hsa-mir-30a	MONET2	up
hsa-let-7b	MONET2	up
hsa-mir-10a	MONET2	up
hsa-mir-10b	MONET2	up
hsa-mir-195	MONET2	up
hsa-let-7c	MONET2	up
hsa-mir-99a	MONET2	up
hsa-mir-758	MONET2	up
hsa-mir-337	MONET2	up
hsa-mir-101-2	MONET2	up
hsa-mir-218-2	MONET2	up
hsa-mir-101-1	MONET2	up
hsa-mir-139	MONET2	up
hsa-mir-410	MONET2	up
hsa-mir-125b-2	MONET2	up
hsa-mir-100	MONET2	up
hsa-mir-382	MONET2	up
hsa-mir-184	MONET2	up
hsa-mir-125b-1	MONET2	up
hsa-mir-218-1	MONET2	up
hsa-mir-379	MONET2	up
hsa-mir-381	MONET2	up
hsa-mir-34c	MONET2	up
hsa-mir-432	MONET2	up
hsa-mir-30c-2	MONET2	up
hsa-mir-127	MONET2	up
hsa-mir-29c	MONET2	up
hsa-mir-3926-2	MONET2	up
hsa-mir-1245a	MONET2	up
hsa-mir-487b	MONET2	up
hsa-mir-26a-1	MONET2	up
hsa-mir-26a-2	MONET2	up
hsa-mir-204	MONET2	up
hsa-mir-377	MONET2	up
hsa-mir-199a-1	MONET2	up
hsa-mir-1-1	MONET2	up
hsa-mir-664a	MONET2	up
hsa-mir-3926-1	MONET2	up
hsa-mir-496	MONET2	up
hsa-mir-483	MONET2	up
hsa-mir-944	MONET2	up
hsa-mir-431	MONET2	up
hsa-mir-411	MONET2	up
hsa-mir-145	MONET2	up
hsa-mir-655	MONET2	up
hsa-mir-214	MONET2	up
hsa-mir-409	MONET2	up
hsa-mir-656	MONET2	up
hsa-mir-205	MONET2	up
hsa-mir-29a	MONET2	up
hsa-let-7f-1	MONET2	up
hsa-let-7f-2	MONET2	up
hsa-mir-1-2	MONET2	up
hsa-mir-889	MONET2	up
hsa-mir-369	MONET2	up
hsa-mir-199a-2	MONET2	up
hsa-mir-370	MONET2	up
hsa-mir-154	MONET2	up
hsa-mir-380	MONET2	up
hsa-mir-497	MONET2	up
hsa-mir-202	MONET2	up
hsa-mir-493	MONET2	up
hsa-mir-654	MONET2	up
hsa-mir-495	MONET2	up
hsa-mir-30c-1	MONET2	up
hsa-mir-485	MONET2	up
hsa-mir-543	MONET2	up
hsa-mir-5685	MONET2	up
hsa-mir-134	MONET2	up
hsa-mir-34b	MONET2	up
hsa-mir-433	MONET2	up
hsa-mir-182	MONET2	up
hsa-mir-22	MONET2	up
hsa-mir-376a-1	MONET2	up
hsa-mir-143	MONET2	up
hsa-mir-152	MONET2	up
hsa-mir-199b	MONET2	up
hsa-mir-376c	MONET2	up
hsa-mir-541	MONET2	up
hsa-mir-1262	MONET2	up
hsa-mir-487a	MONET2	up
hsa-mir-1258	MONET2	up
hsa-mir-26b	MONET2	up
hsa-mir-542	MONET2	up
hsa-mir-140	MONET2	up
hsa-mir-1185-1	MONET2	up
hsa-mir-299	MONET2	up
hsa-mir-1247	MONET2	up
hsa-mir-190a	MONET2	up
hsa-mir-320a	MONET2	up
hsa-mir-494	MONET2	up
