probe	class	dirct
CREBL2	MSNE1	down
RHOH	MSNE1	down
PICART1	MSNE1	down
ZNF671	MSNE1	down
SEMA3G	MSNE1	down
SIGLEC17P	MSNE1	down
CCDC32	MSNE1	down
LPAR6	MSNE1	down
SPARCL1	MSNE1	down
TPSAB1	MSNE1	down
IFITM2	MSNE1	down
AC108519.1	MSNE1	down
GNA14	MSNE1	down
MMRN2	MSNE1	down
CX3CR1	MSNE1	down
HOXB-AS1	MSNE1	down
RIPK3	MSNE1	down
SELENOP	MSNE1	down
TRIM52	MSNE1	down
TPSB2	MSNE1	down
ZCCHC24	MSNE1	down
HDC	MSNE1	down
SSTR1	MSNE1	down
AXIN2	MSNE1	down
PTPRB	MSNE1	down
ZBTB16	MSNE1	down
MAN1C1	MSNE1	down
CRIP1	MSNE1	down
FZD4	MSNE1	down
ZNF175	MSNE1	down
THSD1	MSNE1	down
PLAAT4	MSNE1	down
RHOBTB2	MSNE1	down
GAPT	MSNE1	down
CILP	MSNE1	down
ZNF423	MSNE1	down
CADPS2	MSNE1	down
LRRC4C	MSNE1	down
GPIHBP1	MSNE1	down
CD22	MSNE1	down
PSD4	MSNE1	down
SLC14A2	MSNE1	down
SRL	MSNE1	down
SIGLEC8	MSNE1	down
ZEB1	MSNE1	down
AP001528.1	MSNE1	down
IKZF4	MSNE1	down
IGF2	MSNE1	down
GCSAML	MSNE1	down
LRRC37A11P	MSNE1	down
KANK2	MSNE1	down
ARHGEF15	MSNE1	down
MYCT1	MSNE1	down
EGOT	MSNE1	down
NHLRC3	MSNE1	down
ADCY5	MSNE1	down
DENND2D	MSNE1	down
PLD4	MSNE1	down
KLF2	MSNE1	down
RLN1	MSNE1	down
LIPE	MSNE1	down
LCA5	MSNE1	down
WNT9B	MSNE1	down
TEK	MSNE1	down
ADORA3	MSNE1	down
OLFM1	MSNE1	down
PTPRN2	MSNE1	down
PLXDC1	MSNE1	down
CLEC3B	MSNE1	down
SMIM31	MSNE1	down
CYP4V2	MSNE1	down
COL4A6	MSNE1	down
CLEC14A	MSNE1	down
PARP3	MSNE1	down
EGR3	MSNE1	down
NAV3	MSNE1	down
CYP4F12	MSNE1	down
SCN2B	MSNE1	down
SYNPO2	MSNE1	down
MGAT4A	MSNE1	down
SIGLEC6	MSNE1	down
CYSLTR1	MSNE1	down
ANXA6	MSNE1	down
HID1-AS1	MSNE1	down
ZNF132	MSNE1	down
AC105411.1	MSNE1	down
CD34	MSNE1	down
ACSM5	MSNE1	down
DDO	MSNE1	down
SVEP1	MSNE1	down
RILPL2	MSNE1	down
SEMA5A	MSNE1	down
AL031846.2	MSNE1	down
MAB21L1	MSNE1	down
AC087854.1	MSNE1	down
ABCG2	MSNE1	down
ASPA	MSNE1	down
PREX2	MSNE1	down
RAB37	MSNE1	down
ARRB1	MSNE1	down
ARL4C	MSNE2	down
MSL3	MSNE2	down
JAK3	MSNE2	down
PLTP	MSNE2	down
SMCO4	MSNE2	down
KIF21B	MSNE2	down
CD6	MSNE2	down
SH2D2A	MSNE2	down
LCK	MSNE2	down
THEMIS2	MSNE2	down
LIMD2	MSNE2	down
FAM20A	MSNE2	down
BCL11B	MSNE2	down
APBA2	MSNE2	down
IL2RA	MSNE2	down
PRKCQ	MSNE2	down
CD8B	MSNE2	down
CPNE2	MSNE2	down
C1R	MSNE2	down
TNFRSF8	MSNE2	down
IL15RA	MSNE2	down
RAP2B	MSNE2	down
AL353807.5	MSNE2	down
ARHGAP30	MSNE2	down
SPOCK2	MSNE2	down
FUOM	MSNE2	down
PLEKHO1	MSNE2	down
LAMP3	MSNE2	down
INSL3	MSNE2	down
TNFRSF1B	MSNE2	down
HLA-E	MSNE2	down
EMILIN2	MSNE2	down
RNF145	MSNE2	down
GALNT12	MSNE2	down
PDCD1LG2	MSNE2	down
DOK2	MSNE2	down
AKR1B1	MSNE2	down
C1S	MSNE2	down
PRF1	MSNE2	down
ARNTL2	MSNE2	down
CTLA4	MSNE2	down
CD96	MSNE2	down
AC022706.1	MSNE2	down
GFI1	MSNE2	down
RNF166	MSNE2	down
SNX20	MSNE2	down
CCL13	MSNE2	down
CHST11	MSNE2	down
BCL2A1	MSNE2	down
UBASH3A	MSNE2	down
GPR150	MSNE2	down
BIN2	MSNE2	down
CST7	MSNE2	down
GRAP2	MSNE2	down
MAP4K1	MSNE2	down
KCNAB2	MSNE2	down
TIGIT	MSNE2	down
GBP1	MSNE2	down
MAD1L1	MSNE2	down
FERMT3	MSNE2	down
LINC02084	MSNE2	down
ACSL5	MSNE2	down
SLC30A3	MSNE2	down
LINC01358	MSNE2	down
LINC02328	MSNE2	down
GAL3ST4	MSNE2	down
TRAF3IP3	MSNE2	down
IL21R	MSNE2	down
TNFRSF9	MSNE2	down
LINC01871	MSNE2	down
CD3D	MSNE2	down
RGS2	MSNE2	down
RAB33A	MSNE2	down
CELF2	MSNE2	down
CORO1A	MSNE2	down
ITGB2	MSNE2	down
SIRPG	MSNE2	down
PSTPIP1	MSNE2	down
LY96	MSNE2	down
IL32	MSNE2	down
SLFN11	MSNE2	down
POU2F2	MSNE2	down
SIT1	MSNE2	down
MLKL	MSNE2	down
FMNL1	MSNE2	down
TBX21	MSNE2	down
PLEKHF1	MSNE2	down
GZMB	MSNE2	down
GLT1D1	MSNE2	down
ADGRG3	MSNE2	down
PTK7	MSNE2	down
EPHB2	MSNE2	down
IL18RAP	MSNE2	down
NCF4	MSNE2	down
IKZF1	MSNE2	down
IL12RB1	MSNE2	down
S1PR4	MSNE2	down
CD7	MSNE2	down
CCL5	MSNE2	down
HCLS1	MSNE2	down
GCNT2	MSNE3	down
WIPF3	MSNE3	down
CA3	MSNE3	down
GABRG3	MSNE3	down
AC024940.1	MSNE3	down
CNKSR3	MSNE3	down
TTC22	MSNE3	down
ARHGEF2	MSNE3	down
LINC00933	MSNE3	down
MFSD4A	MSNE3	down
LAMC2	MSNE3	down
TM4SF1	MSNE3	down
AP000787.1	MSNE3	down
LGR4-AS1	MSNE3	down
STARD7-AS1	MSNE3	down
GASK1A	MSNE3	down
FAM13A	MSNE3	down
ELAC1	MSNE3	down
AL512329.2	MSNE3	down
SLC45A3	MSNE3	down
CCDC169	MSNE3	down
PART1	MSNE3	down
LINC00476	MSNE3	down
LINC01409	MSNE3	down
AL136985.3	MSNE3	down
AL512329.1	MSNE3	down
LINC01118	MSNE3	down
AC017104.5	MSNE3	down
GCNT2P1	MSNE3	down
SH3BP2	MSNE3	down
RCAN3	MSNE3	down
AC092042.3	MSNE3	down
AGO4	MSNE3	down
WASF2	MSNE3	down
AL078621.1	MSNE3	down
SRSF4	MSNE3	down
KLHL21	MSNE3	down
NAV2	MSNE3	down
SMYD1	MSNE3	down
AL160006.1	MSNE3	down
AL354953.1	MSNE3	down
CCDC93	MSNE3	down
NPAS2	MSNE3	down
AC016738.1	MSNE3	down
AL589843.2	MSNE3	down
MEGF11	MSNE3	down
SCMH1	MSNE3	down
SLC25A12	MSNE3	down
IL17RD	MSNE3	down
LINC00612	MSNE3	down
TMPRSS3	MSNE3	down
SORBS2	MSNE3	down
GPAT3	MSNE3	down
AC013643.2	MSNE3	down
SLC5A9	MSNE3	down
AL353596.1	MSNE3	down
AL513165.1	MSNE3	down
KDM4A-AS1	MSNE3	down
SUGT1P4-STRA6LP	MSNE3	down
CWH43	MSNE3	down
DLEC1	MSNE3	down
LRRC42	MSNE3	down
INPP5B	MSNE3	down
AC011442.1	MSNE3	down
PLCD1	MSNE3	down
NLGN1	MSNE3	down
AL390755.3	MSNE3	down
PTBP2	MSNE3	down
DUOX1	MSNE3	down
MYOM1	MSNE3	down
ST3GAL3	MSNE3	down
ATXN7L1	MSNE3	down
PRDM11	MSNE3	down
KRT15	MSNE3	down
MFSD14C	MSNE3	down
CXADR	MSNE3	down
RPS6KA1	MSNE3	down
AL513327.1	MSNE3	down
ZNF197-AS1	MSNE3	down
WEE2-AS1	MSNE3	down
STEAP3-AS1	MSNE3	down
UNC80	MSNE3	down
SPTBN1	MSNE3	down
AKAP3	MSNE3	down
SH3RF2	MSNE3	down
CERS3-AS1	MSNE3	down
MPL	MSNE3	down
PEF1-AS1	MSNE3	down
ITGA6	MSNE3	down
APBA1	MSNE3	down
MBNL2	MSNE3	down
OSBPL1A	MSNE3	down
PRKCZ-AS1	MSNE3	down
WDPCP	MSNE3	down
PJVK	MSNE3	down
OR8T1P	MSNE3	down
TRIP6	MSNE3	down
WNT2B	MSNE3	down
LDHAL6FP	MSNE3	down
RIC3	MSNE3	down
ING2	MSNE4	down
PARN	MSNE4	down
ZMYND11	MSNE4	down
CLUAP1	MSNE4	down
TUFT1	MSNE4	down
VPS25	MSNE4	down
RAB18	MSNE4	down
LINC00910	MSNE4	down
AC104819.3	MSNE4	down
HSPB1P1	MSNE4	down
SVIP	MSNE4	down
TMEM99	MSNE4	down
JUP	MSNE4	down
WASL-DT	MSNE4	down
SOWAHB	MSNE4	down
ATPSCKMT	MSNE4	down
ZNF571	MSNE4	down
ATPAF2	MSNE4	down
ERCC4	MSNE4	down
RTN4	MSNE4	down
TMEM141	MSNE4	down
OSGEPL1	MSNE4	down
HADHB	MSNE4	down
ZNF75A	MSNE4	down
AC096887.2	MSNE4	down
Z69720.2	MSNE4	down
AL732437.3	MSNE4	down
ATP6V1D	MSNE4	down
DAG1	MSNE4	down
UBE2H	MSNE4	down
BPHL	MSNE4	down
SRP9	MSNE4	down
NBR2	MSNE4	down
CDC23	MSNE4	down
RRAGB	MSNE4	down
TEX45	MSNE4	down
MBOAT1	MSNE4	down
ABCC6P2	MSNE4	down
HOMER2	MSNE4	down
CLOCK	MSNE4	down
CRAMP1	MSNE4	down
OVOL1	MSNE4	down
H2AC6	MSNE4	down
PEX11B	MSNE4	down
LRRN2	MSNE4	down
GET1	MSNE4	down
PPP1R13B	MSNE4	down
METTL27	MSNE4	down
SYCP2	MSNE4	down
KIAA1958	MSNE4	down
RIPPLY3	MSNE4	down
PCMTD1	MSNE4	down
AC010504.1	MSNE4	down
COX18	MSNE4	down
CLMN	MSNE4	down
SLAIN2	MSNE4	down
LZIC	MSNE4	down
APTR	MSNE4	down
TMCO1	MSNE4	down
COPG2	MSNE4	down
AC092117.1	MSNE4	down
SNX27	MSNE4	down
MYO15A	MSNE4	down
UBN2	MSNE4	down
CEP44	MSNE4	down
SYT7	MSNE4	down
COMMD3	MSNE4	down
PPA2	MSNE4	down
AC104667.1	MSNE4	down
PDE12	MSNE4	down
RAB11FIP4	MSNE4	down
LINC00637	MSNE4	down
TRMT5	MSNE4	down
ATPAF1	MSNE4	down
NDUFA10	MSNE4	down
SOX2-OT	MSNE4	down
TTC3	MSNE4	down
BCL9	MSNE4	down
MANBAL	MSNE4	down
C1orf210	MSNE4	down
LYPLAL1	MSNE4	down
POGZ	MSNE4	down
AL136985.2	MSNE4	down
ACOT6	MSNE4	down
TFAP2A-AS2	MSNE4	down
AC016866.3	MSNE4	down
LINC00992	MSNE4	down
SIX4	MSNE4	down
ACSL3	MSNE4	down
AC099661.1	MSNE4	down
FAM200A	MSNE4	down
GTPBP10	MSNE4	down
P3H4	MSNE4	down
NDUFC1	MSNE4	down
SETD3	MSNE4	down
SIPA1L3	MSNE4	down
GFM1	MSNE4	down
ANO10	MSNE4	down
AL132780.5	MSNE4	down
NOX1	MSNE4	down
KPNA2	MSNE5	down
SPAG5	MSNE5	down
SKA1	MSNE5	down
STIP1	MSNE5	down
HSPD1	MSNE5	down
MAD2L1	MSNE5	down
FOXM1	MSNE5	down
CCNB1	MSNE5	down
KNSTRN	MSNE5	down
KIF4A	MSNE5	down
SGO1	MSNE5	down
CCNA2	MSNE5	down
NEIL3	MSNE5	down
RACGAP1	MSNE5	down
HSP90AB1	MSNE5	down
CCNB2	MSNE5	down
NCAPH	MSNE5	down
KIF18B	MSNE5	down
NCAPG	MSNE5	down
BUB1	MSNE5	down
CENPE	MSNE5	down
RAD54B	MSNE5	down
GTSE1	MSNE5	down
KIF18A	MSNE5	down
KIFC1	MSNE5	down
CDK1	MSNE5	down
AUNIP	MSNE5	down
CSE1L	MSNE5	down
DEPDC1	MSNE5	down
DEPDC1B	MSNE5	down
CENPI	MSNE5	down
DLGAP5	MSNE5	down
H2AZ1	MSNE5	down
ATAD2	MSNE5	down
DSN1	MSNE5	down
CKS2	MSNE5	down
KIF20A	MSNE5	down
CACYBP	MSNE5	down
RAD51	MSNE5	down
CEBPG	MSNE5	down
CKAP2L	MSNE5	down
MTIF2	MSNE5	down
CDC6	MSNE5	down
PCNA	MSNE5	down
UBE2T	MSNE5	down
ARHGAP11A	MSNE5	down
PPIL1	MSNE5	down
UBE2O	MSNE5	down
SPC24	MSNE5	down
KIF11	MSNE5	down
KIF15	MSNE5	down
ESPL1	MSNE5	down
POLQ	MSNE5	down
KIF23	MSNE5	down
RAD21	MSNE5	down
MKI67	MSNE5	down
RAN	MSNE5	down
POLR2K	MSNE5	down
RRM2	MSNE5	down
ATP5F1C	MSNE5	down
ASF1B	MSNE5	down
CDC25C	MSNE5	down
FBXO45	MSNE5	down
CKAP5	MSNE5	down
MCUR1	MSNE5	down
RPN1	MSNE5	down
MTBP	MSNE5	down
ELOC	MSNE5	down
EME1	MSNE5	down
DIAPH3	MSNE5	down
GMPS	MSNE5	down
HPRT1	MSNE5	down
HROB	MSNE5	down
CENPF	MSNE5	down
CLSPN	MSNE5	down
NSMCE2	MSNE5	down
HMMR	MSNE5	down
ZWINT	MSNE5	down
STIL	MSNE5	down
CENPM	MSNE5	down
ARHGEF39	MSNE5	down
NEK2	MSNE5	down
MRS2	MSNE5	down
RPN2	MSNE5	down
PSMD12	MSNE5	down
OIP5	MSNE5	down
ASPM	MSNE5	down
FANCD2	MSNE5	down
PNO1	MSNE5	down
BUB1B	MSNE5	down
LRR1	MSNE5	down
SNRPD1	MSNE5	down
BLM	MSNE5	down
LMNB1	MSNE5	down
FOXK2	MSNE5	down
SQLE	MSNE5	down
PSMC2	MSNE5	down
SPC25	MSNE5	down
CCT3	MSNE5	down
PSMD14	MSNE5	down
