probe	class	dirct
hsa-mir-105-1	MSNE1	up
hsa-mir-7112	MSNE1	up
hsa-mir-197	MSNE1	up
hsa-mir-301b	MSNE1	up
hsa-mir-188	MSNE1	up
hsa-mir-6720	MSNE1	up
hsa-mir-93	MSNE1	up
hsa-mir-324	MSNE1	up
hsa-mir-362	MSNE1	up
hsa-mir-210	MSNE1	up
hsa-mir-1283-1	MSNE1	up
hsa-mir-4766	MSNE1	up
hsa-mir-6783	MSNE1	up
hsa-mir-3200	MSNE1	up
hsa-mir-1301	MSNE1	up
hsa-mir-4665	MSNE1	up
hsa-mir-1307	MSNE1	up
hsa-mir-6832	MSNE1	up
hsa-mir-937	MSNE1	up
hsa-mir-5699	MSNE1	up
hsa-mir-660	MSNE1	up
hsa-mir-301a	MSNE1	up
hsa-mir-671	MSNE1	up
hsa-mir-3680-1	MSNE1	up
hsa-mir-1277	MSNE1	up
hsa-mir-6844	MSNE1	up
hsa-mir-570	MSNE1	up
hsa-mir-1283-2	MSNE1	up
hsa-mir-1306	MSNE1	up
hsa-mir-545	MSNE1	up
hsa-mir-3145	MSNE1	up
hsa-mir-219b	MSNE1	up
hsa-mir-6744	MSNE1	up
hsa-mir-548d-2	MSNE1	up
hsa-let-7d	MSNE1	up
hsa-mir-7974	MSNE1	up
hsa-mir-3944	MSNE1	up
hsa-mir-1276	MSNE1	up
hsa-mir-4661	MSNE1	up
hsa-mir-1243	MSNE1	up
hsa-mir-1229	MSNE1	up
hsa-mir-1226	MSNE1	up
hsa-mir-7156	MSNE1	up
hsa-mir-885	MSNE1	up
hsa-mir-33a	MSNE1	up
hsa-mir-4658	MSNE1	up
hsa-mir-4449	MSNE1	up
hsa-mir-5187	MSNE1	up
hsa-mir-6814	MSNE1	up
hsa-mir-7854	MSNE1	up
hsa-mir-1468	MSNE1	up
hsa-mir-1343	MSNE1	up
hsa-mir-1296	MSNE1	up
hsa-mir-6795	MSNE1	up
hsa-mir-3136	MSNE1	up
hsa-mir-3664	MSNE1	up
hsa-mir-1915	MSNE1	up
hsa-mir-98	MSNE1	up
hsa-mir-636	MSNE1	up
hsa-mir-616	MSNE1	up
hsa-mir-3140	MSNE1	up
hsa-mir-559	MSNE1	up
hsa-mir-18b	MSNE1	up
hsa-mir-1270	MSNE1	up
hsa-mir-1248	MSNE1	up
