level	CS1	CS2	p	test	sig
n		      244	      381			NA
Subtype (%)	NEMO1	       79 (32.4) 	      229 (60.1) 	<0.001	exact	**
	NEMO2	       64 (26.2) 	       49 (12.9) 			NA
	NEMO3	       47 (19.3) 	       49 (12.9) 			NA
	NEMO4	        2 ( 0.8) 	        2 ( 0.5) 			NA
	NEMO5	        9 ( 3.7) 	        7 ( 1.8) 			NA
	NEMO6	        3 ( 1.2) 	        8 ( 2.1) 			NA
	NEMO7	        3 ( 1.2) 	        4 ( 1.0) 			NA
	NEMO8	       15 ( 6.1) 	       17 ( 4.5) 			NA
	NEMO9	       22 ( 9.0) 	       16 ( 4.2) 			NA
vital_status (%)		        8 (11.6) 	        3 ( 2.6) 	 0.036	exact	**
	Alive	       56 (81.2) 	      107 (92.2) 			NA
	Dead	        5 ( 7.2) 	        6 ( 5.2) 			NA
days_to_birth 		-21598.38 ± 4911.55	-21231.22 ± 4689.46	 0.359		
days_to_death 		  1729.52 ± 1184.65	  1309.67 ± 931.13	 0.145		
days_to_last_followup 		  1113.53 ± 1111.26	  1289.96 ± 1222.24	 0.087		
race_list (%)		        4 ( 1.6) 	        9 ( 2.4) 	 0.188	exact	
	AMERICAN INDIAN OR ALASKA NATIVE	        1 ( 0.4) 	        0 ( 0.0) 			NA
	ASIAN	       16 ( 6.6) 	       16 ( 4.2) 			NA
	BLACK OR AFRICAN AMERICAN	       55 (22.5) 	       69 (18.1) 			NA
	WHITE	      168 (68.9) 	      287 (75.3) 			NA
history_of_neoadjuvant_treatment (%)		        0 ( 0.0) 	        2 ( 0.5) 	 0.002	exact	**
	No	      238 (97.5) 	      379 (99.5) 			NA
	Yes	        6 ( 2.5) 	        0 ( 0.0) 			NA
age_at_initial_pathologic_diagnosis 		    58.45 ± 13.47	    57.49 ± 12.92	 0.376		
ethnicity (%)		       26 (10.7) 	       35 ( 9.2) 	 0.704		
	HISPANIC OR LATINO	        9 ( 3.7) 	       18 ( 4.7) 			NA
