probe	class	dirct
AURKA	NEMO1	down
DSCC1	NEMO1	down
ORC6	NEMO1	down
CENPA	NEMO1	down
PRR11	NEMO1	down
MCM10	NEMO1	down
UBE2C	NEMO1	down
CDCA8	NEMO1	down
TPX2	NEMO1	down
TRIP13	NEMO1	down
SGO1	NEMO1	down
TICRR	NEMO1	down
MYBL2	NEMO1	down
CENPN	NEMO1	down
CDC45	NEMO1	down
SKA1	NEMO1	down
CENPO	NEMO1	down
FAM83D	NEMO1	down
KPNA2	NEMO1	down
MAD2L1	NEMO1	down
CDC25A	NEMO1	down
MTFR2	NEMO1	down
GTSE1	NEMO1	down
KIF2C	NEMO1	down
MELK	NEMO1	down
BIRC5	NEMO1	down
CCNB2	NEMO1	down
CCNA2	NEMO1	down
FANCA	NEMO1	down
NCAPG	NEMO1	down
CEP55	NEMO1	down
HJURP	NEMO1	down
ORC1	NEMO1	down
FOXM1	NEMO1	down
CDCA5	NEMO1	down
CCNE1	NEMO1	down
FAM72B	NEMO1	down
LRP8	NEMO1	down
BUB1	NEMO1	down
E2F1	NEMO1	down
PLK1	NEMO1	down
DEPDC1	NEMO1	down
TTK	NEMO1	down
NEIL3	NEMO1	down
RAD51AP1	NEMO1	down
CDCA3	NEMO1	down
CDC20	NEMO1	down
AURKB	NEMO1	down
NCAPH	NEMO1	down
PIMREG	NEMO1	down
NDC80	NEMO1	down
HASPIN	NEMO1	down
KIF18A	NEMO1	down
GINS1	NEMO1	down
KNSTRN	NEMO1	down
SLC25A19	NEMO1	down
AC092718.4	NEMO1	down
SPAG5	NEMO1	down
HSPD1	NEMO1	down
SHCBP1	NEMO1	down
CLSPN	NEMO1	down
CENPE	NEMO1	down
XPO5	NEMO1	down
SLC7A5	NEMO1	down
POLQ	NEMO1	down
ANLN	NEMO1	down
RAD51	NEMO1	down
DONSON	NEMO1	down
BLM	NEMO1	down
KIF18B	NEMO1	down
CKAP2L	NEMO1	down
POP1	NEMO1	down
KIF4A	NEMO1	down
TROAP	NEMO1	down
CDC25B	NEMO1	down
CENPI	NEMO1	down
PDSS1	NEMO1	down
CHEK1	NEMO1	down
CDK1	NEMO1	down
CCT6A	NEMO1	down
CTPS1	NEMO1	down
GTPBP4	NEMO1	down
DBF4	NEMO1	down
RAD54L	NEMO1	down
SUV39H2	NEMO1	down
SKA3	NEMO1	down
AUNIP	NEMO1	down
KIFC1	NEMO1	down
KIF23	NEMO1	down
ARHGAP11A	NEMO1	down
CCT5	NEMO1	down
RRM2	NEMO1	down
CDC7	NEMO1	down
CBX2	NEMO1	down
CCNB1	NEMO1	down
STIL	NEMO1	down
CMC2	NEMO1	down
DLGAP5	NEMO1	down
PTTG1	NEMO1	down
DEPDC1B	NEMO1	down
FOXA1	NEMO2	down
MLPH	NEMO2	down
TTC6	NEMO2	down
SLC44A4	NEMO2	down
SLC7A8	NEMO2	down
PRR15	NEMO2	down
XBP1	NEMO2	down
AC007255.1	NEMO2	down
SPDEF	NEMO2	down
GTF2IP7	NEMO2	down
THSD4	NEMO2	down
AGR2	NEMO2	down
ABCC8	NEMO2	down
CA12	NEMO2	down
CMBL	NEMO2	down
ERBB4	NEMO2	down
CT62	NEMO2	down
CFAP99	NEMO2	down
AC005077.4	NEMO2	down
TFF3	NEMO2	down
