probe	class	dirct
hsa-mir-30a	NEMO1	up
hsa-mir-10b	NEMO1	up
hsa-mir-101-2	NEMO1	up
hsa-mir-101-1	NEMO1	up
hsa-mir-99a	NEMO1	up
hsa-let-7a-2	NEMO1	up
hsa-let-7a-1	NEMO1	up
hsa-let-7a-3	NEMO1	up
hsa-let-7c	NEMO1	up
hsa-mir-195	NEMO1	up
hsa-mir-139	NEMO1	up
hsa-mir-100	NEMO1	up
hsa-mir-10a	NEMO1	up
hsa-mir-758	NEMO1	up
hsa-mir-125b-1	NEMO1	up
hsa-mir-125b-2	NEMO1	up
hsa-mir-337	NEMO1	up
hsa-mir-218-2	NEMO1	up
hsa-mir-34c	NEMO1	up
hsa-mir-379	NEMO1	up
hsa-mir-184	NEMO1	up
hsa-mir-410	NEMO1	up
hsa-let-7b	NEMO1	up
hsa-mir-381	NEMO1	up
hsa-mir-30c-2	NEMO1	up
hsa-mir-204	NEMO1	up
hsa-mir-127	NEMO1	up
hsa-mir-382	NEMO1	up
hsa-mir-29c	NEMO1	up
hsa-mir-218-1	NEMO1	up
hsa-mir-377	NEMO1	up
hsa-mir-411	NEMO1	up
hsa-mir-664a	NEMO1	up
hsa-mir-26a-1	NEMO1	up
hsa-mir-26a-2	NEMO1	up
hsa-mir-432	NEMO1	up
hsa-mir-487b	NEMO1	up
hsa-mir-205	NEMO1	up
hsa-mir-3926-2	NEMO1	up
hsa-mir-3926-1	NEMO1	up
hsa-mir-214	NEMO1	up
hsa-mir-199a-1	NEMO1	up
hsa-mir-202	NEMO1	up
hsa-mir-29a	NEMO1	up
hsa-mir-409	NEMO1	up
hsa-mir-655	NEMO1	up
hsa-mir-431	NEMO1	up
hsa-mir-1245a	NEMO1	up
hsa-mir-1-2	NEMO1	up
hsa-mir-496	NEMO1	up
hsa-mir-497	NEMO1	up
hsa-mir-199a-2	NEMO1	up
hsa-mir-889	NEMO1	up
hsa-mir-154	NEMO1	up
hsa-mir-30c-1	NEMO1	up
hsa-mir-145	NEMO1	up
hsa-let-7f-1	NEMO1	up
hsa-mir-370	NEMO1	up
hsa-mir-483	NEMO1	up
hsa-let-7f-2	NEMO1	up
hsa-mir-495	NEMO1	up
hsa-mir-654	NEMO1	up
hsa-mir-299	NEMO1	up
hsa-mir-944	NEMO1	up
hsa-mir-369	NEMO1	up
hsa-mir-449a	NEMO1	up
hsa-mir-656	NEMO1	up
hsa-mir-1258	NEMO1	up
hsa-mir-1-1	NEMO1	up
hsa-mir-22	NEMO1	up
hsa-mir-1247	NEMO1	up
hsa-mir-493	NEMO1	up
hsa-mir-485	NEMO1	up
hsa-mir-34b	NEMO1	up
hsa-mir-134	NEMO1	up
hsa-mir-199b	NEMO1	up
hsa-mir-135a-2	NEMO1	up
hsa-mir-1185-1	NEMO1	up
hsa-mir-494	NEMO1	up
hsa-mir-543	NEMO1	up
hsa-mir-542	NEMO1	up
hsa-mir-433	NEMO1	up
hsa-mir-487a	NEMO1	up
hsa-mir-376c	NEMO1	up
hsa-mir-140	NEMO1	up
hsa-mir-320a	NEMO1	up
hsa-mir-143	NEMO1	up
hsa-mir-26b	NEMO1	up
hsa-mir-653	NEMO1	up
hsa-mir-664b	NEMO1	up
hsa-mir-5683	NEMO1	up
hsa-mir-182	NEMO1	up
hsa-mir-181c	NEMO1	up
hsa-mir-376a-1	NEMO1	up
hsa-mir-380	NEMO1	up
hsa-mir-4759	NEMO1	up
hsa-mir-152	NEMO1	up
