level	NEMO1	NEMO2	NEMO3	NEMO5	NEMO8	NEMO9	p	test	sig
n		   51	   37	   34	    1	   18	   12			NA
Subtype (%)	NEMO1	   51 (100.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    NA	exact	NA
	NEMO2	    0 (  0.0) 	   37 (100.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 			NA
	NEMO3	    0 (  0.0) 	    0 (  0.0) 	   34 (100.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 			NA
	NEMO5	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    1 (100.0) 	    0 (  0.0) 	    0 (  0.0) 			NA
	NEMO8	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	   18 (100.0) 	    0 (  0.0) 			NA
	NEMO9	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	   12 (100.0) 			NA
LN.status.at.diagnosis (%)	Negative	   19 ( 37.3) 	   25 ( 67.6) 	   13 ( 38.2) 	    1 (100.0) 	   11 ( 61.1) 	    5 ( 41.7) 	 0.028	exact	**
	Positive	   32 ( 62.7) 	   12 ( 32.4) 	   21 ( 61.8) 	    0 (  0.0) 	    7 ( 38.9) 	    7 ( 58.3) 			NA
ER.status (%)	Negative	    6 ( 11.8) 	   30 ( 81.1) 	    1 (  2.9) 	    1 (100.0) 	    7 ( 38.9) 	    6 ( 50.0) 	<0.001	exact	**
	Positive	   45 ( 88.2) 	    7 ( 18.9) 	   33 ( 97.1) 	    0 (  0.0) 	   11 ( 61.1) 	    6 ( 50.0) 			NA
HER2.status (%)	Negative	   34 ( 66.7) 	   34 ( 91.9) 	   20 ( 58.8) 	    1 (100.0) 	    4 ( 22.2) 	    1 (  8.3) 	<0.001	exact	**
	Positive	   17 ( 33.3) 	    3 (  8.1) 	   14 ( 41.2) 	    0 (  0.0) 	   14 ( 77.8) 	   11 ( 91.7) 			NA
Grade.pre.NAT (%)	Grade 1	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	<0.001	exact	**
	Grade 2	   33 ( 64.7) 	    4 ( 10.8) 	   14 ( 41.2) 	    0 (  0.0) 	    6 ( 33.3) 	    2 ( 16.7) 			NA
	Grade 3	   18 ( 35.3) 	   33 ( 89.2) 	   20 ( 58.8) 	    1 (100.0) 	   12 ( 66.7) 	   10 ( 83.3) 			NA
	Grade 4	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 	    0 (  0.0) 			NA
pCR.RD (%)	pCR	    5 (  9.8) 	   19 ( 51.4) 	    3 (  8.8) 	    1 (100.0) 	    7 ( 38.9) 	    6 ( 50.0) 	<0.001	exact	**
	Residual Disease	   46 ( 90.2) 	   18 ( 48.6) 	   31 ( 91.2) 	    0 (  0.0) 	   11 ( 61.1) 	    6 ( 50.0) 			NA
Age (median [IQR])		51.00 [46.00, 56.00]	49.00 [35.00, 61.00]	49.50 [40.50, 60.75]	38.00 [38.00, 38.00]	53.00 [43.50, 56.75]	51.50 [46.50, 54.25]	 0.680	nonnorm	
T.stage (%)	T1	    5 (  9.8) 	    1 (  2.7) 	    2 (  5.9) 	    0 (  0.0) 	    3 ( 16.7) 	    1 (  8.3) 	    NA	exact	NA
	T2	   31 ( 60.8) 	   27 ( 73.0) 	   19 ( 55.9) 	    1 (100.0) 	    7 ( 38.9) 	    7 ( 58.3) 			NA
	T3	   15 ( 29.4) 	    6 ( 16.2) 	   10 ( 29.4) 	    0 (  0.0) 	    6 ( 33.3) 	    4 ( 33.3) 			NA
